tick,local_x,local_y,local_z,drift_m,slip_m,on_bus_support,below_depth_m
1,0.0000,-0.5996,0.4991,0.0000,0.0000,1,0.0000
2,0.0000,-0.5996,0.4991,0.0000,0.0000,1,0.0000
3,0.0000,-0.5996,0.4991,0.0000,0.0000,1,0.0000
4,-0.0000,-0.5784,0.5014,0.0213,0.0213,1,0.0000
5,-0.0000,-0.5784,0.5014,0.0213,0.0000,1,0.0000
6,0.0000,-0.5824,0.5032,0.0177,0.0044,1,0.0000
7,-0.0000,-0.5824,0.5032,0.0177,0.0000,1,0.0000
8,-0.0000,-0.5868,0.5051,0.0141,0.0047,1,0.0000
9,-0.0000,-0.5868,0.5051,0.0141,0.0000,1,0.0000
10,0.0000,-0.5911,0.5069,0.0115,0.0047,1,0.0000
11,-0.0000,-0.5911,0.5069,0.0115,0.0000,1,0.0000
12,-0.0000,-0.5950,0.5087,0.0106,0.0043,1,0.0000
13,-0.0000,-0.5950,0.5087,0.0106,0.0000,1,0.0000
14,-0.0000,-0.5984,0.5105,0.0115,0.0038,1,0.0000
15,-0.0000,-0.5984,0.5105,0.0115,0.0000,1,0.0000
16,-0.0000,-0.6009,0.5123,0.0133,0.0031,1,0.0009
17,-0.0000,-0.6009,0.5123,0.0133,0.0000,1,0.0009
18,-0.0000,-0.6028,0.5141,0.0154,0.0026,1,0.0028
19,0.0000,-0.6028,0.5141,0.0154,0.0000,1,0.0028
20,-0.0000,-0.6039,0.5159,0.0174,0.0021,1,0.0039
21,0.0000,-0.6039,0.5159,0.0174,0.0000,1,0.0039
22,-0.0000,-0.6043,0.5177,0.0192,0.0019,1,0.0043
23,0.0000,-0.6043,0.5177,0.0192,0.0000,1,0.0043
24,0.0000,-0.6043,0.5195,0.0210,0.0018,1,0.0043
25,0.0000,-0.6043,0.5195,0.0210,0.0000,1,0.0043
26,0.0000,-0.6039,0.5213,0.0226,0.0018,1,0.0039
27,-0.0000,-0.6039,0.5213,0.0226,0.0000,1,0.0039
28,0.0000,-0.6033,0.5230,0.0243,0.0019,1,0.0033
29,0.0000,-0.6033,0.5230,0.0243,0.0000,1,0.0033
30,0.0000,-0.6025,0.5248,0.0259,0.0019,1,0.0025
31,0.0000,-0.6025,0.5248,0.0259,0.0000,1,0.0025
32,0.0000,-0.6016,0.5266,0.0276,0.0019,1,0.0016
33,0.0000,-0.6016,0.5266,0.0276,0.0000,1,0.0016
34,0.0000,-0.6009,0.5283,0.0293,0.0019,1,0.0009
35,0.0000,-0.6009,0.5283,0.0293,0.0000,1,0.0009
36,0.0000,-0.6002,0.5301,0.0310,0.0019,1,0.0002
37,0.0000,-0.6002,0.5301,0.0310,0.0000,1,0.0002
38,0.0000,-0.5996,0.5318,0.0328,0.0018,1,0.0000
39,0.0000,-0.5996,0.5318,0.0328,0.0000,1,0.0000
40,0.0000,-0.5992,0.5336,0.0345,0.0018,1,0.0000
41,0.0000,-0.5992,0.5336,0.0345,0.0000,1,0.0000
42,-0.0000,-0.5989,0.5353,0.0363,0.0018,1,0.0000
43,0.0000,-0.5989,0.5353,0.0363,0.0000,1,0.0000
44,0.0000,-0.5988,0.5371,0.0380,0.0017,1,0.0000
45,0.0000,-0.5988,0.5371,0.0380,0.0000,1,0.0000
46,0.0000,-0.5988,0.5388,0.0397,0.0017,1,0.0000
47,0.0000,-0.5988,0.5388,0.0397,0.0000,1,0.0000
48,0.0000,-0.5988,0.5405,0.0414,0.0017,1,0.0000
49,-0.0000,-0.5988,0.5405,0.0414,0.0000,1,0.0000
50,0.0000,-0.5989,0.5422,0.0432,0.0017,1,0.0000
51,0.0000,-0.5989,0.5422,0.0432,0.0000,1,0.0000
52,0.0000,-0.5991,0.5439,0.0449,0.0017,1,0.0000
53,0.0000,-0.5991,0.5439,0.0449,0.0000,1,0.0000
54,0.0000,-0.5992,0.5456,0.0466,0.0017,1,0.0000
55,0.0000,-0.5992,0.5456,0.0466,0.0000,1,0.0000
56,0.0000,-0.5994,0.5473,0.0482,0.0017,1,0.0000
