tick,local_x,local_y,local_z,drift_m,slip_m,on_bus_support,below_depth_m
1,0.0000,-0.5990,0.5657,0.0000,0.0000,1,0.0000
2,0.0000,-0.5990,0.6324,0.0667,0.0667,1,0.0000
3,-0.0000,-0.5568,0.7037,0.1443,0.0829,1,0.0000
4,-0.0000,-0.5990,0.7657,0.2000,0.0750,1,0.0000
5,-0.0000,-0.5649,0.8407,0.2771,0.0824,1,0.0000
6,-0.0000,-0.5990,0.8990,0.3333,0.0675,1,0.0000
7,-0.0000,-0.5737,0.9777,0.4127,0.0826,1,0.0000
8,-0.0000,-0.5990,1.0323,0.4666,0.0602,1,0.0000
9,-0.0000,-0.5825,1.1146,0.5491,0.0840,1,0.0000
10,-0.0000,-0.5990,1.1656,0.5998,0.0536,1,0.0000
11,-0.0000,-0.5904,1.2515,0.6859,0.0864,1,0.0000
12,-0.0000,-0.5990,1.2989,0.7331,0.0481,1,0.0000
13,-0.0000,-0.5970,1.3884,0.8227,0.0896,1,0.0000
14,-0.0000,-0.5990,1.4321,0.8664,0.0438,1,0.0000
15,-0.0000,-0.6021,1.5253,0.9596,0.0932,1,0.0021
16,-0.0000,-0.5990,1.5654,0.9997,0.0402,1,0.0000
17,-0.0000,-0.6056,1.6622,1.0965,0.0970,1,0.0056
18,-0.0000,-0.5990,1.6987,1.1330,0.0371,1,0.0000
19,-0.0000,-0.6078,1.7991,1.2334,0.1008,1,0.0078
20,-0.0000,-0.5990,1.8320,1.2662,0.0340,1,0.0000
21,-0.0000,-0.6086,1.9359,1.3702,0.1044,1,0.0086
22,-0.0000,-0.5990,1.9652,1.3995,0.0309,1,0.0000
23,-0.0000,-0.6085,2.0728,1.5071,0.1080,1,0.0085
24,-0.0000,-0.5990,2.0985,1.5328,0.0274,1,0.0000
25,-0.0000,-0.6077,2.2096,1.6439,0.1114,1,0.0077
26,-0.0000,-0.5990,2.2318,1.6661,0.0238,1,0.0000
27,-0.0000,-0.6063,2.3464,1.7807,0.1149,1,0.0063
28,-0.0000,-0.5990,2.3651,1.7993,0.0200,1,0.0000
29,-0.0000,-0.6047,2.4833,1.9176,0.1183,1,0.0047
30,-0.0000,-0.5990,2.4983,1.9326,0.0161,1,0.0000
31,-0.0000,-0.6031,2.6201,2.0544,0.1218,1,0.0031
32,-0.0000,-0.5990,2.4983,1.9326,0.1219,1,0.0000
33,-0.0000,-0.6016,2.4902,1.9245,0.0085,1,0.0016
34,-0.0000,-0.5990,2.3649,1.7992,0.1253,1,0.0000
35,-0.0000,-0.6002,2.3603,1.7946,0.0047,1,0.0002
