tick,local_x,local_y,local_z,drift_m,slip_m,on_bus_support,below_depth_m
1,0.0000,-0.6000,0.5000,0.0000,0.0000,1,0.0000
2,0.0000,-0.6000,0.5000,0.0000,0.0000,1,0.0000
3,-0.0000,-0.5577,0.5046,0.0425,0.0425,1,0.0000
4,-0.0000,-0.5989,0.5046,0.0048,0.0411,1,0.0000
5,-0.0000,-0.5646,0.5130,0.0377,0.0353,1,0.0000
6,-0.0000,-0.5995,0.5129,0.0129,0.0349,1,0.0000
7,-0.0000,-0.5739,0.5250,0.0361,0.0282,1,0.0000
8,-0.0000,-0.5979,0.5249,0.0250,0.0240,1,0.0000
9,-0.0000,-0.5831,0.5406,0.0440,0.0216,1,0.0000
10,-0.0000,-0.6000,0.5406,0.0406,0.0169,1,0.0000
11,-0.0000,-0.5910,0.5599,0.0606,0.0213,1,0.0000
12,-0.0000,-0.5993,0.5599,0.0599,0.0083,1,0.0000
13,-0.0000,-0.5970,0.5828,0.0828,0.0231,1,0.0000
14,-0.0000,-0.5996,0.5828,0.0828,0.0026,1,0.0000
15,-0.0000,-0.6024,0.6093,0.1094,0.0267,1,0.0024
16,-0.0000,-0.5996,0.6093,0.1093,0.0028,1,0.0000
17,-0.0000,-0.6060,0.6395,0.1396,0.0308,1,0.0060
18,-0.0000,-0.5996,0.6395,0.1395,0.0064,1,0.0000
19,0.0000,-0.6083,0.6732,0.1734,0.0348,1,0.0083
20,0.0000,-0.5997,0.6733,0.1733,0.0086,1,0.0000
21,0.0000,-0.6093,0.7106,0.2108,0.0385,1,0.0093
22,0.0000,-0.5997,0.7106,0.2106,0.0096,1,0.0000
23,0.0000,-0.6093,0.7515,0.2517,0.0420,1,0.0093
24,0.0000,-0.5997,0.7515,0.2515,0.0096,1,0.0000
25,0.0000,-0.6084,0.7960,0.2961,0.0453,1,0.0084
26,0.0000,-0.5997,0.7960,0.2960,0.0087,1,0.0000
27,0.0000,-0.6071,0.8441,0.3441,0.0486,1,0.0071
28,0.0000,-0.5997,0.8441,0.3441,0.0074,1,0.0000
29,0.0000,-0.6055,0.8956,0.3957,0.0519,1,0.0055
30,0.0000,-0.5996,0.8957,0.3957,0.0059,1,0.0000
31,0.0000,-0.6038,0.9508,0.4508,0.0553,1,0.0038
32,0.0000,-0.5996,0.9508,0.4508,0.0042,1,0.0000
33,0.0000,-0.6022,1.0094,0.5094,0.0587,1,0.0022
34,0.0000,-0.5996,1.0094,0.5094,0.0027,1,0.0000
35,0.0000,-0.6008,1.0715,0.5715,0.0621,1,0.0008
36,0.0000,-0.5996,1.0716,0.5716,0.0013,1,0.0000
37,0.0000,-0.5997,1.1372,0.6372,0.0656,1,0.0000
38,0.0000,-0.5997,1.1372,0.6372,0.0000,1,0.0000
39,0.0000,-0.5991,1.2063,0.7063,0.0691,1,0.0000
40,0.0000,-0.5991,1.2063,0.7063,0.0000,1,0.0000
41,0.0000,-0.5979,1.2789,0.7789,0.0726,1,0.0000
42,0.0000,-0.5999,1.2789,0.7789,0.0021,1,0.0000
43,0.0000,-0.5985,1.3549,0.8549,0.0761,1,0.0000
44,0.0000,-0.5998,1.3549,0.8549,0.0013,1,0.0000
45,0.0000,-0.5982,1.4344,0.9344,0.0795,1,0.0000
46,0.0000,-0.5995,1.4344,0.9344,0.0013,1,0.0000
47,-0.0000,-0.5981,1.5173,1.0173,0.0829,1,0.0000
48,-0.0000,-0.5994,1.5173,1.0173,0.0013,1,0.0000
49,0.0000,-0.5982,1.6037,1.1037,0.0864,1,0.0000
50,0.0000,-0.5995,1.6037,1.1037,0.0013,1,0.0000
51,0.0000,-0.5986,1.6935,1.1935,0.0898,1,0.0000
52,0.0000,-0.5999,1.6935,1.1935,0.0013,1,0.0000
53,0.0000,-0.5992,1.7866,1.2866,0.0932,1,0.0000
54,0.0000,-0.5992,1.7866,1.2866,0.0000,1,0.0000
55,0.0000,-0.5990,1.8832,1.3832,0.0966,1,0.0000
56,0.0000,-0.5990,1.8832,1.3832,0.0000,1,0.0000
57,0.0000,-0.5990,1.9831,1.4831,0.0999,1,0.0000
58,0.0000,-0.5990,1.9831,1.4831,0.0000,1,0.0000
59,0.0000,-0.5992,2.0864,1.5864,0.1033,1,0.0000
60,0.0000,-0.5992,2.0864,1.5864,0.0000,1,0.0000
61,0.0000,-0.5996,2.1931,1.6931,0.1067,1,0.0000
62,0.0000,-0.5996,2.1931,1.6931,0.0000,1,0.0000
63,0.0000,-0.6002,2.3031,1.8031,0.1100,1,0.0002
64,0.0000,-0.6002,2.3031,1.8031,0.0000,1,0.0002
65,0.0000,-0.6009,2.4164,1.9164,0.1133,1,0.0009
66,0.0000,-0.5996,2.4164,1.9164,0.0014,1,0.0000
67,0.0000,-0.6003,2.5331,2.0331,0.1167,1,0.0003
68,0.0000,-0.6003,2.5331,2.0331,0.0000,1,0.0003
69,0.0000,-0.6010,2.6530,2.1530,0.1200,1,0.0010
70,0.0000,-0.5996,2.6530,2.1530,0.0014,1,0.0000
71,0.0000,-0.6003,2.7763,2.2763,0.1233,1,0.0003
72,0.0000,-0.6003,2.7763,2.2763,0.0000,1,0.0003
73,0.0000,-0.6009,2.9029,2.4029,0.1266,1,0.0009
74,0.0000,-0.5996,2.9029,2.4029,0.0014,1,0.0000
75,0.0000,-0.6002,3.0327,2.5327,0.1298,1,0.0002
76,0.0000,-0.6002,3.0327,2.5327,0.0000,1,0.0002
77,0.0000,-0.6008,3.1658,2.6658,0.1331,1,0.0008
78,0.0000,-0.5995,3.1658,2.6658,0.0012,1,0.0000
79,0.0000,-0.6001,3.3022,2.8022,0.1364,1,0.0001
80,0.0000,-0.6001,3.3022,2.8022,0.0000,1,0.0001
81,0.0000,-0.6006,3.4418,2.9418,0.1396,1,0.0006
82,0.0000,-0.5995,3.4418,2.9418,0.0010,1,0.0000
83,0.0000,-0.6000,3.5847,3.0847,0.1429,1,0.0000
84,0.0000,-0.6000,3.5847,3.0847,0.0000,1,0.0000
85,0.0000,-0.6005,3.7307,3.2307,0.1461,1,0.0005
86,0.0000,-0.6005,3.7307,3.2307,0.0000,1,0.0005
87,0.0000,-0.6009,3.8800,3.3800,0.1493,1,0.0009
88,0.0000,-0.5996,3.8800,3.3800,0.0013,1,0.0000
89,0.0000,-0.6000,4.0325,3.5325,0.1525,1,0.0000
90,0.0000,-0.6026,4.0325,3.5325,0.0026,1,0.0026
91,0.0000,-0.6030,4.1882,3.6882,0.1557,1,0.0030
92,0.0000,-0.6707,4.1880,3.6887,0.0677,0,0.0707
93,0.0000,-0.6712,4.3469,3.8475,0.1589,1,0.0712
94,0.0000,-0.6795,4.3468,3.8476,0.0083,0,0.0795
95,0.0000,-0.6911,4.5088,4.0099,0.1624,0,0.0911
96,0.0000,-0.7048,4.5088,4.0102,0.0138,0,0.1048
97,0.0000,-0.7218,4.6739,4.1757,0.1660,0,0.1218
98,0.0000,-0.7411,4.6739,4.1762,0.0192,0,0.1411
99,0.0000,-0.7635,4.8421,4.3452,0.1698,0,0.1635
100,0.0000,-0.7882,4.8421,4.3461,0.0247,0,0.1882
101,0.0000,-0.8161,5.0135,4.5186,0.1737,0,0.2161
102,0.0000,-0.8462,5.0134,4.5201,0.0301,0,0.2462
103,0.0000,-0.8796,5.1879,4.6962,0.1777,0,0.2796
104,0.0000,-0.9152,5.1878,4.6983,0.0356,0,0.3152
105,0.0000,-0.9540,5.3654,4.8782,0.1818,0,0.3540
106,0.0000,-0.9950,5.3652,4.8812,0.0410,0,0.3950
107,0.0000,-0.9956,5.5461,5.0616,0.1808,0,0.3956
108,0.0000,-0.9956,5.5461,5.0616,0.0000,0,0.3956
109,0.0000,-0.9962,5.7300,5.2450,0.1839,0,0.3962
110,0.0000,-0.9962,5.7300,5.2450,0.0000,0,0.3962
111,0.0000,-0.9969,5.9171,5.4316,0.1870,0,0.3969
112,0.0000,-0.9969,5.9171,5.4316,0.0000,0,0.3969
113,0.0000,-0.9975,6.1072,5.6212,0.1901,0,0.3975
114,0.0000,-0.9975,6.1072,5.6212,0.0000,0,0.3975
115,0.0000,-0.9981,6.3003,5.8140,0.1932,0,0.3981
116,0.0000,-0.9981,6.3003,5.8140,0.0000,0,0.3981
117,0.0000,-0.9988,6.4966,6.0098,0.1962,0,0.3988
118,0.0000,-0.9988,6.4966,6.0098,0.0000,0,0.3988
119,0.0000,-0.9995,6.6959,6.2087,0.1993,0,0.3995
120,0.0000,-0.9995,6.6959,6.2087,0.0000,0,0.3995
121,0.0000,-1.0001,6.8982,6.4107,0.2023,0,0.4001
122,0.0000,-1.0001,6.8982,6.4107,0.0000,0,0.4001
