tick,local_x,local_y,local_z,drift_m,slip_m,on_bus_support,below_depth_m
1,0.0000,-0.5990,0.5667,0.0000,0.0000,1,0.0000
2,0.0000,-0.5990,0.6333,0.0667,0.0667,1,0.0000
3,-0.0000,-0.5990,0.7000,0.1333,0.0667,1,0.0000
4,-0.0000,-0.5990,0.7666,0.2000,0.0667,1,0.0000
5,-0.0000,-0.5990,0.8333,0.2666,0.0667,1,0.0000
6,-0.0000,-0.5990,0.8999,0.3333,0.0667,1,0.0000
7,-0.0000,-0.5990,0.9666,0.3999,0.0666,1,0.0000
8,-0.0000,-0.5990,1.0332,0.4666,0.0667,1,0.0000
9,-0.0000,-0.5990,1.0999,0.5332,0.0666,1,0.0000
10,-0.0000,-0.5990,1.1665,0.5999,0.0666,1,0.0000
11,-0.0000,-0.5990,1.2332,0.6665,0.0666,1,0.0000
12,-0.0000,-0.5990,1.2998,0.7331,0.0666,1,0.0000
13,-0.0000,-0.5990,1.3664,0.7998,0.0666,1,0.0000
14,-0.0000,-0.5990,1.4331,0.8664,0.0666,1,0.0000
15,-0.0000,-0.5990,1.4997,0.9331,0.0666,1,0.0000
16,-0.0000,-0.5990,1.5664,0.9997,0.0666,1,0.0000
17,-0.0000,-0.5990,1.6330,1.0663,0.0666,1,0.0000
18,-0.0000,-0.5990,1.6996,1.1330,0.0666,1,0.0000
19,-0.0000,-0.5990,1.7663,1.1996,0.0666,1,0.0000
20,-0.0000,-0.5990,1.8329,1.2662,0.0666,1,0.0000
21,-0.0000,-0.5990,1.8995,1.3329,0.0666,1,0.0000
22,0.0000,-0.5990,1.9662,1.3995,0.0666,1,0.0000
23,0.0000,-0.5990,2.0328,1.4662,0.0666,1,0.0000
24,0.0000,-0.5990,2.0995,1.5328,0.0666,1,0.0000
25,0.0000,-0.5990,2.1661,1.5994,0.0666,1,0.0000
26,0.0000,-0.5990,2.2327,1.6661,0.0666,1,0.0000
27,0.0000,-0.5990,2.2994,1.7327,0.0666,1,0.0000
28,0.0000,-0.5990,2.3660,1.7994,0.0666,1,0.0000
29,0.0000,-0.5990,2.4327,1.8660,0.0666,1,0.0000
30,0.0000,-0.5990,2.4993,1.9326,0.0666,1,0.0000
31,0.0000,-0.5990,2.5659,1.9993,0.0666,1,0.0000
32,0.0000,-0.5990,2.4992,1.9326,0.0667,1,0.0000
33,0.0000,-0.5990,2.4326,1.8659,0.0667,1,0.0000
34,0.0000,-0.5990,2.3659,1.7992,0.0667,1,0.0000
35,0.0000,-0.5990,2.2992,1.7325,0.0667,1,0.0000
36,0.0000,-0.5990,2.2325,1.6658,0.0667,1,0.0000
37,0.0000,-0.5990,2.1658,1.5991,0.0667,1,0.0000
38,0.0000,-0.5990,2.0991,1.5324,0.0667,1,0.0000
39,0.0000,-0.5990,2.0324,1.4657,0.0667,1,0.0000
40,0.0000,-0.5990,1.9657,1.3990,0.0667,1,0.0000
41,0.0000,-0.5990,1.8990,1.3323,0.0667,1,0.0000
42,0.0000,-0.5990,1.8323,1.2657,0.0667,1,0.0000
43,0.0000,-0.5990,1.7656,1.1990,0.0667,1,0.0000
44,0.0000,-0.5990,1.6989,1.1323,0.0667,1,0.0000
45,0.0000,-0.5990,1.6322,1.0656,0.0667,1,0.0000
46,0.0000,-0.5990,1.5655,0.9989,0.0667,1,0.0000
47,-0.0000,-0.5990,1.4989,0.9322,0.0667,1,0.0000
48,0.0000,-0.5990,1.4322,0.8655,0.0667,1,0.0000
49,0.0000,-0.5990,1.3655,0.7988,0.0667,1,0.0000
50,0.0000,-0.5990,1.2988,0.7321,0.0667,1,0.0000
51,0.0000,-0.5990,1.2321,0.6654,0.0667,1,0.0000
52,0.0000,-0.5990,1.1654,0.5987,0.0667,1,0.0000
53,0.0000,-0.5990,1.0987,0.5320,0.0667,1,0.0000
54,0.0000,-0.5990,1.0320,0.4653,0.0667,1,0.0000
55,0.0000,-0.5990,0.9653,0.3986,0.0667,1,0.0000
56,-0.0000,-0.5990,0.8986,0.3320,0.0667,1,0.0000
57,0.0000,-0.5990,0.8319,0.2653,0.0667,1,0.0000
58,0.0000,-0.5990,0.7652,0.1986,0.0667,1,0.0000
59,0.0000,-0.5990,0.6985,0.1319,0.0667,1,0.0000
60,0.0000,-0.5990,0.6319,0.0652,0.0667,1,0.0000
61,0.0000,-0.5990,0.5652,0.0015,0.0667,1,0.0000
62,0.0000,-0.5990,0.4985,0.0682,0.0667,1,0.0000
63,0.0000,-0.5990,0.4318,0.1349,0.0667,1,0.0000
64,0.0000,-0.5990,0.3651,0.2016,0.0667,1,0.0000
65,0.0000,-0.5990,0.2984,0.2683,0.0667,1,0.0000
66,0.0000,-0.5990,0.2317,0.3350,0.0667,1,0.0000
67,0.0000,-0.5990,0.1650,0.4017,0.0667,1,0.0000
68,0.0000,-0.5990,0.0983,0.4684,0.0667,1,0.0000
69,0.0000,-0.5990,0.0316,0.5351,0.0667,1,0.0000
70,0.0000,-0.5990,-0.0351,0.6017,0.0667,1,0.0000
71,0.0000,-0.5990,-0.1018,0.6684,0.0667,1,0.0000
72,0.0000,-0.5990,-0.1685,0.7351,0.0667,1,0.0000
73,0.0000,-0.5990,-0.2352,0.8018,0.0667,1,0.0000
74,0.0000,-0.5990,-0.3019,0.8685,0.0667,1,0.0000
75,0.0000,-0.5990,-0.3685,0.9352,0.0667,1,0.0000
76,0.0000,-0.5990,-0.4352,1.0019,0.0667,1,0.0000
77,0.0000,-0.5990,-0.5019,1.0686,0.0667,1,0.0000
78,0.0000,-0.5990,-0.5686,1.1353,0.0667,1,0.0000
79,0.0000,-0.5990,-0.6353,1.2020,0.0667,1,0.0000
80,0.0000,-0.5990,-0.7020,1.2687,0.0667,1,0.0000
81,0.0000,-0.5990,-0.7687,1.3354,0.0667,1,0.0000
82,0.0000,-0.5990,-0.8354,1.4021,0.0667,1,0.0000
83,0.0000,-0.5990,-0.9021,1.4688,0.0667,1,0.0000
84,0.0000,-0.5990,-0.9688,1.5354,0.0667,1,0.0000
85,0.0000,-0.5990,-1.0355,1.6021,0.0667,1,0.0000
86,0.0000,-0.5990,-1.1022,1.6688,0.0667,1,0.0000
87,0.0000,-0.5990,-1.1689,1.7355,0.0667,1,0.0000
88,0.0000,-0.5990,-1.2356,1.8022,0.0667,1,0.0000
89,0.0000,-0.5990,-1.3022,1.8689,0.0667,1,0.0000
90,0.0000,-0.5990,-1.3689,1.9356,0.0667,1,0.0000
91,0.0000,-0.5990,-1.4356,2.0023,0.0667,1,0.0000
92,0.0000,-0.5990,-1.5023,2.0690,0.0667,1,0.0000
93,0.0000,-0.5990,-1.5690,2.1357,0.0667,1,0.0000
94,0.0000,-0.5990,-1.6357,2.2024,0.0667,1,0.0000
95,0.0000,-0.5990,-1.7024,2.2691,0.0667,1,0.0000
96,0.0000,-0.5990,-1.7691,2.3358,0.0667,1,0.0000
97,0.0000,-0.5990,-1.8358,2.4025,0.0667,1,0.0000
98,0.0000,-0.5990,-1.9025,2.4691,0.0667,1,0.0000
99,0.0000,-0.5990,-1.9692,2.5358,0.0667,1,0.0000
100,0.0000,-0.5990,-2.0359,2.6025,0.0667,1,0.0000
101,0.0000,-0.5990,-2.1026,2.6692,0.0667,1,0.0000
102,0.0000,-0.5990,-2.1693,2.7359,0.0667,1,0.0000
103,0.0000,-0.5990,-2.2359,2.8026,0.0667,1,0.0000
104,0.0000,-0.5990,-2.3026,2.8693,0.0667,1,0.0000
105,0.0000,-0.5990,-2.3693,2.9360,0.0667,1,0.0000
106,0.0000,-0.5990,-2.4360,3.0027,0.0667,1,0.0000
107,0.0000,-0.5990,-2.5027,3.0694,0.0667,1,0.0000
108,0.0000,-0.5990,-2.4361,3.0027,0.0666,1,0.0000
109,0.0000,-0.5990,-2.3694,2.9361,0.0666,1,0.0000
110,0.0000,-0.5990,-2.3028,2.8695,0.0666,1,0.0000
111,0.0000,-0.5990,-2.2362,2.8028,0.0666,1,0.0000
112,0.0000,-0.5990,-2.1695,2.7362,0.0666,1,0.0000
113,0.0000,-0.5990,-2.1029,2.6696,0.0666,1,0.0000
114,0.0000,-0.5990,-2.0363,2.6029,0.0666,1,0.0000
115,0.0000,-0.5990,-1.9696,2.5363,0.0666,1,0.0000
116,0.0000,-0.5990,-1.9030,2.4696,0.0666,1,0.0000
117,0.0000,-0.5990,-1.8363,2.4030,0.0666,1,0.0000
118,0.0000,-0.5990,-1.7697,2.3364,0.0666,1,0.0000
119,0.0000,-0.5990,-1.7031,2.2697,0.0666,1,0.0000
120,0.0000,-0.5990,-1.6364,2.2031,0.0666,1,0.0000
121,0.0000,-0.5990,-1.5698,2.1365,0.0666,1,0.0000
122,0.0000,-0.5990,-1.5032,2.0698,0.0666,1,0.0000
123,0.0000,-0.5990,-1.4365,2.0032,0.0666,1,0.0000
124,0.0000,-0.5990,-1.3699,1.9365,0.0666,1,0.0000
125,0.0000,-0.5990,-1.3032,1.8699,0.0666,1,0.0000
126,0.0000,-0.5990,-1.2366,1.8033,0.0666,1,0.0000
127,0.0000,-0.5990,-1.1700,1.7366,0.0666,1,0.0000
128,0.0000,-0.5990,-1.1033,1.6700,0.0666,1,0.0000
129,0.0000,-0.5990,-1.0367,1.6034,0.0666,1,0.0000
130,0.0000,-0.5990,-0.9701,1.5367,0.0666,1,0.0000
131,0.0000,-0.5990,-0.9034,1.4701,0.0666,1,0.0000
132,0.0000,-0.5990,-0.8368,1.4034,0.0666,1,0.0000
133,0.0000,-0.5990,-0.7701,1.3368,0.0666,1,0.0000
134,0.0000,-0.5990,-0.7035,1.2702,0.0666,1,0.0000
135,0.0000,-0.5990,-0.6369,1.2035,0.0666,1,0.0000
136,0.0000,-0.5990,-0.5702,1.1369,0.0666,1,0.0000
137,0.0000,-0.5990,-0.5036,1.0703,0.0666,1,0.0000
138,0.0000,-0.5990,-0.4370,1.0036,0.0666,1,0.0000
139,0.0000,-0.5990,-0.3703,0.9370,0.0666,1,0.0000
140,0.0000,-0.5990,-0.3037,0.8703,0.0666,1,0.0000
141,0.0000,-0.5990,-0.2370,0.8037,0.0666,1,0.0000
