tick,local_x,local_y,local_z,drift_m,slip_m,on_bus_support,below_depth_m
1,0.0000,-0.5990,0.5667,0.0000,0.0000,1,0.0000
2,-0.0000,-0.5568,0.6380,0.0829,0.0829,1,0.0000
3,-0.0000,-0.5995,0.7046,0.1380,0.0792,1,0.0000
4,-0.0000,-0.5648,0.7796,0.2157,0.0826,1,0.0000
5,-0.0000,-0.5998,0.8463,0.2796,0.0752,1,0.0000
6,-0.0000,-0.5737,0.9249,0.3592,0.0829,1,0.0000
7,-0.0000,-0.5978,0.9916,0.4249,0.0708,1,0.0000
8,-0.0000,-0.5824,1.0739,0.5075,0.0838,1,0.0000
9,-0.0000,-0.5995,1.1405,0.5739,0.0688,1,0.0000
10,-0.0000,-0.5903,1.2265,0.6599,0.0865,1,0.0000
11,-0.0000,-0.5989,1.2931,0.7265,0.0672,1,0.0000
12,-0.0000,-0.5970,1.3827,0.8161,0.0896,1,0.0000
13,-0.0000,-0.5990,1.4494,0.8827,0.0667,1,0.0000
14,-0.0000,-0.6021,1.5425,0.9759,0.0932,1,0.0021
15,-0.0000,-0.5990,1.6092,1.0425,0.0667,1,0.0000
16,-0.0000,-0.6056,1.7059,1.1393,0.0970,1,0.0056
17,-0.0000,-0.5990,1.7726,1.2059,0.0670,1,0.0000
18,-0.0000,-0.6078,1.8730,1.3063,0.1008,1,0.0078
19,-0.0000,-0.5990,1.9396,1.3729,0.0672,1,0.0000
20,-0.0000,-0.6086,2.0435,1.4769,0.1044,1,0.0086
21,-0.0000,-0.5990,2.1102,1.5435,0.0673,1,0.0000
22,0.0000,-0.6085,2.2177,1.6511,0.1080,1,0.0085
23,0.0000,-0.5990,2.2844,1.7177,0.0673,1,0.0000
24,0.0000,-0.6076,2.3955,1.8288,0.1114,1,0.0076
25,0.0000,-0.5990,2.4621,1.8954,0.0672,1,0.0000
26,0.0000,-0.6063,2.5767,2.0101,0.1149,1,0.0063
27,0.0000,-0.5990,2.5100,1.9434,0.0671,1,0.0000
28,0.0000,-0.6047,2.4949,1.9283,0.0162,1,0.0047
29,0.0000,-0.5990,2.4282,1.8616,0.0669,1,0.0000
30,0.0000,-0.6031,2.4166,1.8500,0.0123,1,0.0031
31,0.0000,-0.5990,2.3499,1.7833,0.0668,1,0.0000
32,0.0000,-0.6016,2.3419,1.7752,0.0085,1,0.0016
33,0.0000,-0.5990,2.2752,1.7085,0.0667,1,0.0000
34,0.0000,-0.6002,2.2706,1.7040,0.0047,1,0.0002
35,0.0000,-0.5990,2.2039,1.6373,0.0667,1,0.0000
36,0.0000,-0.5992,2.2029,1.6362,0.0011,1,0.0000
37,0.0000,-0.5990,2.1362,1.5695,0.0667,1,0.0000
38,0.0000,-0.5983,2.1386,1.5719,0.0025,1,0.0000
39,0.0000,-0.5990,2.0719,1.5052,0.0667,1,0.0000
40,0.0000,-0.5978,2.0778,1.5111,0.0060,1,0.0000
41,0.0000,-0.5990,2.0111,1.4444,0.0667,1,0.0000
42,0.0000,-0.5975,2.0205,1.4538,0.0095,1,0.0000
43,0.0000,-0.5990,1.9538,1.3871,0.0667,1,0.0000
44,0.0000,-0.5975,1.9666,1.3999,0.0129,1,0.0000
45,0.0000,-0.5990,1.8999,1.3332,0.0667,1,0.0000
46,-0.0000,-0.5976,1.9161,1.3494,0.0163,1,0.0000
47,-0.0000,-0.5990,1.8494,1.2828,0.0667,1,0.0000
48,0.0000,-0.5978,1.8691,1.3024,0.0197,1,0.0000
49,0.0000,-0.5990,1.8024,1.2357,0.0667,1,0.0000
50,0.0000,-0.5981,1.8255,1.2588,0.0231,1,0.0000
51,0.0000,-0.5990,1.7588,1.1921,0.0667,1,0.0000
52,0.0000,-0.5984,1.7852,1.2186,0.0265,1,0.0000
