tick,local_x,local_y,local_z,drift_m,slip_m,on_bus_support,below_depth_m
1,0.0000,-0.5990,0.5638,0.0000,0.0000,1,0.0000
2,0.0000,-0.5990,0.6305,0.0667,0.0667,1,0.0000
3,0.0000,-0.5990,0.6972,0.1333,0.0667,1,0.0000
4,-0.0000,-0.5798,0.7671,0.2041,0.0725,1,0.0000
5,-0.0000,-0.5799,0.8337,0.2706,0.0667,1,0.0000
6,-0.0000,-0.5841,0.9022,0.3387,0.0686,1,0.0000
7,-0.0000,-0.5842,0.9689,0.4053,0.0667,1,0.0000
8,-0.0000,-0.5886,1.0374,0.4736,0.0686,1,0.0000
9,-0.0000,-0.5886,1.1040,0.5403,0.0666,1,0.0000
10,-0.0000,-0.5928,1.1725,0.6087,0.0686,1,0.0000
11,-0.0000,-0.5928,1.2391,0.6753,0.0666,1,0.0000
12,-0.0000,-0.5964,1.3076,0.7438,0.0686,1,0.0000
13,-0.0000,-0.5964,1.3742,0.8104,0.0666,1,0.0000
14,-0.0000,-0.5994,1.4427,0.8788,0.0685,1,0.0000
15,-0.0000,-0.5994,1.5093,0.9455,0.0666,1,0.0000
16,-0.0000,-0.6015,1.5778,1.0139,0.0685,1,0.0015
17,-0.0000,-0.6015,1.6444,1.0806,0.0666,1,0.0015
18,-0.0000,-0.6029,1.7128,1.1490,0.0685,1,0.0029
19,-0.0000,-0.6029,1.7795,1.2157,0.0666,1,0.0029
20,-0.0000,-0.6037,1.8479,1.2841,0.0684,1,0.0037
21,-0.0000,-0.6037,1.9145,1.3507,0.0666,1,0.0037
22,-0.0000,-0.6038,1.9830,1.4191,0.0684,1,0.0038
23,0.0000,-0.6038,2.0496,1.4858,0.0666,1,0.0038
24,0.0000,-0.6036,2.1180,1.5542,0.0684,1,0.0036
25,0.0000,-0.6036,2.1847,1.6208,0.0666,1,0.0036
26,0.0000,-0.6030,2.2531,1.6893,0.0684,1,0.0030
27,0.0000,-0.6030,2.3197,1.7559,0.0666,1,0.0030
28,0.0000,-0.6023,2.3881,1.8243,0.0684,1,0.0023
29,0.0000,-0.6023,2.4548,1.8910,0.0666,1,0.0023
30,0.0000,-0.6015,2.5232,1.9594,0.0684,1,0.0015
31,0.0000,-0.6015,2.4565,1.8927,0.0667,1,0.0015
