tick,local_x,local_y,local_z,drift_m,slip_m,on_bus_support,below_depth_m
1,0.0000,-0.5990,0.5638,0.0000,0.0000,1,0.0000
2,0.0000,-0.5990,0.6305,0.0667,0.0667,1,0.0000
3,-0.0000,-0.5607,0.7037,0.1450,0.0826,1,0.0000
4,-0.0000,-0.5990,0.7638,0.2000,0.0713,1,0.0000
5,0.0000,-0.5692,0.8407,0.2784,0.0824,1,0.0000
6,-0.0000,-0.5990,0.8971,0.3333,0.0638,1,0.0000
7,-0.0000,-0.5781,0.9776,0.4143,0.0832,1,0.0000
8,-0.0000,-0.5990,1.0304,0.4665,0.0568,1,0.0000
9,-0.0000,-0.5865,1.1145,0.5508,0.0851,1,0.0000
10,-0.0000,-0.5990,1.1637,0.5998,0.0507,1,0.0000
11,-0.0000,-0.5938,1.2514,0.6876,0.0879,1,0.0000
12,-0.0000,-0.5990,1.2970,0.7331,0.0458,1,0.0000
13,-0.0000,-0.5997,1.3883,0.8245,0.0914,1,0.0000
14,-0.0000,-0.5990,1.4302,0.8664,0.0419,1,0.0000
15,-0.0000,-0.6040,1.5252,0.9614,0.0951,1,0.0040
16,-0.0000,-0.5990,1.5635,0.9997,0.0386,1,0.0000
17,-0.0000,-0.6069,1.6621,1.0983,0.0989,1,0.0069
18,-0.0000,-0.5990,1.6968,1.1330,0.0356,1,0.0000
19,-0.0000,-0.6083,1.7990,1.2352,0.1026,1,0.0083
20,-0.0000,-0.5990,1.8301,1.2662,0.0325,1,0.0000
21,-0.0000,-0.6087,1.9358,1.3720,0.1062,1,0.0087
22,-0.0000,-0.5990,1.9633,1.3995,0.0292,1,0.0000
23,-0.0000,-0.6082,2.0727,1.5088,0.1097,1,0.0082
24,-0.0000,-0.5990,2.0966,1.5328,0.0256,1,0.0000
25,-0.0000,-0.6070,2.2095,1.6457,0.1132,1,0.0070
26,-0.0000,-0.5990,2.2299,1.6660,0.0219,1,0.0000
27,-0.0000,-0.6055,2.3463,1.7825,0.1166,1,0.0055
28,-0.0000,-0.5990,2.3632,1.7993,0.0181,1,0.0000
29,-0.0000,-0.6039,2.4831,1.9193,0.1201,1,0.0039
30,-0.0000,-0.5990,2.4964,1.9326,0.0142,1,0.0000
31,-0.0000,-0.6023,2.6199,2.0561,0.1235,1,0.0023
