tick,local_x,local_y,local_z,drift_m,slip_m,on_bus_support,below_depth_m
1,0.0000,-0.6000,0.5000,0.0000,0.0000,1,0.0000
2,0.0000,-0.6000,0.5000,0.0000,0.0000,1,0.0000
3,-0.0000,-0.5615,0.5065,0.0390,0.0390,1,0.0000
4,-0.0000,-0.5996,0.5065,0.0065,0.0380,1,0.0000
5,0.0000,-0.5696,0.5167,0.0347,0.0317,1,0.0000
6,0.0000,-0.5982,0.5166,0.0167,0.0286,1,0.0000
7,-0.0000,-0.5784,0.5305,0.0374,0.0242,1,0.0000
8,-0.0000,-0.6000,0.5304,0.0304,0.0216,1,0.0000
9,-0.0000,-0.5872,0.5479,0.0496,0.0217,1,0.0000
10,-0.0000,-0.5994,0.5479,0.0479,0.0122,1,0.0000
11,-0.0000,-0.5939,0.5690,0.0693,0.0218,1,0.0000
12,-0.0000,-0.5996,0.5690,0.0690,0.0057,1,0.0000
13,-0.0000,-0.6001,0.5938,0.0938,0.0247,1,0.0001
14,-0.0000,-0.6001,0.5938,0.0938,0.0000,1,0.0001
15,-0.0000,-0.6049,0.6221,0.1222,0.0288,1,0.0049
16,-0.0000,-0.5996,0.6221,0.1221,0.0053,1,0.0000
17,-0.0000,-0.6074,0.6541,0.1542,0.0329,1,0.0074
18,-0.0000,-0.5997,0.6541,0.1541,0.0077,1,0.0000
19,0.0000,-0.6090,0.6896,0.1898,0.0367,1,0.0090
20,0.0000,-0.5997,0.6896,0.1896,0.0093,1,0.0000
21,0.0000,-0.6094,0.7287,0.2289,0.0403,1,0.0094
22,0.0000,-0.5997,0.7288,0.2288,0.0097,1,0.0000
23,0.0000,-0.6089,0.7715,0.2716,0.0437,1,0.0089
24,0.0000,-0.5997,0.7715,0.2715,0.0092,1,0.0000
25,0.0000,-0.6078,0.8177,0.3178,0.0469,1,0.0078
26,0.0000,-0.5997,0.8178,0.3178,0.0081,1,0.0000
27,0.0000,-0.6063,0.8676,0.3676,0.0502,1,0.0063
28,0.0000,-0.5996,0.8676,0.3676,0.0067,1,0.0000
29,0.0000,-0.6046,0.9209,0.4209,0.0536,1,0.0046
30,0.0000,-0.5996,0.9209,0.4209,0.0050,1,0.0000
31,0.0000,-0.6030,0.9778,0.4778,0.0570,1,0.0030
32,0.0000,-0.5996,0.9778,0.4778,0.0034,1,0.0000
33,0.0000,-0.6015,1.0382,0.5382,0.0604,1,0.0015
34,0.0000,-0.5996,1.0382,0.5382,0.0019,1,0.0000
35,0.0000,-0.6002,1.1021,0.6021,0.0639,1,0.0002
36,0.0000,-0.6002,1.1021,0.6021,0.0000,1,0.0002
37,0.0000,-0.6000,1.1695,0.6695,0.0674,1,0.0000
38,0.0000,-0.6000,1.1695,0.6695,0.0000,1,0.0000
39,0.0000,-0.5990,1.2403,0.7403,0.0709,1,0.0000
40,0.0000,-0.5990,1.2403,0.7403,0.0000,1,0.0000
41,0.0000,-0.5976,1.3146,0.8146,0.0743,1,0.0000
42,0.0000,-0.5997,1.3146,0.8146,0.0021,1,0.0000
43,0.0000,-0.5982,1.3924,0.8924,0.0778,1,0.0000
44,0.0000,-0.5995,1.3924,0.8924,0.0013,1,0.0000
45,0.0000,-0.5980,1.4736,0.9736,0.0812,1,0.0000
46,0.0000,-0.5993,1.4736,0.9736,0.0013,1,0.0000
47,0.0000,-0.5979,1.5582,1.0582,0.0847,1,0.0000
48,0.0000,-0.5992,1.5582,1.0582,0.0013,1,0.0000
49,0.0000,-0.5982,1.6463,1.1463,0.0881,1,0.0000
50,0.0000,-0.5995,1.6463,1.1463,0.0013,1,0.0000
51,0.0000,-0.5987,1.7378,1.2378,0.0915,1,0.0000
52,0.0000,-0.6000,1.7378,1.2378,0.0013,1,0.0000
53,0.0000,-0.5995,1.8326,1.3326,0.0949,1,0.0000
54,0.0000,-0.5995,1.8326,1.3326,0.0000,1,0.0000
55,-0.0000,-0.5994,1.9309,1.4309,0.0982,1,0.0000
56,-0.0000,-0.5994,1.9309,1.4309,0.0000,1,0.0000
57,0.0000,-0.5995,2.0325,1.5325,0.1016,1,0.0000
58,0.0000,-0.5995,2.0325,1.5325,0.0000,1,0.0000
59,0.0000,-0.5999,2.1375,1.6375,0.1050,1,0.0000
60,0.0000,-0.5999,2.1375,1.6375,0.0000,1,0.0000
61,0.0000,-0.6004,2.2458,1.7458,0.1083,1,0.0004
62,0.0000,-0.6004,2.2458,1.7458,0.0000,1,0.0004
63,0.0000,-0.6010,2.3575,1.8575,0.1117,1,0.0010
64,0.0000,-0.5996,2.3575,1.8575,0.0015,1,0.0000
65,0.0000,-0.6003,2.4725,1.9725,0.1150,1,0.0003
66,0.0000,-0.6003,2.4725,1.9725,0.0000,1,0.0003
67,0.0000,-0.6010,2.5908,2.0908,0.1183,1,0.0010
68,0.0000,-0.5996,2.5908,2.0908,0.0014,1,0.0000
69,0.0000,-0.6003,2.7124,2.2124,0.1216,1,0.0003
70,0.0000,-0.6003,2.7124,2.2124,0.0000,1,0.0003
71,0.0000,-0.6010,2.8373,2.3373,0.1249,1,0.0010
72,0.0000,-0.5996,2.8373,2.3373,0.0014,1,0.0000
73,0.0000,-0.6002,2.9655,2.4655,0.1282,1,0.0002
74,0.0000,-0.6002,2.9655,2.4655,0.0000,1,0.0002
75,0.0000,-0.6008,3.0970,2.5970,0.1315,1,0.0008
76,0.0000,-0.5995,3.0970,2.5970,0.0013,1,0.0000
77,0.0000,-0.6001,3.2318,2.7318,0.1347,1,0.0001
78,0.0000,-0.6001,3.2318,2.7318,0.0000,1,0.0001
79,0.0000,-0.6006,3.3698,2.8698,0.1380,1,0.0006
80,0.0000,-0.5995,3.3698,2.8698,0.0011,1,0.0000
81,0.0000,-0.6000,3.5110,3.0110,0.1412,1,0.0000
82,0.0000,-0.6000,3.5110,3.0110,0.0000,1,0.0000
83,0.0000,-0.6005,3.6555,3.1555,0.1445,1,0.0005
84,0.0000,-0.6005,3.6555,3.1555,0.0000,1,0.0005
85,0.0000,-0.6009,3.8031,3.3031,0.1477,1,0.0009
86,0.0000,-0.5996,3.8031,3.3031,0.0014,1,0.0000
87,0.0000,-0.6000,3.9540,3.4540,0.1509,1,0.0000
88,0.0000,-0.6000,3.9540,3.4540,0.0000,1,0.0000
89,0.0000,-0.6004,4.1081,3.6081,0.1541,1,0.0004
90,0.0000,-0.6220,4.1081,3.6081,0.0216,0,0.0220
91,0.0000,-0.6225,4.2653,3.7654,0.1573,1,0.0225
92,0.0000,-0.6308,4.2653,3.7654,0.0083,0,0.0308
93,0.0000,-0.6424,4.4257,3.9260,0.1608,0,0.0424
94,0.0000,-0.6561,4.4257,3.9261,0.0138,0,0.0561
95,0.0000,-0.6731,4.5892,4.0899,0.1644,0,0.0731
96,0.0000,-0.6923,4.5892,4.0902,0.0192,0,0.0923
97,0.0000,-0.7148,4.7559,4.2574,0.1682,0,0.1148
98,0.0000,-0.7395,4.7558,4.2581,0.0247,0,0.1395
99,0.0000,-0.7674,4.9256,4.4288,0.1721,0,0.1674
100,0.0000,-0.7975,4.9255,4.4299,0.0301,0,0.1975
101,0.0000,-0.8309,5.0985,4.6043,0.1761,0,0.2309
102,0.0000,-0.8664,5.0984,4.6061,0.0356,0,0.2664
103,0.0000,-0.9053,5.2744,4.7842,0.1803,0,0.3053
104,0.0000,-0.9463,5.2743,4.7868,0.0410,0,0.3463
105,0.0000,-0.9906,5.4534,4.9688,0.1845,0,0.3906
106,0.0000,-0.9935,5.4534,4.9690,0.0029,0,0.3935
107,0.0000,-0.9954,5.6358,5.1510,0.1824,0,0.3954
108,0.0000,-0.9954,5.6358,5.1510,0.0000,0,0.3954
109,0.0000,-0.9960,5.8213,5.3360,0.1855,0,0.3960
110,0.0000,-0.9960,5.8213,5.3360,0.0000,0,0.3960
111,0.0000,-0.9966,6.0099,5.5241,0.1886,0,0.3966
112,0.0000,-0.9966,6.0099,5.5241,0.0000,0,0.3966
113,0.0000,-0.9973,6.2015,5.7154,0.1916,0,0.3973
114,0.0000,-0.9973,6.2015,5.7154,0.0000,0,0.3973
115,0.0000,-0.9979,6.3962,5.9096,0.1947,0,0.3979
116,0.0000,-0.9979,6.3962,5.9096,0.0000,0,0.3979
117,0.0000,-0.9986,6.5940,6.1070,0.1978,0,0.3986
118,0.0000,-0.9986,6.5940,6.1070,0.0000,0,0.3986
119,0.0000,-0.9992,6.7948,6.3074,0.2008,0,0.3992
120,0.0000,-0.9992,6.7948,6.3074,0.0000,0,0.3992
121,0.0000,-0.9999,6.9986,6.5109,0.2038,0,0.3999
122,0.0000,-0.9999,6.9986,6.5109,0.0000,0,0.3999
