tick,local_x,local_y,local_z,drift_m,slip_m,on_bus_support,below_depth_m
1,0.0000,-0.5990,0.5667,0.0000,0.0000,1,0.0000
2,0.0000,-0.5990,0.6333,0.0667,0.0667,1,0.0000
3,-0.0000,-0.5607,0.7065,0.1450,0.0826,1,0.0000
4,-0.0000,-0.5987,0.7731,0.2065,0.0767,1,0.0000
5,0.0000,-0.5692,0.8500,0.2849,0.0823,1,0.0000
6,-0.0000,-0.5980,0.9166,0.3499,0.0726,1,0.0000
7,-0.0000,-0.5781,0.9971,0.4310,0.0829,1,0.0000
8,-0.0000,-0.5999,1.0637,0.4971,0.0701,1,0.0000
9,-0.0000,-0.5865,1.1479,0.5814,0.0852,1,0.0000
10,-0.0000,-0.5989,1.2145,0.6479,0.0678,1,0.0000
11,-0.0000,-0.5938,1.3023,0.7356,0.0879,1,0.0000
12,-0.0000,-0.5990,1.3689,0.8023,0.0668,1,0.0000
13,-0.0000,-0.5997,1.4603,0.8936,0.0914,1,0.0000
14,-0.0000,-0.5990,1.5270,0.9603,0.0666,1,0.0000
15,-0.0000,-0.6040,1.6219,1.0553,0.0951,1,0.0040
16,-0.0000,-0.5990,1.6886,1.1219,0.0668,1,0.0000
17,-0.0000,-0.6069,1.7871,1.2205,0.0989,1,0.0069
18,-0.0000,-0.5990,1.8538,1.2871,0.0671,1,0.0000
19,-0.0000,-0.6083,1.9559,1.3893,0.1026,1,0.0083
20,-0.0000,-0.5990,2.0226,1.4559,0.0673,1,0.0000
21,0.0000,-0.6087,2.1283,1.5617,0.1062,1,0.0087
22,0.0000,-0.5990,2.1950,1.6283,0.0673,1,0.0000
23,0.0000,-0.6081,2.3043,1.7376,0.1097,1,0.0081
24,0.0000,-0.5990,2.3709,1.8042,0.0673,1,0.0000
25,0.0000,-0.6070,2.4838,1.9171,0.1132,1,0.0070
26,0.0000,-0.5990,2.5504,1.9838,0.0671,1,0.0000
27,0.0000,-0.6055,2.5335,1.9669,0.0181,1,0.0055
28,0.0000,-0.5990,2.4668,1.9002,0.0670,1,0.0000
29,0.0000,-0.6039,2.4535,1.8868,0.0142,1,0.0039
30,0.0000,-0.5990,2.3868,1.8201,0.0669,1,0.0000
31,0.0000,-0.6023,2.3769,1.8103,0.0104,1,0.0023
32,0.0000,-0.5990,2.3102,1.7436,0.0668,1,0.0000
33,0.0000,-0.6009,2.3039,1.7373,0.0066,1,0.0009
34,0.0000,-0.5990,2.2373,1.6706,0.0667,1,0.0000
35,0.0000,-0.5997,2.2344,1.6678,0.0029,1,0.0000
36,0.0000,-0.5990,2.1677,1.6011,0.0667,1,0.0000
37,0.0000,-0.5987,2.1684,1.6018,0.0007,1,0.0000
38,0.0000,-0.5990,2.1017,1.5351,0.0667,1,0.0000
39,0.0000,-0.5980,2.1059,1.5392,0.0043,1,0.0000
40,0.0000,-0.5990,2.0392,1.4725,0.0667,1,0.0000
41,0.0000,-0.5976,2.0468,1.4802,0.0078,1,0.0000
42,0.0000,-0.5990,1.9801,1.4135,0.0667,1,0.0000
43,0.0000,-0.5975,1.9912,1.4246,0.0112,1,0.0000
44,0.0000,-0.5990,1.9245,1.3579,0.0667,1,0.0000
45,0.0000,-0.5975,1.9390,1.3724,0.0146,1,0.0000
46,0.0000,-0.5990,1.8724,1.3057,0.0667,1,0.0000
47,0.0000,-0.5977,1.8903,1.3236,0.0180,1,0.0000
48,0.0000,-0.5990,1.8236,1.2570,0.0667,1,0.0000
49,0.0000,-0.5979,1.8450,1.2783,0.0214,1,0.0000
50,0.0000,-0.5990,1.7783,1.2116,0.0667,1,0.0000
51,0.0000,-0.5982,1.8031,1.2364,0.0248,1,0.0000
52,0.0000,-0.5990,1.7364,1.1697,0.0667,1,0.0000
53,0.0000,-0.5986,1.7645,1.1979,0.0282,1,0.0000
54,0.0000,-0.5990,1.6979,1.1312,0.0667,1,0.0000
55,-0.0000,-0.5989,1.7294,1.1627,0.0315,1,0.0000
56,-0.0000,-0.5990,1.6627,1.0960,0.0667,1,0.0000
57,0.0000,-0.5991,1.6976,1.1310,0.0349,1,0.0000
58,0.0000,-0.5990,1.6309,1.0643,0.0667,1,0.0000
59,0.0000,-0.5994,1.6692,1.1026,0.0383,1,0.0000
60,0.0000,-0.5990,1.6025,1.0359,0.0667,1,0.0000
61,0.0000,-0.5995,1.6442,1.0775,0.0416,1,0.0000
62,0.0000,-0.5990,1.5775,1.0108,0.0667,1,0.0000
63,0.0000,-0.5996,1.6225,1.0558,0.0450,1,0.0000
64,0.0000,-0.5990,1.5558,0.9891,0.0667,1,0.0000
65,0.0000,-0.5997,1.6041,1.0374,0.0483,1,0.0000
66,0.0000,-0.5990,1.5374,0.9707,0.0667,1,0.0000
67,0.0000,-0.5997,1.5890,1.0223,0.0516,1,0.0000
68,0.0000,-0.5990,1.5223,0.9556,0.0667,1,0.0000
69,0.0000,-0.5997,1.5772,1.0106,0.0549,1,0.0000
70,0.0000,-0.5990,1.5105,0.9439,0.0667,1,0.0000
71,0.0000,-0.5997,1.5688,1.0021,0.0582,1,0.0000
72,0.0000,-0.5990,1.5021,0.9354,0.0667,1,0.0000
73,0.0000,-0.5997,1.5636,0.9969,0.0615,1,0.0000
74,0.0000,-0.5990,1.4969,0.9302,0.0667,1,0.0000
75,0.0000,-0.5996,1.5617,0.9950,0.0648,1,0.0000
76,0.0000,-0.5990,1.4950,0.9283,0.0667,1,0.0000
77,0.0000,-0.5996,1.5630,0.9964,0.0680,1,0.0000
78,0.0000,-0.5990,1.4963,0.9297,0.0667,1,0.0000
79,0.0000,-0.5995,1.5676,1.0010,0.0713,1,0.0000
80,0.0000,-0.5990,1.5009,0.9343,0.0667,1,0.0000
81,0.0000,-0.5995,1.5755,1.0088,0.0745,1,0.0000
82,0.0000,-0.5990,1.5088,0.9421,0.0667,1,0.0000
83,0.0000,-0.5995,1.5866,1.0199,0.0778,1,0.0000
84,0.0000,-0.5990,1.5199,0.9532,0.0667,1,0.0000
85,0.0000,-0.5995,1.6009,1.0342,0.0810,1,0.0000
86,0.0000,-0.5990,1.5342,0.9675,0.0667,1,0.0000
87,0.0000,-0.5994,1.6184,1.0517,0.0842,1,0.0000
88,0.0000,-0.5990,1.5517,0.9850,0.0667,1,0.0000
89,0.0000,-0.5995,1.6391,1.0724,0.0874,1,0.0000
90,0.0000,-0.5990,1.5724,1.0057,0.0667,1,0.0000
91,0.0000,-0.5995,1.6630,1.0963,0.0906,1,0.0000
92,0.0000,-0.5990,1.5963,1.0296,0.0667,1,0.0000
93,0.0000,-0.5995,1.6900,1.1234,0.0938,1,0.0000
94,0.0000,-0.5990,1.6233,1.0567,0.0667,1,0.0000
95,0.0000,-0.5995,1.7203,1.1536,0.0969,1,0.0000
96,0.0000,-0.5990,1.6536,1.0869,0.0667,1,0.0000
97,0.0000,-0.5995,1.7537,1.1870,0.1001,1,0.0000
98,0.0000,-0.5990,1.6870,1.1203,0.0667,1,0.0000
99,0.0000,-0.5995,1.7902,1.2235,0.1032,1,0.0000
100,0.0000,-0.5990,1.7235,1.1568,0.0667,1,0.0000
101,0.0000,-0.5996,1.8299,1.2632,0.1064,1,0.0000
102,0.0000,-0.5990,1.7632,1.1965,0.0667,1,0.0000
103,0.0000,-0.5996,1.8727,1.3060,0.1095,1,0.0000
104,0.0000,-0.5990,1.8060,1.2393,0.0667,1,0.0000
105,0.0000,-0.5996,1.9186,1.3519,0.1126,1,0.0000
106,0.0000,-0.5990,1.8519,1.2852,0.0667,1,0.0000
107,0.0000,-0.5996,1.9676,1.4009,0.1157,1,0.0000
108,0.0000,-0.5990,1.9009,1.3342,0.0667,1,0.0000
109,0.0000,-0.5996,2.0197,1.4530,0.1188,1,0.0000
110,0.0000,-0.5990,1.9530,1.3863,0.0667,1,0.0000
111,0.0000,-0.5996,2.0749,1.5082,0.1219,1,0.0000
112,0.0000,-0.5990,2.0082,1.4415,0.0667,1,0.0000
113,0.0000,-0.5997,2.1331,1.5665,0.1250,1,0.0000
114,0.0000,-0.5990,2.0664,1.4998,0.0667,1,0.0000
115,0.0000,-0.5997,2.1944,1.6278,0.1280,1,0.0000
116,0.0000,-0.5990,2.1278,1.5611,0.0667,1,0.0000
117,0.0000,-0.5997,2.2588,1.6922,0.1311,1,0.0000
118,0.0000,-0.5990,2.1921,1.6255,0.0667,1,0.0000
119,0.0000,-0.5997,2.3262,1.7596,0.1341,1,0.0000
120,0.0000,-0.5990,2.2595,1.6929,0.0667,1,0.0000
121,0.0000,-0.5997,2.3967,1.8300,0.1371,1,0.0000
122,0.0000,-0.5990,2.3300,1.7633,0.0667,1,0.0000
123,0.0000,-0.5997,2.4702,1.9035,0.1402,1,0.0000
124,0.0000,-0.5990,2.4035,1.8368,0.0667,1,0.0000
125,0.0000,-0.5997,2.5466,1.9800,0.1432,1,0.0000
126,0.0000,-0.5990,2.4799,1.9133,0.0667,1,0.0000
127,0.0000,-0.5997,2.6261,2.0595,0.1462,1,0.0000
128,0.0000,-0.5990,2.5594,1.9928,0.0667,1,0.0000
129,0.0000,-0.5997,2.7086,2.1419,0.1492,1,0.0000
130,0.0000,-0.5990,2.6419,2.0752,0.0667,1,0.0000
131,0.0000,-0.5997,2.7941,2.2274,0.1521,1,0.0000
132,0.0000,-0.5990,2.7274,2.1607,0.0667,1,0.0000
133,0.0000,-0.5997,2.8825,2.3158,0.1551,1,0.0000
134,0.0000,-0.5990,2.8158,2.2491,0.0667,1,0.0000
135,0.0000,-0.5997,2.9739,2.4072,0.1581,1,0.0000
136,0.0000,-0.5990,2.9072,2.3405,0.0667,1,0.0000
137,0.0000,-0.5998,3.0682,2.5015,0.1610,1,0.0000
138,0.0000,-0.5990,3.0015,2.4348,0.0667,1,0.0000
139,0.0000,-0.5998,3.1655,2.5988,0.1640,1,0.0000
140,0.0000,-0.5990,3.0988,2.5321,0.0667,1,0.0000
141,0.0000,-0.5998,3.2657,2.6990,0.1669,1,0.0000
142,0.0000,-0.5990,3.1990,2.6323,0.0667,1,0.0000
143,0.0000,-0.5998,3.3688,2.8022,0.1698,1,0.0000
