tick,local_x,local_y,local_z,drift_m,slip_m,on_bus_support,below_depth_m
1,0.0000,-0.5990,0.5638,0.0000,0.0000,1,0.0000
2,0.0000,-0.5990,0.6305,0.0667,0.0667,1,0.0000
3,-0.0000,-0.5798,0.7004,0.1379,0.0725,1,0.0000
4,-0.0000,-0.5798,0.7671,0.2041,0.0667,1,0.0000
5,-0.0000,-0.5841,0.8356,0.2721,0.0686,1,0.0000
6,-0.0000,-0.5841,0.9022,0.3387,0.0667,1,0.0000
7,-0.0000,-0.5886,0.9707,0.4070,0.0686,1,0.0000
8,-0.0000,-0.5886,1.0374,0.4736,0.0666,1,0.0000
9,-0.0000,-0.5928,1.1058,0.5420,0.0686,1,0.0000
10,-0.0000,-0.5928,1.1725,0.6087,0.0666,1,0.0000
11,-0.0000,-0.5964,1.2409,0.6771,0.0686,1,0.0000
12,-0.0000,-0.5964,1.3076,0.7437,0.0666,1,0.0000
13,-0.0000,-0.5993,1.3760,0.8122,0.0685,1,0.0000
14,-0.0000,-0.5994,1.4427,0.8788,0.0666,1,0.0000
15,-0.0000,-0.6015,1.5111,0.9473,0.0685,1,0.0015
16,-0.0000,-0.6015,1.5777,1.0139,0.0666,1,0.0015
17,-0.0000,-0.6029,1.6462,1.0824,0.0685,1,0.0029
18,-0.0000,-0.6029,1.7128,1.1490,0.0666,1,0.0029
19,-0.0000,-0.6037,1.7813,1.2174,0.0684,1,0.0037
20,-0.0000,-0.6037,1.8479,1.2841,0.0666,1,0.0037
21,-0.0000,-0.6038,1.9163,1.3525,0.0684,1,0.0038
22,0.0000,-0.6038,1.9830,1.4191,0.0666,1,0.0038
23,0.0000,-0.6036,2.0514,1.4875,0.0684,1,0.0036
24,0.0000,-0.6036,2.1180,1.5542,0.0666,1,0.0036
25,0.0000,-0.6030,2.1864,1.6226,0.0684,1,0.0030
26,0.0000,-0.6030,2.2531,1.6892,0.0666,1,0.0030
27,0.0000,-0.6023,2.3215,1.7576,0.0684,1,0.0023
28,0.0000,-0.6023,2.3881,1.8243,0.0666,1,0.0023
29,0.0000,-0.6015,2.4565,1.8927,0.0684,1,0.0015
30,0.0000,-0.6015,2.5232,1.9593,0.0666,1,0.0015
31,0.0000,-0.6007,2.4582,1.8944,0.0649,1,0.0007
