tick,local_x,local_y,local_z,drift_m,slip_m,on_bus_support,below_depth_m
1,0.0000,-0.5990,0.5667,0.0000,0.0000,1,0.0000
2,-0.0000,-0.5606,0.6398,0.0826,0.0826,1,0.0000
3,-0.0000,-0.5987,0.7065,0.1398,0.0767,1,0.0000
4,0.0000,-0.5692,0.7833,0.2187,0.0823,1,0.0000
5,0.0000,-0.5979,0.8499,0.2833,0.0726,1,0.0000
6,-0.0000,-0.5781,0.9305,0.3644,0.0829,1,0.0000
7,-0.0000,-0.5999,0.9971,0.4304,0.0701,1,0.0000
8,-0.0000,-0.5865,1.0812,0.5147,0.0852,1,0.0000
9,-0.0000,-0.5989,1.1479,0.5812,0.0678,1,0.0000
10,-0.0000,-0.5938,1.2356,0.6690,0.0879,1,0.0000
11,-0.0000,-0.5990,1.3023,0.7356,0.0668,1,0.0000
12,-0.0000,-0.5997,1.3936,0.8270,0.0914,1,0.0000
13,-0.0000,-0.5990,1.4603,0.8936,0.0666,1,0.0000
14,-0.0000,-0.6040,1.5553,0.9886,0.0951,1,0.0040
15,-0.0000,-0.5990,1.6219,1.0552,0.0668,1,0.0000
16,-0.0000,-0.6069,1.7205,1.1538,0.0989,1,0.0069
17,-0.0000,-0.5990,1.7871,1.2204,0.0671,1,0.0000
18,-0.0000,-0.6083,1.8893,1.3226,0.1026,1,0.0083
19,-0.0000,-0.5990,1.9559,1.3892,0.0673,1,0.0000
20,0.0000,-0.6087,2.0617,1.4950,0.1062,1,0.0087
21,0.0000,-0.5990,2.1283,1.5616,0.0673,1,0.0000
22,0.0000,-0.6082,2.2376,1.6710,0.1097,1,0.0082
23,0.0000,-0.5990,2.3042,1.7376,0.0673,1,0.0000
24,0.0000,-0.6070,2.4171,1.8505,0.1132,1,0.0070
25,0.0000,-0.5990,2.4838,1.9171,0.0671,1,0.0000
26,0.0000,-0.6055,2.6002,2.0335,0.1166,1,0.0055
27,0.0000,-0.5990,2.5335,1.9668,0.0670,1,0.0000
28,0.0000,-0.6039,2.5201,1.9535,0.0142,1,0.0039
29,0.0000,-0.5990,2.4534,1.8868,0.0669,1,0.0000
30,0.0000,-0.6023,2.4436,1.8769,0.0104,1,0.0023
31,0.0000,-0.5990,2.3769,1.8103,0.0668,1,0.0000
32,0.0000,-0.6009,2.3706,1.8039,0.0066,1,0.0009
33,0.0000,-0.5990,2.3039,1.7373,0.0667,1,0.0000
34,0.0000,-0.5997,2.3011,1.7344,0.0029,1,0.0000
35,0.0000,-0.5990,2.2344,1.6677,0.0667,1,0.0000
36,0.0000,-0.5987,2.2351,1.6684,0.0007,1,0.0000
37,0.0000,-0.5990,2.1684,1.6017,0.0667,1,0.0000
38,0.0000,-0.5980,2.1726,1.6059,0.0043,1,0.0000
39,0.0000,-0.5990,2.1059,1.5392,0.0667,1,0.0000
40,0.0000,-0.5976,2.1135,1.5468,0.0078,1,0.0000
41,0.0000,-0.5990,2.0468,1.4801,0.0667,1,0.0000
42,0.0000,-0.5975,2.0579,1.4912,0.0112,1,0.0000
43,0.0000,-0.5990,1.9912,1.4245,0.0667,1,0.0000
44,0.0000,-0.5975,2.0057,1.4390,0.0146,1,0.0000
45,0.0000,-0.5990,1.9390,1.3724,0.0667,1,0.0000
46,0.0000,-0.5977,1.9570,1.3903,0.0180,1,0.0000
47,0.0000,-0.5990,1.8903,1.3236,0.0667,1,0.0000
48,0.0000,-0.5979,1.9117,1.3450,0.0214,1,0.0000
49,0.0000,-0.5990,1.8450,1.2783,0.0667,1,0.0000
50,0.0000,-0.5982,1.8697,1.3031,0.0248,1,0.0000
51,0.0000,-0.5990,1.8030,1.2364,0.0667,1,0.0000
52,0.0000,-0.5986,1.8312,1.2645,0.0282,1,0.0000
53,0.0000,-0.5990,1.7645,1.1979,0.0667,1,0.0000
54,-0.0000,-0.5989,1.7961,1.2294,0.0316,1,0.0000
55,-0.0000,-0.5990,1.7294,1.1627,0.0667,1,0.0000
56,0.0000,-0.5991,1.7643,1.1976,0.0349,1,0.0000
57,0.0000,-0.5990,1.6976,1.1309,0.0667,1,0.0000
58,0.0000,-0.5994,1.7359,1.1692,0.0383,1,0.0000
59,0.0000,-0.5990,1.6692,1.1025,0.0667,1,0.0000
60,0.0000,-0.5995,1.7108,1.1442,0.0416,1,0.0000
61,0.0000,-0.5990,1.6441,1.0775,0.0667,1,0.0000
62,0.0000,-0.5996,1.6891,1.1225,0.0450,1,0.0000
63,0.0000,-0.5990,1.6224,1.0558,0.0667,1,0.0000
64,0.0000,-0.5997,1.6707,1.1041,0.0483,1,0.0000
65,0.0000,-0.5990,1.6040,1.0374,0.0667,1,0.0000
66,0.0000,-0.5997,1.6557,1.0890,0.0516,1,0.0000
67,0.0000,-0.5990,1.5890,1.0223,0.0667,1,0.0000
68,0.0000,-0.5997,1.6439,1.0772,0.0549,1,0.0000
69,0.0000,-0.5990,1.5772,1.0105,0.0667,1,0.0000
70,0.0000,-0.5997,1.6354,1.0688,0.0582,1,0.0000
71,0.0000,-0.5990,1.5687,1.0021,0.0667,1,0.0000
72,0.0000,-0.5997,1.6303,1.0636,0.0615,1,0.0000
73,0.0000,-0.5990,1.5636,0.9969,0.0667,1,0.0000
74,0.0000,-0.5996,1.6283,1.0617,0.0648,1,0.0000
75,0.0000,-0.5990,1.5616,0.9950,0.0667,1,0.0000
76,0.0000,-0.5996,1.6297,1.0630,0.0681,1,0.0000
77,0.0000,-0.5990,1.5630,0.9963,0.0667,1,0.0000
78,0.0000,-0.5995,1.6343,1.0676,0.0713,1,0.0000
79,0.0000,-0.5990,1.5676,1.0009,0.0667,1,0.0000
80,0.0000,-0.5995,1.6422,1.0755,0.0745,1,0.0000
81,0.0000,-0.5990,1.5755,1.0088,0.0667,1,0.0000
82,0.0000,-0.5995,1.6532,1.0866,0.0778,1,0.0000
83,0.0000,-0.5990,1.5865,1.0199,0.0667,1,0.0000
84,0.0000,-0.5995,1.6675,1.1009,0.0810,1,0.0000
85,0.0000,-0.5990,1.6008,1.0342,0.0667,1,0.0000
86,0.0000,-0.5994,1.6850,1.1184,0.0842,1,0.0000
87,0.0000,-0.5990,1.6183,1.0517,0.0667,1,0.0000
88,0.0000,-0.5995,1.7057,1.1391,0.0874,1,0.0000
89,0.0000,-0.5990,1.6390,1.0724,0.0667,1,0.0000
90,0.0000,-0.5995,1.7296,1.1630,0.0906,1,0.0000
91,0.0000,-0.5990,1.6629,1.0963,0.0667,1,0.0000
92,0.0000,-0.5995,1.7567,1.1900,0.0938,1,0.0000
93,0.0000,-0.5990,1.6900,1.1233,0.0667,1,0.0000
94,0.0000,-0.5995,1.7869,1.2203,0.0969,1,0.0000
95,0.0000,-0.5990,1.7202,1.1536,0.0667,1,0.0000
96,0.0000,-0.5995,1.8203,1.2537,0.1001,1,0.0000
97,0.0000,-0.5990,1.7536,1.1870,0.0667,1,0.0000
98,0.0000,-0.5995,1.8569,1.2902,0.1032,1,0.0000
99,0.0000,-0.5990,1.7902,1.2235,0.0667,1,0.0000
100,0.0000,-0.5996,1.8965,1.3299,0.1064,1,0.0000
101,0.0000,-0.5990,1.8298,1.2632,0.0667,1,0.0000
102,0.0000,-0.5996,1.9393,1.3727,0.1095,1,0.0000
103,0.0000,-0.5990,1.8726,1.3060,0.0667,1,0.0000
104,0.0000,-0.5996,1.9852,1.4186,0.1126,1,0.0000
105,0.0000,-0.5990,1.9185,1.3519,0.0667,1,0.0000
106,0.0000,-0.5996,2.0342,1.4676,0.1157,1,0.0000
107,0.0000,-0.5990,1.9676,1.4009,0.0667,1,0.0000
108,0.0000,-0.5996,2.0863,1.5197,0.1188,1,0.0000
109,0.0000,-0.5990,2.0197,1.4530,0.0667,1,0.0000
110,0.0000,-0.5996,2.1415,1.5749,0.1219,1,0.0000
111,0.0000,-0.5990,2.0748,1.5082,0.0667,1,0.0000
112,0.0000,-0.5997,2.1998,1.6331,0.1250,1,0.0000
113,0.0000,-0.5990,2.1331,1.5664,0.0667,1,0.0000
114,0.0000,-0.5997,2.2611,1.6945,0.1280,1,0.0000
115,0.0000,-0.5990,2.1944,1.6278,0.0667,1,0.0000
116,0.0000,-0.5997,2.3255,1.7588,0.1311,1,0.0000
117,0.0000,-0.5990,2.2588,1.6921,0.0667,1,0.0000
118,0.0000,-0.5997,2.3929,1.8262,0.1341,1,0.0000
119,0.0000,-0.5990,2.3262,1.7595,0.0667,1,0.0000
120,0.0000,-0.5997,2.4634,1.8967,0.1371,1,0.0000
121,0.0000,-0.5990,2.3967,1.8300,0.0667,1,0.0000
122,0.0000,-0.5997,2.5368,1.9702,0.1402,1,0.0000
123,0.0000,-0.5990,2.4701,1.9035,0.0667,1,0.0000
124,0.0000,-0.5997,2.6133,2.0466,0.1432,1,0.0000
125,0.0000,-0.5990,2.5466,1.9799,0.0667,1,0.0000
126,0.0000,-0.5997,2.6928,2.1261,0.1462,1,0.0000
127,0.0000,-0.5990,2.6261,2.0594,0.0667,1,0.0000
128,0.0000,-0.5997,2.7753,2.2086,0.1492,1,0.0000
129,0.0000,-0.5990,2.7086,2.1419,0.0667,1,0.0000
130,0.0000,-0.5997,2.8607,2.2941,0.1522,1,0.0000
131,0.0000,-0.5990,2.7940,2.2274,0.0667,1,0.0000
132,0.0000,-0.5997,2.9491,2.3825,0.1551,1,0.0000
133,0.0000,-0.5990,2.8825,2.3158,0.0667,1,0.0000
134,0.0000,-0.5997,3.0405,2.4739,0.1581,1,0.0000
135,0.0000,-0.5990,2.9738,2.4072,0.0667,1,0.0000
136,0.0000,-0.5998,3.1349,2.5682,0.1610,1,0.0000
137,0.0000,-0.5990,3.0682,2.5015,0.0667,1,0.0000
138,0.0000,-0.5998,3.2322,2.6655,0.1640,1,0.0000
139,0.0000,-0.5990,3.1655,2.5988,0.0667,1,0.0000
140,0.0000,-0.5998,3.3324,2.7657,0.1669,1,0.0000
141,0.0000,-0.5990,3.2657,2.6990,0.0667,1,0.0000
142,0.0000,-0.5998,3.4355,2.8688,0.1698,1,0.0000
143,0.0000,-0.5990,3.3688,2.8021,0.0667,1,0.0000
144,0.0000,-0.5998,3.5416,2.9749,0.1727,1,0.0000
145,0.0000,-0.5990,3.4749,2.9082,0.0667,1,0.0000
146,0.0000,-0.5998,3.6505,3.0838,0.1756,1,0.0000
147,0.0000,-0.5990,3.5838,3.0172,0.0667,1,0.0000
148,0.0000,-0.5998,3.7624,3.1957,0.1785,1,0.0000
149,0.0000,-0.5990,3.6957,3.1290,0.0667,1,0.0000
150,0.0000,-0.5998,3.8771,3.3104,0.1814,1,0.0000
151,0.0000,-0.5990,3.8104,3.2437,0.0667,1,0.0000
152,0.0000,-0.5998,3.9947,3.4280,0.1843,1,0.0000
153,0.0000,-0.5991,3.9280,3.3613,0.0667,1,0.0000
154,0.0000,-0.5999,4.1152,3.5485,0.1872,1,0.0000
155,0.0000,-0.6046,4.0492,3.4826,0.0661,1,0.0046
156,0.0000,-0.5945,4.2425,3.6759,0.1936,1,0.0000
157,0.0000,-0.6604,4.1757,3.6095,0.0939,0,0.0604
158,0.0000,-0.6322,4.3958,3.8293,0.2220,1,0.0322
159,0.0000,-0.6404,4.3291,3.7627,0.0672,0,0.0404
160,0.0000,-0.6520,4.5248,3.9585,0.1960,0,0.0520
161,0.0000,-0.6656,4.4581,3.8920,0.0681,0,0.0656
162,0.0000,-0.6828,4.6566,4.0908,0.1992,0,0.0828
163,0.0000,-0.7018,4.5899,4.0245,0.0694,0,0.1018
164,0.0000,-0.7244,4.7912,4.2264,0.2026,0,0.1244
165,0.0000,-0.7488,4.7245,4.1605,0.0711,0,0.1488
166,0.0000,-0.7769,4.9285,4.3655,0.2060,0,0.1769
167,0.0000,-0.8068,4.8618,4.3001,0.0732,0,0.2068
168,0.0000,-0.8403,5.0686,4.5084,0.2096,0,0.2403
169,0.0000,-0.8756,5.0019,4.4438,0.0756,0,0.2756
170,0.0000,-0.9146,5.2115,4.6555,0.2132,0,0.3146
171,0.0000,-0.9554,5.1447,4.5919,0.0783,0,0.3554
172,0.0000,-0.9941,5.3571,4.8067,0.2159,0,0.3941
173,0.0000,-0.9939,5.2905,4.7403,0.0667,0,0.3939
174,0.0000,-0.9946,5.5058,4.9549,0.2153,0,0.3946
175,0.0000,-0.9944,5.4391,4.8885,0.0667,0,0.3944
176,0.0000,-0.9951,5.6572,5.1059,0.2181,0,0.3951
177,0.0000,-0.9949,5.5905,5.0394,0.0667,0,0.3949
178,0.0000,-0.9956,5.8113,5.2597,0.2208,0,0.3956
179,0.0000,-0.9954,5.7447,5.1932,0.0667,0,0.3954
180,0.0000,-0.9962,5.9683,5.4162,0.2236,0,0.3962
181,0.0000,-0.9959,5.9016,5.3497,0.0667,0,0.3959
182,0.0000,-0.9967,6.1279,5.5754,0.2263,0,0.3967
183,0.0000,-0.9965,6.0612,5.5089,0.0667,0,0.3965
184,0.0000,-0.9972,6.2903,5.7374,0.2290,0,0.3972
185,0.0000,-0.9970,6.2236,5.6709,0.0667,0,0.3970
186,0.0000,-0.9978,6.4553,5.9022,0.2317,0,0.3978
187,0.0000,-0.9975,6.3887,5.8356,0.0667,0,0.3975
188,0.0000,-0.9983,6.6231,6.0696,0.2345,0,0.3983
189,0.0000,-0.9981,6.5565,6.0031,0.0667,0,0.3981
190,0.0000,-0.9989,6.7936,6.2398,0.2372,0,0.3989
191,0.0000,-0.9986,6.7269,6.1732,0.0667,0,0.3986
192,0.0000,-0.9994,6.9668,6.4126,0.2398,0,0.3994
193,0.0000,-0.9992,6.9001,6.3461,0.0667,0,0.3992
194,0.0000,-1.0000,7.1426,6.5882,0.2425,0,0.4000
195,0.0000,-0.9998,7.0760,6.5216,0.0667,0,0.3998
196,0.0000,-1.0006,7.3212,6.7664,0.2452,0,0.4006
