tick,local_x,local_y,local_z,drift_m,slip_m,on_floor,below_depth_m
1,-0.0000,-0.6031,0.4999,0.0000,0.0000,1,0.0031
2,-0.0000,-0.5996,0.4999,0.0035,0.0035,1,0.0000
3,-0.0000,-0.5804,0.5032,0.0229,0.0195,1,0.0000
4,-0.0000,-0.5804,0.5032,0.0229,0.0000,1,0.0000
5,-0.0000,-0.5846,0.5050,0.0192,0.0046,1,0.0000
6,-0.0000,-0.5846,0.5050,0.0192,0.0000,1,0.0000
7,-0.0000,-0.5890,0.5069,0.0157,0.0048,1,0.0000
8,-0.0000,-0.5890,0.5068,0.0157,0.0000,1,0.0000
9,-0.0000,-0.5932,0.5087,0.0132,0.0045,1,0.0000
10,-0.0000,-0.5932,0.5087,0.0132,0.0000,1,0.0000
11,-0.0000,-0.5968,0.5105,0.0123,0.0041,1,0.0000
12,-0.0000,-0.5968,0.5105,0.0123,0.0000,1,0.0000
13,-0.0000,-0.5998,0.5123,0.0128,0.0035,1,0.0000
14,-0.0000,-0.5998,0.5123,0.0128,0.0000,1,0.0000
15,-0.0000,-0.6020,0.5141,0.0142,0.0028,1,0.0020
16,-0.0000,-0.6020,0.5141,0.0142,0.0000,1,0.0020
17,-0.0000,-0.6034,0.5159,0.0159,0.0023,1,0.0034
18,-0.0000,-0.6034,0.5159,0.0159,0.0000,1,0.0034
19,-0.0000,-0.6042,0.5177,0.0178,0.0020,1,0.0042
20,-0.0000,-0.6042,0.5177,0.0178,0.0000,1,0.0042
21,-0.0000,-0.6044,0.5195,0.0196,0.0018,1,0.0044
22,-0.0000,-0.6044,0.5195,0.0196,0.0000,1,0.0044
23,-0.0000,-0.6042,0.5212,0.0213,0.0018,1,0.0042
24,-0.0000,-0.6042,0.5212,0.0213,0.0000,1,0.0042
25,-0.0000,-0.6036,0.5230,0.0231,0.0019,1,0.0036
26,-0.0000,-0.6036,0.5230,0.0231,0.0000,1,0.0036
27,-0.0000,-0.6029,0.5248,0.0249,0.0019,1,0.0029
28,-0.0000,-0.6029,0.5248,0.0249,0.0000,1,0.0029
29,-0.0000,-0.6021,0.5266,0.0267,0.0019,1,0.0021
30,-0.0000,-0.6021,0.5266,0.0267,0.0000,1,0.0021
31,-0.0000,-0.6013,0.5283,0.0285,0.0019,1,0.0013
32,-0.0000,-0.6013,0.5283,0.0285,0.0000,1,0.0013
33,-0.0000,-0.6005,0.5301,0.0303,0.0019,1,0.0005
34,-0.0000,-0.6005,0.5301,0.0303,0.0000,1,0.0005
35,-0.0000,-0.5999,0.5318,0.0321,0.0019,1,0.0000
36,-0.0000,-0.5999,0.5318,0.0321,0.0000,1,0.0000
37,-0.0000,-0.5994,0.5336,0.0339,0.0018,1,0.0000
38,-0.0000,-0.5994,0.5336,0.0339,0.0000,1,0.0000
39,-0.0000,-0.5991,0.5353,0.0356,0.0018,1,0.0000
40,-0.0000,-0.5991,0.5353,0.0356,0.0000,1,0.0000
41,-0.0000,-0.5989,0.5371,0.0374,0.0017,1,0.0000
42,-0.0000,-0.5989,0.5371,0.0374,0.0000,1,0.0000
43,-0.0000,-0.5988,0.5388,0.0391,0.0017,1,0.0000
44,-0.0000,-0.5988,0.5388,0.0391,0.0000,1,0.0000
45,-0.0000,-0.5988,0.5405,0.0408,0.0017,1,0.0000
46,-0.0000,-0.5988,0.5405,0.0408,0.0000,1,0.0000
47,-0.0000,-0.5989,0.5422,0.0425,0.0017,1,0.0000
48,-0.0000,-0.5989,0.5422,0.0425,0.0000,1,0.0000
49,-0.0000,-0.5990,0.5439,0.0442,0.0017,1,0.0000
50,-0.0000,-0.5990,0.5439,0.0442,0.0000,1,0.0000
51,-0.0000,-0.5992,0.5456,0.0459,0.0017,1,0.0000
52,-0.0000,-0.5992,0.5456,0.0459,0.0000,1,0.0000
53,-0.0000,-0.5993,0.5473,0.0476,0.0017,1,0.0000
54,-0.0000,-0.5993,0.5473,0.0476,0.0000,1,0.0000
55,-0.0000,-0.5995,0.5490,0.0492,0.0017,1,0.0000
56,-0.0000,-0.5995,0.5490,0.0492,0.0000,1,0.0000
57,-0.0000,-0.5996,0.5507,0.0509,0.0017,1,0.0000
58,-0.0000,-0.5996,0.5507,0.0509,0.0000,1,0.0000
59,-0.0000,-0.5997,0.5524,0.0526,0.0017,1,0.0000
60,-0.0000,-0.5997,0.5524,0.0526,0.0000,1,0.0000
61,-0.0000,-0.5998,0.5541,0.0542,0.0017,1,0.0000
62,-0.0000,-0.5998,0.5541,0.0542,0.0000,1,0.0000
63,-0.0000,-0.5999,0.5557,0.0559,0.0017,1,0.0000
64,-0.0000,-0.5999,0.5557,0.0559,0.0000,1,0.0000
65,-0.0000,-0.5999,0.5574,0.0576,0.0017,1,0.0000
66,-0.0000,-0.5999,0.5574,0.0576,0.0000,1,0.0000
67,-0.0000,-0.5999,0.5591,0.0592,0.0017,1,0.0000
68,-0.0000,-0.5999,0.5591,0.0592,0.0000,1,0.0000
69,-0.0000,-0.5999,0.5607,0.0609,0.0017,1,0.0000
70,-0.0000,-0.5999,0.5607,0.0609,0.0000,1,0.0000
71,-0.0000,-0.5999,0.5624,0.0625,0.0016,1,0.0000
72,-0.0000,-0.5999,0.5624,0.0625,0.0000,1,0.0000
73,-0.0000,-0.5999,0.5640,0.0642,0.0016,1,0.0000
74,-0.0000,-0.5999,0.5640,0.0642,0.0000,1,0.0000
75,-0.0000,-0.5999,0.5656,0.0658,0.0016,1,0.0000
76,-0.0000,-0.5999,0.5656,0.0658,0.0000,1,0.0000
77,-0.0000,-0.5998,0.5673,0.0674,0.0016,1,0.0000
78,-0.0000,-0.5998,0.5673,0.0674,0.0000,1,0.0000
79,-0.0000,-0.5998,0.5689,0.0690,0.0016,1,0.0000
80,-0.0000,-0.5998,0.5689,0.0690,0.0000,1,0.0000
81,-0.0000,-0.5998,0.5705,0.0707,0.0016,1,0.0000
82,-0.0000,-0.5998,0.5705,0.0707,0.0000,1,0.0000
83,-0.0000,-0.5998,0.5721,0.0723,0.0016,1,0.0000
84,-0.0000,-0.5998,0.5721,0.0723,0.0000,1,0.0000
85,-0.0000,-0.5998,0.5737,0.0739,0.0016,1,0.0000
86,-0.0000,-0.5998,0.5737,0.0739,0.0000,1,0.0000
87,-0.0000,-0.5998,0.5753,0.0755,0.0016,1,0.0000
88,-0.0000,-0.5998,0.5753,0.0755,0.0000,1,0.0000
89,-0.0000,-0.5998,0.5769,0.0771,0.0016,1,0.0000
90,-0.0000,-0.5998,0.5769,0.0771,0.0000,1,0.0000
91,-0.0000,-0.5998,0.5785,0.0787,0.0016,1,0.0000
92,-0.0000,-0.5998,0.5785,0.0787,0.0000,1,0.0000
93,-0.0000,-0.5998,0.5801,0.0803,0.0016,1,0.0000
94,-0.0000,-0.5998,0.5801,0.0803,0.0000,1,0.0000
95,-0.0000,-0.5998,0.5817,0.0818,0.0016,1,0.0000
96,-0.0000,-0.5998,0.5817,0.0818,0.0000,1,0.0000
