tick,local_x,local_y,local_z,drift_m,slip_m,on_floor,below_depth_m
1,-0.0000,-0.5990,0.5666,0.0000,0.0000,1,0.0000
2,0.0000,-0.5990,0.6332,0.0667,0.0667,1,0.0000
3,0.0000,-0.5798,0.7032,0.1379,0.0725,1,0.0000
4,-0.0000,-0.5799,0.7698,0.2041,0.0667,1,0.0000
5,0.0000,-0.5841,0.8383,0.2721,0.0686,1,0.0000
6,-0.0000,-0.5841,0.9050,0.3387,0.0667,1,0.0000
7,-0.0000,-0.5886,0.9735,0.4070,0.0686,1,0.0000
8,-0.0000,-0.5886,1.0401,0.4736,0.0666,1,0.0000
9,-0.0000,-0.5928,1.1086,0.5420,0.0686,1,0.0000
10,-0.0000,-0.5928,1.1752,0.6087,0.0666,1,0.0000
11,-0.0000,-0.5964,1.2437,0.6771,0.0686,1,0.0000
12,-0.0000,-0.5964,1.3103,0.7437,0.0666,1,0.0000
13,-0.0000,-0.5993,1.3788,0.8122,0.0685,1,0.0000
14,-0.0000,-0.5994,1.4454,0.8788,0.0666,1,0.0000
15,-0.0000,-0.6015,1.5139,0.9473,0.0685,1,0.0015
16,-0.0000,-0.6015,1.5805,1.0139,0.0666,1,0.0015
17,0.0000,-0.6029,1.6489,1.0824,0.0685,1,0.0029
18,-0.0000,-0.6029,1.7156,1.1490,0.0666,1,0.0029
19,-0.0000,-0.6037,1.7840,1.2174,0.0684,1,0.0037
20,0.0000,-0.6037,1.8506,1.2841,0.0666,1,0.0037
21,0.0000,-0.6038,1.9191,1.3525,0.0684,1,0.0038
22,0.0000,-0.6038,1.9857,1.4191,0.0666,1,0.0038
23,0.0000,-0.6036,2.0541,1.4875,0.0684,1,0.0036
24,0.0000,-0.6036,2.1208,1.5542,0.0666,1,0.0036
25,0.0000,-0.6030,2.1892,1.6226,0.0684,1,0.0030
26,0.0000,-0.6030,2.2558,1.6892,0.0666,1,0.0030
27,0.0000,-0.6023,2.3242,1.7576,0.0684,1,0.0023
28,0.0000,-0.6023,2.3909,1.8243,0.0666,1,0.0023
29,0.0000,-0.6015,2.4593,1.8927,0.0684,1,0.0015
30,0.0000,-0.6015,2.5259,1.9593,0.0666,1,0.0015
31,0.0000,-0.6007,2.4610,1.8944,0.0649,1,0.0007
32,0.0000,-0.6007,2.3943,1.8277,0.0667,1,0.0007
33,0.0000,-0.5999,2.3294,1.7628,0.0649,1,0.0000
34,0.0000,-0.5999,2.2627,1.6961,0.0667,1,0.0000
35,0.0000,-0.5993,2.1977,1.6311,0.0649,1,0.0000
36,0.0000,-0.5993,2.1310,1.5644,0.0667,1,0.0000
37,0.0000,-0.5989,2.0661,1.4995,0.0649,1,0.0000
38,0.0000,-0.5989,1.9994,1.4328,0.0667,1,0.0000
39,0.0000,-0.5985,1.9344,1.3679,0.0649,1,0.0000
40,0.0000,-0.5985,1.8678,1.3012,0.0667,1,0.0000
41,0.0000,-0.5983,1.8028,1.2362,0.0650,1,0.0000
42,0.0000,-0.5983,1.7361,1.1695,0.0667,1,0.0000
43,0.0000,-0.5982,1.6711,1.1045,0.0650,1,0.0000
44,0.0000,-0.5982,1.6044,1.0379,0.0667,1,0.0000
45,0.0000,-0.5983,1.5395,0.9729,0.0650,1,0.0000
46,0.0000,-0.5983,1.4728,0.9062,0.0667,1,0.0000
47,0.0000,-0.5983,1.4078,0.8412,0.0650,1,0.0000
48,0.0000,-0.5983,1.3411,0.7745,0.0667,1,0.0000
49,0.0000,-0.5985,1.2761,0.7095,0.0650,1,0.0000
50,0.0000,-0.5985,1.2094,0.6428,0.0667,1,0.0000
51,0.0000,-0.5986,1.1444,0.5779,0.0650,1,0.0000
52,0.0000,-0.5986,1.0777,0.5112,0.0667,1,0.0000
53,0.0000,-0.5988,1.0127,0.4462,0.0650,1,0.0000
54,0.0000,-0.5988,0.9461,0.3795,0.0667,1,0.0000
55,0.0000,-0.5989,0.8811,0.3145,0.0650,1,0.0000
56,0.0000,-0.5989,0.8144,0.2478,0.0667,1,0.0000
57,0.0000,-0.5991,0.7494,0.1828,0.0650,1,0.0000
58,0.0000,-0.5991,0.6827,0.1161,0.0667,1,0.0000
59,0.0000,-0.5992,0.6177,0.0511,0.0650,1,0.0000
60,0.0000,-0.5992,0.5510,0.0156,0.0667,1,0.0000
61,0.0000,-0.5993,0.4859,0.0806,0.0650,1,0.0000
62,0.0000,-0.5993,0.4193,0.1473,0.0667,1,0.0000
63,0.0000,-0.5993,0.3542,0.2124,0.0650,1,0.0000
64,0.0000,-0.5993,0.2875,0.2791,0.0667,1,0.0000
65,0.0000,-0.5994,0.2225,0.3441,0.0650,1,0.0000
66,0.0000,-0.5994,0.1558,0.4108,0.0667,1,0.0000
67,0.0000,-0.5994,0.0908,0.4758,0.0650,1,0.0000
68,0.0000,-0.5994,0.0241,0.5425,0.0667,1,0.0000
69,0.0000,-0.5994,-0.0410,0.6075,0.0650,1,0.0000
70,0.0000,-0.5994,-0.1076,0.6742,0.0667,1,0.0000
71,0.0000,-0.5994,-0.1727,0.7393,0.0650,1,0.0000
72,0.0000,-0.5994,-0.2394,0.8060,0.0667,1,0.0000
73,0.0000,-0.5993,-0.3044,0.8710,0.0651,1,0.0000
74,0.0000,-0.5993,-0.3711,0.9377,0.0667,1,0.0000
75,0.0000,-0.5993,-0.4362,1.0028,0.0651,1,0.0000
76,0.0000,-0.5993,-0.5029,1.0695,0.0667,1,0.0000
77,0.0000,-0.5993,-0.5679,1.1345,0.0651,1,0.0000
78,0.0000,-0.5993,-0.6346,1.2012,0.0667,1,0.0000
79,0.0000,-0.5993,-0.6997,1.2663,0.0651,1,0.0000
80,0.0000,-0.5993,-0.7664,1.3330,0.0667,1,0.0000
81,0.0000,-0.5993,-0.8315,1.3980,0.0651,1,0.0000
82,0.0000,-0.5993,-0.8982,1.4647,0.0667,1,0.0000
83,0.0000,-0.5992,-0.9632,1.5298,0.0651,1,0.0000
84,0.0000,-0.5992,-1.0299,1.5965,0.0667,1,0.0000
85,0.0000,-0.5992,-1.0950,1.6616,0.0651,1,0.0000
86,0.0000,-0.5992,-1.1617,1.7283,0.0667,1,0.0000
87,0.0000,-0.5992,-1.2268,1.7934,0.0651,1,0.0000
88,0.0000,-0.5992,-1.2935,1.8601,0.0667,1,0.0000
89,0.0000,-0.5992,-1.3586,1.9252,0.0651,1,0.0000
90,0.0000,-0.5992,-1.4253,1.9919,0.0667,1,0.0000
91,0.0000,-0.5992,-1.4904,2.0570,0.0651,1,0.0000
92,0.0000,-0.5992,-1.5571,2.1236,0.0667,1,0.0000
93,0.0000,-0.5992,-1.6222,2.1887,0.0651,1,0.0000
94,0.0000,-0.5992,-1.6889,2.2554,0.0667,1,0.0000
95,0.0000,-0.5993,-1.7540,2.3206,0.0651,1,0.0000
96,0.0000,-0.5993,-1.8207,2.3872,0.0667,1,0.0000
97,0.0000,-0.5993,-1.8858,2.4524,0.0651,1,0.0000
98,0.0000,-0.5993,-1.9525,2.5191,0.0667,1,0.0000
99,0.0000,-0.5993,-2.0176,2.5842,0.0651,1,0.0000
100,0.0000,-0.5993,-2.0843,2.6509,0.0667,1,0.0000
101,0.0000,-0.5993,-2.1494,2.7160,0.0651,1,0.0000
102,0.0000,-0.5993,-2.2161,2.7827,0.0667,1,0.0000
103,0.0000,-0.5993,-2.2812,2.8478,0.0651,1,0.0000
104,0.0000,-0.5993,-2.3479,2.9145,0.0667,1,0.0000
105,0.0000,-0.5993,-2.4131,2.9796,0.0651,1,0.0000
106,0.0000,-0.5993,-2.4797,3.0463,0.0667,1,0.0000
107,0.0000,-0.5993,-2.5449,3.1115,0.0651,1,0.0000
108,0.0000,-0.5993,-2.4783,3.0448,0.0666,1,0.0000
109,0.0000,-0.5993,-2.4101,2.9767,0.0682,1,0.0000
110,0.0000,-0.5993,-2.3434,2.9100,0.0666,1,0.0000
111,0.0000,-0.5993,-2.2753,2.8418,0.0682,1,0.0000
112,0.0000,-0.5993,-2.2086,2.7752,0.0666,1,0.0000
113,0.0000,-0.5993,-2.1404,2.7070,0.0682,1,0.0000
114,0.0000,-0.5993,-2.0738,2.6404,0.0666,1,0.0000
115,0.0000,-0.5993,-2.0056,2.5722,0.0682,1,0.0000
116,0.0000,-0.5993,-1.9390,2.5056,0.0666,1,0.0000
117,0.0000,-0.5993,-1.8708,2.4374,0.0682,1,0.0000
118,0.0000,-0.5993,-1.8042,2.3708,0.0666,1,0.0000
119,0.0000,-0.5993,-1.7360,2.3026,0.0682,1,0.0000
120,0.0000,-0.5993,-1.6694,2.2360,0.0666,1,0.0000
121,0.0000,-0.5993,-1.6012,2.1678,0.0682,1,0.0000
