tick,local_x,local_y,local_z,drift_m,slip_m,on_floor,below_depth_m
1,-0.0000,-0.5990,0.5666,0.0000,0.0000,1,0.0000
2,-0.0000,-0.5606,0.6397,0.0826,0.0826,1,0.0000
3,-0.0000,-0.5990,0.6999,0.1333,0.0714,1,0.0000
4,-0.0000,-0.5692,0.7767,0.2123,0.0824,1,0.0000
5,-0.0000,-0.5990,0.8332,0.2666,0.0638,1,0.0000
6,-0.0000,-0.5781,0.9137,0.3477,0.0832,1,0.0000
7,-0.0000,-0.5990,0.9665,0.3999,0.0568,1,0.0000
8,-0.0000,-0.5865,1.0506,0.4842,0.0851,1,0.0000
9,-0.0000,-0.5990,1.0998,0.5332,0.0507,1,0.0000
10,-0.0000,-0.5938,1.1875,0.6210,0.0879,1,0.0000
11,-0.0000,-0.5990,1.2330,0.6665,0.0458,1,0.0000
12,-0.0000,-0.5997,1.3244,0.7578,0.0914,1,0.0000
13,-0.0000,-0.5990,1.3663,0.7997,0.0419,1,0.0000
14,-0.0000,-0.6040,1.4613,0.8947,0.0951,1,0.0040
15,-0.0000,-0.5990,1.4996,0.9330,0.0386,1,0.0000
16,-0.0000,-0.6068,1.5982,1.0316,0.0989,1,0.0068
17,-0.0000,-0.5990,1.6329,1.0663,0.0356,1,0.0000
18,-0.0000,-0.6083,1.7350,1.1685,0.1026,1,0.0083
19,-0.0000,-0.5990,1.7662,1.1996,0.0325,1,0.0000
20,-0.0000,-0.6087,1.8719,1.3053,0.1062,1,0.0087
21,-0.0000,-0.5990,1.8994,1.3328,0.0292,1,0.0000
22,-0.0000,-0.6082,2.0087,1.4422,0.1097,1,0.0082
23,-0.0000,-0.5990,2.0327,1.4661,0.0256,1,0.0000
24,-0.0000,-0.6070,2.1456,1.5790,0.1132,1,0.0070
25,-0.0000,-0.5990,2.1660,1.5994,0.0219,1,0.0000
26,-0.0000,-0.6056,2.2824,1.7158,0.1166,1,0.0056
27,-0.0000,-0.5990,2.2993,1.7327,0.0181,1,0.0000
28,-0.0000,-0.6039,2.4192,1.8527,0.1201,1,0.0039
