tick,local_x,local_y,local_z,drift_m,slip_m,on_bus_support,below_depth_m
1,0.0000,-0.5990,0.5657,0.0000,0.0000,1,0.0000
2,0.0000,-0.5990,0.6324,0.0667,0.0667,1,0.0000
3,0.0000,-0.5990,0.6991,0.1333,0.0667,1,0.0000
4,-0.0000,-0.5779,0.7680,0.2034,0.0721,1,0.0000
5,-0.0000,-0.5779,0.8347,0.2698,0.0667,1,0.0000
6,-0.0000,-0.5820,0.9032,0.3379,0.0686,1,0.0000
7,-0.0000,-0.5820,0.9699,0.4045,0.0667,1,0.0000
8,-0.0000,-0.5864,1.0384,0.4728,0.0686,1,0.0000
9,-0.0000,-0.5864,1.1050,0.5394,0.0667,1,0.0000
10,-0.0000,-0.5908,1.1735,0.6078,0.0686,1,0.0000
11,-0.0000,-0.5908,1.2401,0.6745,0.0667,1,0.0000
12,-0.0000,-0.5947,1.3086,0.7429,0.0686,1,0.0000
13,-0.0000,-0.5947,1.3752,0.8095,0.0667,1,0.0000
14,-0.0000,-0.5980,1.4437,0.8780,0.0685,1,0.0000
15,-0.0000,-0.5980,1.5103,0.9446,0.0666,1,0.0000
16,-0.0000,-0.6005,1.5788,1.0131,0.0685,1,0.0005
17,-0.0000,-0.6006,1.6454,1.0797,0.0666,1,0.0006
18,-0.0000,-0.6023,1.7139,1.1481,0.0685,1,0.0023
19,-0.0000,-0.6023,1.7805,1.2148,0.0666,1,0.0023
20,-0.0000,-0.6034,1.8489,1.2832,0.0684,1,0.0034
21,-0.0000,-0.6034,1.9156,1.3498,0.0666,1,0.0034
22,-0.0000,-0.6038,1.9840,1.4183,0.0684,1,0.0038
23,-0.0000,-0.6038,2.0506,1.4849,0.0666,1,0.0038
24,-0.0000,-0.6038,2.1191,1.5533,0.0684,1,0.0038
25,0.0000,-0.6038,2.1857,1.6200,0.0666,1,0.0038
26,0.0000,-0.6033,2.2541,1.6884,0.0684,1,0.0033
27,-0.0000,-0.6033,2.3207,1.7550,0.0666,1,0.0033
28,0.0000,-0.6027,2.3892,1.8234,0.0684,1,0.0027
29,0.0000,-0.6027,2.4558,1.8901,0.0666,1,0.0027
30,0.0000,-0.6019,2.5242,1.9585,0.0684,1,0.0019
31,0.0000,-0.6019,2.4575,1.8918,0.0667,1,0.0019
32,0.0000,-0.6011,2.3926,1.8269,0.0649,1,0.0011
33,0.0000,-0.6011,2.3259,1.7602,0.0667,1,0.0011
34,0.0000,-0.6003,2.2610,1.6953,0.0649,1,0.0003
35,0.0000,-0.6003,2.1943,1.6286,0.0667,1,0.0003
36,0.0000,-0.5996,2.1293,1.5636,0.0649,1,0.0000
