tick,local_x,local_y,local_z,drift_m,slip_m,on_bus_support,below_depth_m
1,0.0000,-0.5990,0.5667,0.0000,0.0000,1,0.0000
2,0.0000,-0.5990,0.6333,0.0667,0.0667,1,0.0000
3,-0.0000,-0.5568,0.7046,0.1443,0.0829,1,0.0000
4,-0.0000,-0.5996,0.7713,0.2046,0.0792,1,0.0000
5,-0.0000,-0.5649,0.8463,0.2817,0.0826,1,0.0000
6,-0.0000,-0.5999,0.9129,0.3463,0.0752,1,0.0000
7,-0.0000,-0.5738,0.9916,0.4257,0.0829,1,0.0000
8,-0.0000,-0.5978,1.0582,0.4916,0.0708,1,0.0000
9,-0.0000,-0.5825,1.1406,0.5741,0.0838,1,0.0000
10,-0.0000,-0.5996,1.2072,0.6405,0.0688,1,0.0000
11,-0.0000,-0.5904,1.2932,0.7265,0.0865,1,0.0000
12,-0.0000,-0.5989,1.3598,0.7931,0.0672,1,0.0000
13,-0.0000,-0.5970,1.4494,0.8827,0.0896,1,0.0000
14,-0.0000,-0.5990,1.5160,0.9493,0.0667,1,0.0000
15,-0.0000,-0.6021,1.6092,1.0425,0.0932,1,0.0021
16,-0.0000,-0.5990,1.6758,1.1092,0.0667,1,0.0000
17,-0.0000,-0.6056,1.7726,1.2060,0.0970,1,0.0056
18,-0.0000,-0.5990,1.8393,1.2726,0.0670,1,0.0000
19,-0.0000,-0.6078,1.9396,1.3730,0.1007,1,0.0078
20,-0.0000,-0.5990,2.0063,1.4396,0.0672,1,0.0000
21,-0.0000,-0.6086,2.1102,1.5436,0.1044,1,0.0086
22,-0.0000,-0.5990,2.1768,1.6102,0.0673,1,0.0000
23,0.0000,-0.6085,2.2844,1.7177,0.1080,1,0.0085
24,0.0000,-0.5990,2.3510,1.7844,0.0673,1,0.0000
25,0.0000,-0.6076,2.4621,1.8955,0.1114,1,0.0076
26,0.0000,-0.5990,2.5288,1.9621,0.0672,1,0.0000
27,0.0000,-0.6063,2.5101,1.9434,0.0200,1,0.0063
28,0.0000,-0.5990,2.4434,1.8767,0.0671,1,0.0000
29,0.0000,-0.6047,2.4283,1.8616,0.0162,1,0.0047
30,0.0000,-0.5990,2.3616,1.7949,0.0669,1,0.0000
31,0.0000,-0.6031,2.3500,1.7833,0.0123,1,0.0031
32,0.0000,-0.5990,2.2833,1.7166,0.0668,1,0.0000
33,0.0000,-0.6016,2.2752,1.7085,0.0085,1,0.0016
34,0.0000,-0.5990,2.2085,1.6419,0.0667,1,0.0000
35,0.0000,-0.6002,2.2040,1.6373,0.0047,1,0.0002
36,0.0000,-0.5990,2.1373,1.5706,0.0667,1,0.0000
37,0.0000,-0.5992,2.1362,1.5695,0.0011,1,0.0000
38,0.0000,-0.5990,2.0695,1.5028,0.0667,1,0.0000
39,0.0000,-0.5983,2.0719,1.5053,0.0025,1,0.0000
40,0.0000,-0.5990,2.0052,1.4386,0.0667,1,0.0000
41,0.0000,-0.5978,2.0111,1.4445,0.0060,1,0.0000
42,0.0000,-0.5990,1.9444,1.3778,0.0667,1,0.0000
43,0.0000,-0.5975,1.9538,1.3871,0.0095,1,0.0000
44,0.0000,-0.5990,1.8871,1.3204,0.0667,1,0.0000
45,0.0000,-0.5975,1.8999,1.3332,0.0129,1,0.0000
46,0.0000,-0.5990,1.8332,1.2665,0.0667,1,0.0000
47,-0.0000,-0.5976,1.8494,1.2828,0.0163,1,0.0000
48,-0.0000,-0.5990,1.7828,1.2161,0.0667,1,0.0000
49,0.0000,-0.5978,1.8024,1.2358,0.0197,1,0.0000
50,0.0000,-0.5990,1.7357,1.1691,0.0667,1,0.0000
51,0.0000,-0.5981,1.7588,1.1921,0.0231,1,0.0000
52,0.0000,-0.5990,1.6921,1.1254,0.0667,1,0.0000
53,0.0000,-0.5984,1.7186,1.1519,0.0265,1,0.0000
54,0.0000,-0.5990,1.6519,1.0852,0.0667,1,0.0000
55,0.0000,-0.5987,1.6817,1.1151,0.0299,1,0.0000
56,0.0000,-0.5990,1.6150,1.0484,0.0667,1,0.0000
57,0.0000,-0.5990,1.6483,1.0816,0.0332,1,0.0000
58,0.0000,-0.5990,1.5816,1.0149,0.0667,1,0.0000
59,0.0000,-0.5993,1.6182,1.0515,0.0366,1,0.0000
60,0.0000,-0.5990,1.5515,0.9848,0.0667,1,0.0000
61,0.0000,-0.5995,1.5915,1.0248,0.0400,1,0.0000
62,0.0000,-0.5990,1.5248,0.9581,0.0667,1,0.0000
63,0.0000,-0.5996,1.5681,1.0014,0.0433,1,0.0000
64,0.0000,-0.5990,1.5014,0.9347,0.0667,1,0.0000
65,0.0000,-0.5997,1.5480,0.9814,0.0466,1,0.0000
66,0.0000,-0.5990,1.4813,0.9147,0.0667,1,0.0000
67,0.0000,-0.5997,1.5313,0.9647,0.0500,1,0.0000
68,0.0000,-0.5990,1.4646,0.8980,0.0667,1,0.0000
69,0.0000,-0.5997,1.5179,0.9512,0.0533,1,0.0000
70,0.0000,-0.5990,1.4512,0.8845,0.0667,1,0.0000
71,0.0000,-0.5997,1.5078,0.9411,0.0566,1,0.0000
72,0.0000,-0.5990,1.4411,0.8744,0.0667,1,0.0000
73,0.0000,-0.5997,1.5010,0.9343,0.0599,1,0.0000
74,0.0000,-0.5990,1.4343,0.8676,0.0667,1,0.0000
75,0.0000,-0.5996,1.4974,0.9308,0.0631,1,0.0000
76,0.0000,-0.5990,1.4307,0.8641,0.0667,1,0.0000
77,0.0000,-0.5996,1.4971,0.9305,0.0664,1,0.0000
78,0.0000,-0.5990,1.4305,0.8638,0.0667,1,0.0000
79,0.0000,-0.5995,1.5001,0.9335,0.0697,1,0.0000
80,0.0000,-0.5990,1.4334,0.8668,0.0667,1,0.0000
81,0.0000,-0.5995,1.5063,0.9397,0.0729,1,0.0000
82,0.0000,-0.5990,1.4397,0.8730,0.0667,1,0.0000
83,0.0000,-0.5995,1.5158,0.9491,0.0762,1,0.0000
84,0.0000,-0.5990,1.4491,0.8825,0.0667,1,0.0000
85,0.0000,-0.5995,1.5285,0.9618,0.0794,1,0.0000
86,0.0000,-0.5990,1.4618,0.8951,0.0667,1,0.0000
87,0.0000,-0.5994,1.5444,0.9777,0.0826,1,0.0000
88,0.0000,-0.5990,1.4777,0.9110,0.0667,1,0.0000
89,0.0000,-0.5994,1.5635,0.9968,0.0858,1,0.0000
90,0.0000,-0.5990,1.4968,0.9302,0.0667,1,0.0000
91,0.0000,-0.5995,1.5858,1.0191,0.0890,1,0.0000
92,0.0000,-0.5990,1.5191,0.9524,0.0667,1,0.0000
93,0.0000,-0.5995,1.6113,1.0446,0.0922,1,0.0000
94,0.0000,-0.5990,1.5446,0.9779,0.0667,1,0.0000
95,0.0000,-0.5995,1.6399,1.0733,0.0953,1,0.0000
96,0.0000,-0.5990,1.5732,1.0066,0.0667,1,0.0000
97,0.0000,-0.5995,1.6718,1.1051,0.0985,1,0.0000
98,0.0000,-0.5990,1.6051,1.0384,0.0667,1,0.0000
99,0.0000,-0.5995,1.7067,1.1401,0.1017,1,0.0000
100,0.0000,-0.5990,1.6400,1.0734,0.0667,1,0.0000
101,0.0000,-0.5996,1.7448,1.1782,0.1048,1,0.0000
102,0.0000,-0.5990,1.6781,1.1115,0.0667,1,0.0000
103,0.0000,-0.5996,1.7861,1.2194,0.1079,1,0.0000
104,0.0000,-0.5990,1.7194,1.1527,0.0667,1,0.0000
105,0.0000,-0.5996,1.8304,1.2637,0.1110,1,0.0000
106,0.0000,-0.5990,1.7637,1.1970,0.0667,1,0.0000
107,0.0000,-0.5996,1.8779,1.3112,0.1142,1,0.0000
108,0.0000,-0.5990,1.8112,1.2445,0.0667,1,0.0000
109,0.0000,-0.5996,1.9284,1.3618,0.1173,1,0.0000
110,0.0000,-0.5990,1.8617,1.2951,0.0667,1,0.0000
111,0.0000,-0.5996,1.9821,1.4154,0.1203,1,0.0000
112,0.0000,-0.5990,1.9154,1.3487,0.0667,1,0.0000
113,0.0000,-0.5996,2.0388,1.4721,0.1234,1,0.0000
114,0.0000,-0.5990,1.9721,1.4054,0.0667,1,0.0000
115,0.0000,-0.5997,2.0986,1.5319,0.1265,1,0.0000
116,0.0000,-0.5990,2.0319,1.4652,0.0667,1,0.0000
117,0.0000,-0.5997,2.1614,1.5948,0.1295,1,0.0000
118,0.0000,-0.5990,2.0947,1.5281,0.0667,1,0.0000
119,0.0000,-0.5997,2.2273,1.6607,0.1326,1,0.0000
120,0.0000,-0.5990,2.1606,1.5940,0.0667,1,0.0000
121,0.0000,-0.5997,2.2963,1.7296,0.1356,1,0.0000
122,0.0000,-0.5990,2.2296,1.6629,0.0667,1,0.0000
123,0.0000,-0.5997,2.3682,1.8016,0.1387,1,0.0000
124,0.0000,-0.5990,2.3015,1.7349,0.0667,1,0.0000
125,0.0000,-0.5997,2.4432,1.8765,0.1417,1,0.0000
126,0.0000,-0.5990,2.3765,1.8098,0.0667,1,0.0000
127,0.0000,-0.5997,2.5212,1.9545,0.1447,1,0.0000
128,0.0000,-0.5990,2.4545,1.8878,0.0667,1,0.0000
129,0.0000,-0.5997,2.6022,2.0355,0.1477,1,0.0000
130,0.0000,-0.5990,2.5355,1.9688,0.0667,1,0.0000
131,0.0000,-0.5997,2.6861,2.1195,0.1507,1,0.0000
132,0.0000,-0.5990,2.6194,2.0528,0.0667,1,0.0000
133,0.0000,-0.5997,2.7731,2.2064,0.1536,1,0.0000
134,0.0000,-0.5990,2.7064,2.1397,0.0667,1,0.0000
135,0.0000,-0.5997,2.8630,2.2963,0.1566,1,0.0000
136,0.0000,-0.5990,2.7963,2.2296,0.0667,1,0.0000
137,0.0000,-0.5998,2.9558,2.3892,0.1596,1,0.0000
138,0.0000,-0.5990,2.8892,2.3225,0.0667,1,0.0000
139,0.0000,-0.5998,3.0517,2.4850,0.1625,1,0.0000
140,0.0000,-0.5990,2.9850,2.4183,0.0667,1,0.0000
141,0.0000,-0.5998,3.1504,2.5837,0.1654,1,0.0000
142,0.0000,-0.5990,3.0837,2.5171,0.0667,1,0.0000
143,0.0000,-0.5998,3.2521,2.6854,0.1684,1,0.0000
