tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m
1,1789597102531000,0.007234573,-0.598964334,1.632537842,0.000000000,1,30.000000000,0.977379560,-95.000000000,77,2.566666667,2.516666667,0.000043631
2,1789597102533000,0.014467239,-0.598980188,1.665069580,0.033326052,1,30.000000000,0.977351844,-95.000000000,79,2.633333333,2.533333333,0.000027716
3,1789597102534000,0.021699905,-0.598980188,1.697601318,0.033326048,1,30.000000000,0.977324128,-95.000000000,79,2.633333333,2.550000000,0.000027716
4,1789597102534000,0.028932571,-0.598994374,1.730133057,0.033326052,1,30.000000000,0.977310598,-95.000000000,79,2.633333333,2.566666667,0.000013530
5,1789597102541000,0.036165237,-0.598994493,1.762664795,0.033326048,1,30.000000000,0.977297068,-95.000000000,79,2.633333333,2.583333333,0.000013530
6,1789597102573000,0.043395996,-0.599097967,1.795654297,0.033772796,1,30.000000000,0.977295339,-94.999511719,79,2.633333333,2.600000000,0.000488284
7,1789597102591000,0.036472321,-0.599099755,1.828269958,0.033342443,1,30.000001907,0.977293611,-94.999015808,80,2.666666667,2.616666667,0.000495917
8,1789597102592000,0.042182922,-0.599395871,1.797264099,0.031528749,1,30.000003815,0.977300763,-94.996582031,80,2.666666667,2.633333333,0.002433788
9,1789597102622000,0.047880173,-0.599389672,1.764427185,0.033327490,1,30.000003815,0.977307975,-94.994140625,81,2.700000000,2.650000000,0.002441417
10,1789597102640000,0.053583145,-0.599533439,1.733413696,0.031533808,1,30.000007629,0.977321148,-94.989807129,82,2.733333333,2.666666667,0.004333518
11,1789597102658000,0.059274673,-0.599524915,1.700546265,0.033356585,1,30.000009537,0.977334261,-94.985473633,82,2.733333333,2.683333333,0.004333517
12,1789597102659000,0.064971924,-0.599558055,1.669532776,0.031532463,1,30.000011444,0.977350712,-94.979293823,82,2.733333333,2.700000000,0.006179831
13,1789597102688000,0.070653915,-0.599549592,1.636672974,0.033347439,1,30.000013351,0.977367163,-94.973121643,83,2.766666667,2.716666667,0.006172202
14,1789597102707000,0.076337814,-0.599511504,1.605644226,0.031545069,1,30.000013351,0.977384686,-94.965126038,84,2.800000000,2.733333333,0.007995625
15,1789597102724000,0.082015991,-0.599503994,1.572769165,0.033361826,1,30.000013351,0.977402151,-94.957130432,84,2.800000000,2.750000000,0.007995625
16,1789597102726000,0.087690353,-0.599428058,1.541740417,0.031543419,1,30.000013351,0.977419019,-94.947334290,84,2.800000000,2.766666667,0.009796157
17,1789597102755000,0.093355179,-0.599422097,1.508865356,0.033359554,1,30.000013351,0.977435827,-94.937538147,85,2.833333333,2.783333333,0.009796157
18,1789597102773000,0.099020004,-0.599332571,1.477813721,0.031564258,1,30.000011444,0.977450788,-94.925964355,86,2.866666667,2.800000000,0.011573802
19,1789597102792000,0.104675293,-0.599328279,1.444938660,0.033357937,1,30.000011444,0.977465749,-94.914382935,86,2.866666667,2.816666667,0.011581430
