tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m
1,1789597102511000,-0.003959656,-0.599008322,-1.566902161,0.000000000,1,30.000000000,0.977292776,-95.000000000,0,2.583333333,0.000000000,0.000000000
2,1789597102512000,-0.010189056,-0.599008083,-1.534156799,0.033332627,1,30.000001907,0.977293611,-94.999015808,0,2.600000000,0.000000000,0.000000000
3,1789597102513000,-0.009460449,-0.599007964,-1.567489624,0.033340786,1,30.000001907,0.977298975,-94.997055054,0,2.616666667,0.000000000,0.000000000
4,1789597102525000,-0.008737564,-0.599008024,-1.600830078,0.033348292,1,30.000003815,0.977307975,-94.994140625,0,2.633333333,0.000000000,0.000000000
5,1789597102537000,-0.008016586,-0.599007845,-1.634147644,0.033325363,1,30.000007629,0.977319956,-94.990272522,0,2.650000000,0.000000000,0.000000000
6,1789597102556000,-0.007295609,-0.599007964,-1.667488098,0.033348247,1,30.000009537,0.977334261,-94.985473633,0,2.666666667,0.000000000,0.000000000
7,1789597102573000,-0.006576538,-0.599007666,-1.700836182,0.033355836,1,30.000011444,0.977350116,-94.979759216,0,2.683333333,0.000000000,0.000000000
8,1789597102592000,-0.005859375,-0.599007666,-1.734169006,0.033340536,1,30.000013351,0.977367163,-94.973121643,0,2.700000000,0.000000000,0.000000000
9,1789597102604000,-0.005146027,-0.599007368,-1.767517090,0.033355713,1,30.000013351,0.977384567,-94.965576172,0,2.716666667,0.000000000,0.000000000
10,1789597102622000,-0.004430771,-0.599007010,-1.800865173,0.033355754,1,30.000013351,0.977402151,-94.957130432,0,2.733333333,0.000000000,0.000000000
11,1789597102640000,-0.003721237,-0.599006832,-1.834197998,0.033340376,1,30.000013351,0.977419257,-94.947776794,0,2.750000000,0.000000000,0.000000000
12,1789597102658000,-0.008716583,-0.599007010,-1.801277161,0.033297673,1,30.000013351,0.977435827,-94.937538147,0,2.766666667,0.000000000,0.000000000
13,1789597102670000,-0.013713837,-0.599006712,-1.768341064,0.033313043,1,30.000011444,0.977451384,-94.926406860,0,2.783333333,0.000000000,0.000000000
14,1789597102688000,-0.018711090,-0.599006414,-1.735420227,0.033297956,1,30.000011444,0.977465749,-94.914382935,0,2.800000000,0.000000000,0.000000000
15,1789597102707000,-0.023714066,-0.599006414,-1.702491760,0.033306360,1,30.000009537,0.977478862,-94.901473999,0,2.816666667,0.000000000,0.000000000
16,1789597102726000,-0.028722763,-0.599006295,-1.669578552,0.033292137,1,30.000005722,0.977490485,-94.887680054,0,2.833333333,0.000000000,0.000000000
17,1789597102737000,-0.033729553,-0.599006295,-1.636657715,0.033299390,1,30.000003815,0.977500677,-94.872993469,0,2.850000000,0.000000000,0.000000000
18,1789597102755000,-0.038736343,-0.599006176,-1.603729248,0.033306934,1,30.000001907,0.977509260,-94.857421875,0,2.866666667,0.000000000,0.000000000
19,1789597102773000,-0.043752670,-0.599006057,-1.570800781,0.033308368,1,30.000000000,0.977516413,-94.840965271,0,2.883333333,0.000000000,0.000000000
20,1789597102792000,-0.048772812,-0.599006295,-1.537879944,0.033301402,1,29.999996185,0.977522135,-94.823616028,0,2.900000000,0.000000000,0.000000000
21,1789597102804000,-0.053794861,-0.599006176,-1.504966736,0.033294149,1,29.999994278,0.977526426,-94.805389404,0,2.916666667,0.000000000,0.000000000
