tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m,inside_hull,cargo_contact,cargo_contact_previous_three,slip_eligible,push_active,cargo_history_complete
1,1789625280721000,0.007234573,-0.598980248,1.632537842,0.000000000,1,30.000000000,0.977351844,-95.000000000,76,2.533333333,2.500000000,0.000027716,1,0,0,0,0,0
2,1789625280723000,0.014467239,-0.598980308,1.665069580,0.033326048,1,30.000000000,0.977324128,-95.000000000,76,2.533333333,2.516666667,0.000027716,1,0,0,0,0,0
3,1789625280724000,0.021699905,-0.598994374,1.697601318,0.033326052,1,30.000000000,0.977310598,-95.000000000,76,2.533333333,2.533333333,0.000013530,1,0,0,0,0,0
4,1789625280724000,0.028932571,-0.598994374,1.730133057,0.033326048,1,30.000000000,0.977297068,-95.000000000,76,2.533333333,2.550000000,0.000013530,1,0,0,1,0,1
5,1789625280725000,0.036165237,-0.599007845,1.762664795,0.033326052,1,30.000000000,0.977297068,-95.000000000,76,2.533333333,2.566666667,0.000000000,1,0,0,1,0,1
6,1789625280726000,0.043399811,-0.599007905,1.795196533,0.033326462,1,30.000000000,0.977297068,-95.000000000,76,2.533333333,2.583333333,0.000000000,1,0,0,1,0,1
7,1789625280728000,0.041025162,-0.599565864,1.765174866,0.030120604,1,30.000003815,0.977300763,-94.996582031,79,2.633333333,2.600000000,0.003417973,1,0,0,1,0,1
8,1789625280743000,0.035287857,-0.599396586,1.797103882,0.032440826,1,30.000003815,0.977307975,-94.994140625,79,2.633333333,2.616666667,0.002441417,1,0,0,1,0,1
9,1789625280759000,0.029579163,-0.599562168,1.831787109,0.035150290,1,30.000007629,0.977321148,-94.989807129,80,2.666666667,2.633333333,0.004333518,1,0,0,1,0,1
10,1789625280775000,0.035453796,-0.599553823,1.798950195,0.033358272,1,30.000009537,0.977334261,-94.985473633,81,2.700000000,2.650000000,0.004333517,1,0,0,1,0,1
11,1789625280792000,0.041328430,-0.599588990,1.767974854,0.031527519,1,30.000011444,0.977350712,-94.979293823,81,2.700000000,2.666666667,0.006179831,1,0,0,1,0,1
12,1789625280809000,0.047189713,-0.599580526,1.735145569,0.033348411,1,30.000013351,0.977367163,-94.973121643,81,2.700000000,2.683333333,0.006172202,1,0,0,1,0,1
13,1789625280826000,0.053056717,-0.599540353,1.704154968,0.031541094,1,30.000013351,0.977384686,-94.965126038,82,2.733333333,2.700000000,0.007995625,1,0,0,1,0,1
14,1789625280842000,0.058914185,-0.599533021,1.671318054,0.033355251,1,30.000013351,0.977402151,-94.957130432,83,2.766666667,2.716666667,0.007995625,1,0,0,1,0,1
15,1789625280859000,0.064771652,-0.599452257,1.640312195,0.031554393,1,30.000013351,0.977419019,-94.947334290,83,2.766666667,2.733333333,0.009796157,1,0,0,1,0,1
16,1789625280877000,0.070617676,-0.599446416,1.607475281,0.033353247,1,30.000013351,0.977435827,-94.937538147,84,2.800000000,2.750000000,0.009796157,1,0,0,1,0,1
17,1789625280892000,0.076467514,-0.599351168,1.576454163,0.031568013,1,30.000011444,0.977450788,-94.925964355,84,2.800000000,2.766666667,0.011573802,1,0,0,1,0,1
