tick,support,on_floor,local_x,local_y,local_z,slip_m,bus_write_m,package_write_m,platform_speed,dual_contact
1,1,1,0.000000000,-0.599576116,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0
2,1,1,0.000000000,-0.599931836,1.000930786,0.000996444,0.001023691,0.000983922,0.000000000,0
3,1,1,0.000000000,-0.599968314,1.001846313,0.000916254,0.001964350,0.001907246,0.059784994,0
4,1,1,0.000000000,-0.599985659,1.002777100,0.000930948,0.002934451,0.002830469,0.113248192,0
5,1,1,-0.000003815,-0.599986732,1.003707886,0.000930795,0.003862551,0.003757673,0.168426841,0
6,1,1,-0.000001907,-0.599974215,1.004623413,0.000915615,0.004792082,0.004671277,0.222924694,0
7,1,1,-0.000003815,-0.599950910,1.005538940,0.000915826,0.005722301,0.005600991,0.277524531,0
8,1,1,-0.000003815,-0.599919796,1.006454468,0.000916056,0.006652871,0.006515936,0.333106577,0
9,1,1,-0.000003815,-0.599882841,1.007369995,0.000916273,0.007553102,0.007431170,0.387831062,0
10,1,1,-0.000003815,-0.599842548,1.008270264,0.000901170,0.008453418,0.008346579,0.442600816,0
11,1,1,-0.000005722,-0.599800825,1.009201050,0.000931723,0.009338506,0.009231569,0.497410178,0
12,1,1,-0.000003815,-0.599759400,1.010086060,0.000885981,0.010238852,0.010147127,0.551336229,0
13,1,1,-0.000003815,-0.599719524,1.011032104,0.000946885,0.011139184,0.011062707,0.606203675,0
14,1,1,-0.000003815,-0.599682450,1.011932373,0.000901032,0.012024237,0.011947770,0.661091566,0
15,1,1,-0.000003815,-0.599648952,1.012832642,0.000900892,0.012909266,0.012848083,0.715079248,0
16,1,1,-0.000003815,-0.599619627,1.013748169,0.000915997,0.013794275,0.013748381,0.769077718,0
17,1,1,-0.000003815,-0.599594533,1.014648438,0.000900618,0.014694529,0.014663923,0.823998988,0
18,1,1,-0.000001907,-0.599574327,1.015548706,0.000900497,0.015564251,0.015533675,0.878009319,0
19,1,1,-0.000001907,-0.599558592,1.016433716,0.000885150,0.016464485,0.016449189,0.932022214,0
20,1,1,0.000000000,-0.599547505,1.017349243,0.000915596,0.017334197,0.017334180,0.986036360,0
21,1,1,0.000000000,-0.599540532,1.018234253,0.000885037,0.018234426,0.018234422,1.040050864,0
