tick,support,on_floor,local_x,local_y,local_z,slip_m,bus_write_m,package_write_m,platform_speed,dual_contact
1,1,1,0.000000000,-0.599008143,2.466674805,0.033330038,0.000000000,0.000000000,0.000000000,0
2,1,1,0.000000000,-0.599510193,2.434265137,0.032413557,0.001023691,0.000000000,0.000000000,0
3,1,1,0.000000000,-0.599655271,2.401840210,0.032425251,0.001964350,0.000000000,0.063430943,0
4,1,1,0.000000000,-0.599747896,2.369430542,0.032409802,0.002934451,0.000000000,0.117353760,0
5,1,1,-0.000001907,-0.599795640,2.337020874,0.032409705,0.003862551,0.000000000,0.172400787,0
6,1,1,-0.000001907,-0.599806070,2.304595947,0.032424927,0.004792082,0.000000000,0.226506978,0
7,1,1,-0.000001907,-0.599786699,2.272171021,0.032424930,0.005722301,0.000000000,0.280575693,0
8,1,1,0.000000000,-0.599744678,2.239730835,0.032440212,0.006652871,0.000000000,0.335581541,0
9,1,1,0.000000000,-0.599685669,2.207290649,0.032440238,0.007553102,0.000000000,0.389764875,0
10,1,1,0.000000000,-0.599615812,2.174835205,0.032455519,0.008453418,0.000000000,0.444054544,0
11,1,1,-0.000001907,-0.599539638,2.142395020,0.032440275,0.009338506,0.000000000,0.498463243,0
12,1,1,0.000000000,-0.599461317,2.109939575,0.032455541,0.010238852,0.000000000,0.552071214,0
13,1,1,0.000000000,-0.599384189,2.077514648,0.032425020,0.011139184,0.000000000,0.606695354,0
14,1,1,0.000000000,-0.599310517,2.045028687,0.032486048,0.012024237,0.000000000,0.661406040,0
15,1,1,0.000000000,-0.599243045,2.012588501,0.032440256,0.012909266,0.000000000,0.715270460,0
16,1,1,0.000000000,-0.599182487,1.980117798,0.032470759,0.013794275,0.000000000,0.769186914,0
17,1,1,0.000001907,-0.599129915,1.947662354,0.032455489,0.014694529,0.000000000,0.824056625,0
18,1,1,0.000001907,-0.599085569,1.915176392,0.032485992,0.015564251,0.000000000,0.878036559,0
19,1,1,0.000001907,-0.599049568,1.882705688,0.032470722,0.016464485,0.000000000,0.932033181,0
20,1,1,0.000003815,-0.599021673,1.850250244,0.032455456,0.017334197,0.000000000,0.986039639,0
21,1,1,0.000003815,-0.599001348,1.817764282,0.032485969,0.018234426,0.000000000,1.040051341,0
22,1,1,0.000003815,-0.598988175,1.785293579,0.032470703,0.019119399,0.000000000,1.094065428,0
23,1,1,0.000005722,-0.598980784,1.752792358,0.032501221,0.020004377,0.000000000,1.147164345,0
24,1,1,0.000003815,-0.598978698,1.720306396,0.032485962,0.020889357,0.000000000,1.201178789,0
25,1,1,0.000003815,-0.598981261,1.687850952,0.032455444,0.021789603,0.000000000,1.254277349,0
26,1,1,0.000005722,-0.598987222,1.655364990,0.032485962,0.022674596,0.000000000,1.308291197,0
27,1,1,0.000005722,-0.598995805,1.622863770,0.032501221,0.023544332,0.000000000,1.361389399,0
28,1,1,0.000005722,-0.599006772,1.590393066,0.032470703,0.024444591,0.000000000,1.414487600,0
29,1,1,0.000003815,-0.599018991,1.557907104,0.032485962,0.025314337,0.000000000,1.467586398,0
30,1,1,0.000003815,-0.599031687,1.525421143,0.032485962,0.026214601,0.000000000,1.520685554,0
31,1,1,0.000003815,-0.599045157,1.492919922,0.032501224,0.027084351,0.000000000,1.573785067,0
32,1,1,0.000001907,-0.599058330,1.460449219,0.032470707,0.027984619,0.000000000,1.626885295,0
33,1,1,0.000003815,-0.599071026,1.427932739,0.032516479,0.028854372,0.000000000,1.679985881,0
34,1,1,0.000001907,-0.599082828,1.395462036,0.032470703,0.029739382,0.000000000,1.732171416,0
35,1,1,0.000000000,-0.599093914,1.362945557,0.032516479,0.030624393,0.000000000,1.785272717,0
36,1,1,0.000000000,-0.599104047,1.330474854,0.032470703,0.031494144,0.000000000,1.837458611,0
37,1,1,0.000000000,-0.599113107,1.297973633,0.032501221,0.032379154,0.000000000,1.890560031,0
38,1,1,0.000000000,-0.599120796,1.265472412,0.032501221,0.033233646,0.000000000,1.942746043,0
39,1,1,0.000000000,-0.599127769,1.232955933,0.032516479,0.034118656,0.000000000,1.994932055,0
40,1,1,0.000000000,-0.599133611,1.200454712,0.032501221,0.034988407,0.000000000,2.047118187,0
41,1,1,-0.000001907,-0.599138737,1.167953491,0.032501221,0.035858158,0.000000000,2.099303722,0
42,1,1,-0.000001907,-0.599142671,1.135467529,0.032485962,0.036727909,0.000000000,2.151489258,0
43,1,1,-0.000001907,-0.599146008,1.102951050,0.032516479,0.037582401,0.000000000,2.203674793,0
44,1,1,-0.000001907,-0.599148989,1.070434570,0.032516479,0.038452152,0.000000000,2.254944563,0
45,1,1,-0.000003815,-0.599150896,1.037948608,0.032485962,0.039321903,0.000000000,2.307129622,0
46,1,1,-0.000003815,-0.599152863,1.005416870,0.032531738,0.040176392,0.000000000,2.359314680,0
47,1,1,-0.000003815,-0.599154353,0.972915649,0.032501221,0.041046143,0.000000000,2.410584211,0
48,1,1,-0.000005722,-0.599155664,0.940399170,0.032516479,0.041885376,0.000000000,2.461853743,0
49,1,1,-0.000003815,-0.599156618,0.907882690,0.032516479,0.042739868,0.000000000,2.513123035,0
50,1,1,-0.000001907,-0.599157870,0.875350952,0.032531738,0.043609619,0.000000000,2.564392805,0
51,1,1,-0.000003815,-0.599158943,0.842834473,0.032516479,0.044448853,0.000000000,2.616577625,0
52,1,1,-0.000005722,-0.599160194,0.810317993,0.032516479,0.045303345,0.000000000,2.666931629,0
53,1,1,-0.000005722,-0.599161506,0.777832031,0.032485962,0.046173096,0.000000000,2.718200922,0
54,1,1,-0.000005722,-0.599162817,0.745300293,0.032531738,0.047012329,0.000000000,2.769470453,0
55,1,1,-0.000005722,-0.599164486,0.712768555,0.032531738,0.047851563,0.000000000,2.820739985,0
56,1,1,-0.000007629,-0.599166155,0.680252075,0.032516479,0.048706055,0.000000000,2.871093750,0
57,1,1,-0.000009537,-0.599167824,0.647720337,0.032531738,0.049545288,0.000000000,2.922363281,0
58,1,1,-0.000007629,-0.599169850,0.615188599,0.032531738,0.050384521,0.000000000,2.972717285,0
59,1,1,-0.000007629,-0.599171877,0.582656860,0.032531738,0.051223755,0.000000000,3.023071289,0
60,1,1,-0.000009537,-0.599174023,0.550140381,0.032516479,0.052078247,0.000000000,3.073425055,0
61,1,1,-0.000009537,-0.599176645,0.517608643,0.032531738,0.052917480,0.000000000,3.124694586,0
62,1,1,-0.000009537,-0.599179268,0.485061646,0.032546997,0.053741455,0.000000000,3.175048590,0
63,1,1,-0.000009537,-0.599181890,0.452529907,0.032531738,0.054580688,0.000000000,3.224487066,0
64,1,1,-0.000009537,-0.599184632,0.419998169,0.032531738,0.055419922,0.000000000,3.274841070,0
65,1,1,-0.000011444,-0.599187493,0.387466431,0.032531738,0.056259155,0.000000000,3.325195074,0
66,1,1,-0.000011444,-0.599190235,0.354919434,0.032546997,0.057083130,0.000000000,3.375549078,0
67,1,1,-0.000013351,-0.599193096,0.322387695,0.032531738,0.057922363,0.000000000,3.424987555,0
68,1,1,-0.000013351,-0.599196315,0.289825439,0.032562256,0.058746338,0.000000000,3.475341558,0
69,1,1,-0.000011444,-0.599199176,0.257278442,0.032546997,0.059570313,0.000000000,3.524780035,0
70,1,1,-0.000013351,-0.599202275,0.224731445,0.032546997,0.060394287,0.000000000,3.574218512,0
71,1,1,-0.000013351,-0.599205256,0.192199707,0.032531738,0.061218262,0.000000000,3.623656988,0
