tick,support,on_floor,local_x,local_y,local_z,slip_m,bus_write_m,package_write_m,platform_speed,dual_contact
1,1,1,0.000001907,-0.599055529,2.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0
2,1,1,0.000000000,-0.599564433,2.500930786,0.001060825,0.001023691,0.000000000,0.000000000,0
3,1,1,0.000001907,-0.599720836,2.501846313,0.000928793,0.001964350,0.000000000,0.063650124,0
4,1,1,0.000000000,-0.599827051,2.502777100,0.000936829,0.002934451,0.000000000,0.117749549,0
5,1,1,-0.000001907,-0.599889040,2.503707886,0.000932850,0.003862551,0.000000000,0.172938690,0
6,1,1,0.000000000,-0.599912882,2.504623413,0.000915840,0.004792082,0.000000000,0.227141187,0
7,1,1,0.000000000,-0.599904716,2.505554199,0.000930822,0.005722301,0.000000000,0.281252176,0
8,1,1,0.000001907,-0.599871159,2.506469727,0.000916144,0.006652871,0.000000000,0.336248994,0
9,1,1,0.000001907,-0.599817514,2.507385254,0.000917098,0.007553102,0.000000000,0.390386105,0
10,1,1,0.000001907,-0.599749446,2.508285522,0.000902838,0.008453418,0.000000000,0.444602519,0
11,1,1,0.000000000,-0.599671721,2.509216309,0.000934028,0.009338506,0.000000000,0.498923719,0
12,1,1,0.000001907,-0.599588871,2.510101318,0.000888881,0.010238852,0.000000000,0.552440882,0
13,1,1,0.000001907,-0.599504471,2.511032104,0.000934605,0.011139184,0.000000000,0.606978178,0
14,1,1,0.000003815,-0.599421561,2.511932373,0.000904080,0.012024237,0.000000000,0.661612034,0
15,1,1,0.000003815,-0.599342704,2.512832642,0.000903716,0.012909266,0.000000000,0.715412796,0
16,1,1,0.000001907,-0.599269867,2.513748169,0.000918422,0.013794275,0.000000000,0.769279301,0
17,1,1,0.000001907,-0.599204063,2.514648438,0.000902670,0.014694529,0.000000000,0.824112236,0
18,1,1,0.000001907,-0.599146605,2.515563965,0.000917329,0.015564251,0.000000000,0.878066897,0
19,1,1,0.000001907,-0.599097848,2.516464233,0.000901588,0.016464485,0.000000000,0.932047486,0
20,1,1,0.000001907,-0.599057913,2.517349243,0.000885910,0.017334197,0.000000000,0.986044824,0
21,1,1,0.000000000,-0.599026620,2.518249512,0.000900814,0.018234426,0.000000000,1.040052533,0
