tick,support,on_floor,local_x,local_y,local_z,slip_m,bus_write_m,package_write_m,platform_speed,dual_contact
1,1,1,0.000000000,-0.599055529,2.466659546,0.033340454,0.000000000,0.000000000,0.000000000,0
2,1,1,0.000000000,-0.599557638,2.434249878,0.032413557,0.001023691,0.000000000,0.000000000,0
3,1,1,0.000000000,-0.599699199,2.401824951,0.032425236,0.001964350,0.000000000,0.063358210,0
4,1,1,0.000000000,-0.599781990,2.369415283,0.032409772,0.002934451,0.000000000,0.117263645,0
5,1,1,-0.000001907,-0.599811614,2.337005615,0.032409683,0.003862551,0.000000000,0.172307953,0
6,1,1,-0.000001907,-0.599794269,2.304580688,0.032424930,0.004792082,0.000000000,0.226419136,0
7,1,1,-0.000001907,-0.599736452,2.272171021,0.032409720,0.005722301,0.000000000,0.280497700,0
8,1,1,0.000000000,-0.599645078,2.239746094,0.032425057,0.006652871,0.000000000,0.335515857,0
9,1,1,0.000000000,-0.599526107,2.207321167,0.032425147,0.007553102,0.000000000,0.389711678,0
10,1,1,0.000000000,-0.599385858,2.174880981,0.032440487,0.008453418,0.000000000,0.444013149,0
11,1,1,-0.000001907,-0.599229693,2.142456055,0.032425303,0.009338506,0.000000000,0.498432189,0
12,1,1,0.000000000,-0.599062622,2.110015869,0.032440618,0.010238852,0.000000000,0.552048802,0
13,1,1,0.000000000,-0.598888993,2.077606201,0.032410134,0.011139184,0.000000000,0.606679797,0
14,1,1,0.000000000,-0.600275040,2.045150757,0.032485027,0.012024237,0.000000000,0.661395669,0
15,1,1,0.000000000,-0.600098610,2.012741089,0.032410149,0.012909266,0.000000000,0.715263903,0
16,1,1,0.000000000,-0.599924922,1.980300903,0.032440651,0.013794275,0.000000000,0.769182980,0
17,1,1,0.000001907,-0.599755406,1.947875977,0.032425370,0.014694529,0.000000000,0.824054420,0
18,1,1,0.000001907,-0.599591613,1.915420532,0.032455858,0.015564251,0.000000000,0.878035545,0
19,1,1,0.000001907,-0.599434376,1.882980347,0.032440566,0.016464485,0.000000000,0.932032704,0
20,1,1,0.000003815,-0.599284291,1.850555420,0.032425273,0.017334197,0.000000000,0.986039519,0
21,1,1,0.000003815,-0.599141359,1.818099976,0.032455757,0.018234426,0.000000000,1.040051341,0
22,1,1,0.000003815,-0.599005342,1.785659790,0.032440472,0.019119399,0.000000000,1.094065428,0
23,1,1,0.000005722,-0.598875940,1.753189087,0.032470960,0.020004377,0.000000000,1.147164345,0
24,1,1,0.000003815,-0.598752677,1.720733643,0.032455679,0.020889357,0.000000000,1.201178670,0
25,1,1,0.000003815,-0.598635018,1.688308716,0.032425139,0.021789603,0.000000000,1.254277349,0
26,1,1,0.000005722,-0.598522186,1.655853271,0.032455638,0.022674596,0.000000000,1.308291078,0
27,1,1,0.000005722,-0.599975824,1.623382568,0.032503225,0.023544332,0.000000000,1.361389279,0
28,1,1,0.000005722,-0.599870443,1.590927124,0.032455616,0.024444591,0.000000000,1.414487600,0
29,1,1,0.000003815,-0.599767864,1.558486938,0.032440346,0.025314337,0.000000000,1.467586398,0
30,1,1,0.000003815,-0.599667192,1.526031494,0.032455601,0.026214601,0.000000000,1.520685673,0
31,1,1,0.000003815,-0.599568009,1.493560791,0.032470852,0.027084351,0.000000000,1.573785186,0
32,1,1,0.000001907,-0.599469781,1.461120605,0.032440335,0.027984619,0.000000000,1.626885295,0
33,1,1,0.000003815,-0.599371910,1.428619385,0.032501366,0.028854372,0.000000000,1.679986119,0
34,1,1,0.000001907,-0.599274158,1.396194458,0.032425076,0.029739382,0.000000000,1.732171535,0
35,1,1,0.000000000,-0.599176347,1.363708496,0.032486107,0.030624393,0.000000000,1.785272717,0
36,1,1,0.000000000,-0.599078059,1.331268311,0.032440335,0.031494144,0.000000000,1.837458611,0
37,1,1,0.000000000,-0.598978877,1.298797607,0.032470852,0.032379154,0.000000000,1.890560150,0
38,1,1,0.000000000,-0.598878860,1.266326904,0.032470856,0.033233646,0.000000000,1.942746162,0
39,1,1,0.000000000,-0.598778248,1.233840942,0.032486118,0.034118656,0.000000000,1.994932055,0
40,1,1,0.000000000,-0.598676443,1.201385498,0.032455605,0.034988407,0.000000000,2.047118187,0
41,1,1,-0.000001907,-0.598574102,1.168899536,0.032486122,0.035858158,0.000000000,2.099303722,0
42,1,1,-0.000001907,-0.600033164,1.136444092,0.032488223,0.036727909,0.000000000,2.151489258,0
43,1,1,-0.000001907,-0.599928856,1.103958130,0.032486130,0.037582401,0.000000000,2.203674793,0
44,1,1,-0.000001907,-0.599824131,1.071472168,0.032486130,0.038452152,0.000000000,2.254944563,0
45,1,1,-0.000003815,-0.599718451,1.039016724,0.032455616,0.039321903,0.000000000,2.307129383,0
46,1,1,-0.000003815,-0.599612236,1.006515503,0.032501396,0.040176392,0.000000000,2.359314680,0
47,1,1,-0.000003815,-0.599505663,0.974044800,0.032470878,0.041046143,0.000000000,2.410584211,0
48,1,1,-0.000005722,-0.599398732,0.941558838,0.032486137,0.041885376,0.000000000,2.461853743,0
49,1,1,-0.000003815,-0.599291325,0.909072876,0.032486141,0.042739868,0.000000000,2.513123035,0
50,1,1,-0.000001907,-0.599183917,0.876571655,0.032501400,0.043609619,0.000000000,2.564392805,0
51,1,1,-0.000003815,-0.599076033,0.844085693,0.032486141,0.044448853,0.000000000,2.616577625,0
52,1,1,-0.000005722,-0.598968387,0.811599731,0.032486141,0.045303345,0.000000000,2.666931629,0
53,1,1,-0.000005722,-0.598860621,0.779144287,0.032455623,0.046173096,0.000000000,2.718200922,0
54,1,1,-0.000005722,-0.598752737,0.746643066,0.032501400,0.047012329,0.000000000,2.769470453,0
55,1,1,-0.000005722,-0.598645210,0.714141846,0.032501400,0.047851563,0.000000000,2.820739985,0
56,1,1,-0.000007629,-0.600099981,0.681655884,0.032518517,0.048706055,0.000000000,2.871093750,0
57,1,1,-0.000009537,-0.599992514,0.649154663,0.032501400,0.049545288,0.000000000,2.922363281,0
58,1,1,-0.000007629,-0.599885225,0.616653442,0.032501400,0.050384521,0.000000000,2.972717285,0
59,1,1,-0.000007629,-0.599777937,0.584152222,0.032501400,0.051223755,0.000000000,3.023071289,0
60,1,1,-0.000009537,-0.599670529,0.551666260,0.032486141,0.052078247,0.000000000,3.073425055,0
61,1,1,-0.000009537,-0.599563718,0.519165039,0.032501396,0.052917480,0.000000000,3.124694586,0
62,1,1,-0.000009537,-0.599457085,0.486648560,0.032516655,0.053741455,0.000000000,3.175048590,0
63,1,1,-0.000009537,-0.599350452,0.454147339,0.032501396,0.054580688,0.000000000,3.224487066,0
64,1,1,-0.000009537,-0.599243820,0.421646118,0.032501396,0.055419922,0.000000000,3.274841070,0
