tick,support,on_floor,local_x,local_y,local_z,slip_m,bus_write_m,package_write_m,platform_speed,dual_contact
1,1,1,0.000000000,-0.599008143,2.466674805,0.033330038,0.000000000,0.000000000,0.000000000,0
2,1,1,0.000000000,-0.599510193,2.434265137,0.032413557,0.001023691,0.001029918,0.000000000,0
3,1,1,0.000000000,-0.599655271,2.401840210,0.032425251,0.001964350,0.001938157,0.063430943,0
4,1,1,0.000000000,-0.599747896,2.369430542,0.032409802,0.002934451,0.002887243,0.117353760,0
5,1,1,-0.000001907,-0.599795640,2.337020874,0.032409705,0.003862551,0.003793859,0.172400787,0
6,1,1,-0.000001907,-0.599806070,2.304595947,0.032424927,0.004792082,0.004701384,0.226506978,0
7,1,1,-0.000001907,-0.599786699,2.272171021,0.032424930,0.005722301,0.005609771,0.280575693,0
8,1,1,0.000000000,-0.599744678,2.239730835,0.032440212,0.006652871,0.006549545,0.335581541,0
9,1,1,0.000000000,-0.599685669,2.207290649,0.032440238,0.007553102,0.007444705,0.389764875,0
10,1,1,0.000000000,-0.599615812,2.174835205,0.032455519,0.008453418,0.008356108,0.444054544,0
11,1,1,-0.000001907,-0.599539638,2.142395020,0.032440275,0.009338506,0.009237940,0.498463243,0
12,1,1,0.000000000,-0.599461317,2.109939575,0.032455541,0.010238852,0.010151104,0.552071214,0
13,1,1,0.000000000,-0.599384189,2.077514648,0.032425020,0.011139184,0.011064968,0.606695354,0
14,1,1,0.000000000,-0.599310517,2.045028687,0.032486048,0.012024237,0.011948879,0.661406040,0
15,1,1,0.000000000,-0.599243045,2.012588501,0.032440256,0.012909266,0.012863730,0.715270460,0
16,1,1,-0.009513855,-0.599165797,2.004226685,0.012666467,0.013794275,0.013748370,0.773567319,1
17,1,1,-0.019611359,-0.599111557,1.995254517,0.013507862,0.014694529,0.014648475,0.826287389,1
18,1,1,-0.030288696,-0.599064350,1.985549927,0.014428681,0.015564251,0.015548707,0.879961550,1
19,1,1,-0.042318344,-0.599030852,1.976486206,0.015062024,0.016464485,0.016449006,0.933674216,1
20,1,1,-0.056533813,-0.598994434,1.969161987,0.015991407,0.017334197,0.017318817,0.987425327,1
21,1,1,-0.071510315,-0.598973513,1.960266113,0.017419318,0.018234426,0.018234404,1.039382577,1
22,1,1,-0.087093353,-0.598951757,1.949661255,0.018849259,0.019119399,0.019119460,1.094122410,1
23,1,1,-0.103113174,-0.598935485,1.937103271,0.020355292,0.020004377,0.020019755,1.147166371,1
24,1,1,-0.119358063,-0.598924041,1.922454834,0.021874031,0.020889357,0.020904772,1.201181173,1
25,1,1,-0.133651733,-0.598916411,1.903640747,0.023627928,0.021789603,0.021789772,1.253960967,1
26,1,1,-0.149410248,-0.598913312,1.884231567,0.025000941,0.022674596,0.022690019,1.308293700,1
27,1,1,-0.164329529,-0.598912597,1.862289429,0.026533797,0.023544332,0.023559742,1.361391664,1
28,1,1,-0.176181793,-0.598917723,1.836761475,0.028145207,0.024444591,0.024459975,1.414489508,1
29,1,1,-0.186355591,-0.598923445,1.809112549,0.029461319,0.025314337,0.025329696,1.467587709,1
30,1,1,-0.195802689,-0.598926604,1.780136108,0.030477561,0.026214601,0.026229935,1.520686150,1
31,1,1,-0.200284958,-0.598938406,1.748733521,0.031720866,0.027084351,0.027099662,1.573369861,1
32,1,1,-0.201711655,-0.598950267,1.716506958,0.032258131,0.027984619,0.027999911,1.625585794,1
33,1,1,-0.200128555,-0.599063873,1.684005737,0.032539953,0.028854372,0.028854389,1.679639578,1
34,1,1,-0.200878143,-0.598972797,1.651626587,0.032387953,0.029739382,0.029754648,1.732170343,1
35,1,1,-0.200992584,-0.598985016,1.619201660,0.032425132,0.030624393,0.030639652,1.785271287,1
36,1,1,-0.200994492,-0.598996758,1.586791992,0.032409668,0.031494144,0.031494141,1.837457180,1
37,1,1,-0.200994492,-0.599007070,1.554367065,0.032424927,0.032379154,0.032379150,1.890558600,1
38,1,1,-0.200996399,-0.599016011,1.521942139,0.032424927,0.033233646,0.033233643,1.942744613,1
39,1,1,-0.200996399,-0.599024057,1.489501953,0.032440186,0.034118656,0.034133911,1.994930625,1
40,1,1,-0.200996399,-0.599030375,1.457092285,0.032409668,0.034988407,0.034988407,2.047116995,1
41,1,1,-0.200996399,-0.599036336,1.424667358,0.032424927,0.035858158,0.035858158,2.099302530,1
42,1,1,-0.201000214,-0.599040926,1.392242432,0.032424927,0.036727909,0.036727909,2.151488543,1
43,1,1,-0.201000214,-0.599044740,1.359802246,0.032440186,0.037582401,0.037582401,2.203674078,1
44,1,1,-0.201002121,-0.599047601,1.327362061,0.032440186,0.038452152,0.038452156,2.254944086,1
45,1,1,-0.199270248,-0.599151611,1.294921875,0.032486547,0.039321903,0.039306644,2.307129145,0
46,1,1,-0.198499680,-0.599153638,1.262405396,0.032525610,0.040176392,0.040176395,2.359314442,0
47,1,1,-0.196760178,-0.599155307,1.229965210,0.032486789,0.041046143,0.041046146,2.410584211,0
48,1,1,-0.195024490,-0.599156737,1.197509766,0.032501824,0.041885376,0.041885380,2.461853743,0
49,1,1,-0.193281174,-0.599157929,1.165054321,0.032502230,0.042739868,0.042739872,2.513123512,0
50,1,1,-0.191545486,-0.599159181,1.132583618,0.032517061,0.043609619,0.043609619,2.564392805,0
51,1,1,-0.189809799,-0.599160075,1.100112915,0.032517061,0.044448853,0.044448853,2.616578102,0
52,1,1,-0.188077927,-0.599161148,1.067657471,0.032501619,0.045303345,0.045303345,2.666931868,0
53,1,1,-0.186342239,-0.599162400,1.035232544,0.032471348,0.046173096,0.046173096,2.718201160,0
54,1,1,-0.184608459,-0.599163532,1.002761841,0.032516956,0.047012329,0.047012329,2.769470692,0
55,1,1,-0.182876587,-0.599165201,0.970291138,0.032516856,0.047851563,0.047836304,2.820740223,0
56,1,1,-0.181148529,-0.599166572,0.937835693,0.032501414,0.048706055,0.048706055,2.871093988,0
