tick,support,on_floor,local_x,local_y,local_z,slip_m,bus_write_m,package_write_m,platform_speed,dual_contact
1,1,1,0.000001907,-0.599576354,2.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0
2,1,1,0.000000000,-0.599517286,2.500000000,0.000059099,0.001023691,0.000000000,0.000000000,0
3,1,1,0.000001907,-0.599673390,2.499984741,0.000156860,0.001964350,0.000000000,0.063649274,0
4,1,1,0.000000000,-0.599779487,2.499984741,0.000106113,0.002934451,0.000000000,0.117748022,0
5,1,1,-0.000001907,-0.599841595,2.500000000,0.000063983,0.003862551,0.000000000,0.172936618,0
6,1,1,0.000000000,-0.599866092,2.499984741,0.000028924,0.004792082,0.000000000,0.227138668,0
7,1,1,0.000000000,-0.599858880,2.499969482,0.000016877,0.005722301,0.000000000,0.281249374,0
8,1,1,0.000001907,-0.599826634,2.499938965,0.000044438,0.006652871,0.000000000,0.336245984,0
9,1,1,0.000000000,-0.599774718,2.499923706,0.000054145,0.007553102,0.000000000,0.390383035,0
10,1,1,0.000000000,-0.599708676,2.499893188,0.000072752,0.008453418,0.000000000,0.444599688,0
11,1,1,-0.000001907,-0.599632919,2.499908447,0.000077302,0.009338506,0.000000000,0.498921186,0
12,1,1,0.000001907,-0.599552453,2.499847412,0.000101068,0.010238852,0.000000000,0.552438796,0
13,1,1,0.000000000,-0.599470377,2.499832153,0.000083504,0.011139184,0.000000000,0.606976569,0
14,1,1,0.000000000,-0.599389553,2.499801636,0.000086393,0.012024237,0.000000000,0.661610782,0
15,1,1,0.000000000,-0.599312901,2.499786377,0.000078156,0.012909266,0.000000000,0.715411901,0
16,1,1,-0.000001907,-0.599241972,2.499771118,0.000072577,0.013794275,0.000000000,0.769278765,0
17,1,1,0.000000000,-0.599178016,2.499725342,0.000078673,0.014694529,0.000000000,0.824111879,0
18,1,1,0.000000000,-0.599122167,2.499725342,0.000055850,0.015564251,0.000000000,0.878066659,0
19,1,1,-0.000001907,-0.599074602,2.499679565,0.000066042,0.016464485,0.000000000,0.932047367,0
20,1,1,0.000001907,-0.599035501,2.499649048,0.000049747,0.017334197,0.000000000,0.986044824,0
21,1,1,0.000000000,-0.599004984,2.499618530,0.000043200,0.018234426,0.000000000,1.040052414,0
22,1,1,0.000000000,-0.598982275,2.499603271,0.000027360,0.019119399,0.000000000,1.094065428,0
23,1,1,0.000000000,-0.598966718,2.499557495,0.000048348,0.020004377,0.000000000,1.147164702,0
24,1,1,0.000000000,-0.598957777,2.499526978,0.000031800,0.020889357,0.000000000,1.201180339,0
25,1,1,0.000000000,-0.598954678,2.499481201,0.000045881,0.021789603,0.000000000,1.254279733,0
26,1,1,0.000000000,-0.598956823,2.499450684,0.000030593,0.022674596,0.000000000,1.308294058,0
27,1,1,0.000000000,-0.598962665,2.499435425,0.000016339,0.023544332,0.000000000,1.361392260,0
28,1,1,0.000001907,-0.598972082,2.499389648,0.000046774,0.024444591,0.000000000,1.414489985,0
29,1,1,0.000000000,-0.598984122,2.499374390,0.000019530,0.025314337,0.000000000,1.467587948,0
30,1,1,0.000000000,-0.598997772,2.499359131,0.000020473,0.026214601,0.000000000,1.520685911,0
31,1,1,0.000000000,-0.599012613,2.499313354,0.000048122,0.027084351,0.000000000,1.573784351,0
32,1,1,-0.000001907,-0.599027932,2.499282837,0.000034200,0.027984619,0.000000000,1.626883626,0
33,1,1,0.000001907,-0.599043369,2.499237061,0.000048460,0.028854372,0.000000000,1.679983377,0
34,1,1,0.000000000,-0.599058509,2.499237061,0.000015259,0.029739382,0.000000000,1.732168317,0
35,1,1,-0.000001907,-0.599073291,2.499206543,0.000033963,0.030624393,0.000000000,1.785269380,0
36,1,1,0.000000000,-0.599086642,2.499176025,0.000033365,0.031494144,0.000000000,1.837455273,0
37,1,1,0.000000000,-0.599099278,2.499145508,0.000033030,0.032379154,0.000000000,1.890557051,0
38,1,1,0.000001907,-0.599110425,2.499114990,0.000032545,0.033233646,0.000000000,1.942743421,0
39,1,1,0.000000000,-0.599120617,2.499084473,0.000032231,0.034118656,0.000000000,1.994929910,0
40,1,1,0.000000000,-0.599135220,2.499053955,0.000033832,0.034988407,0.000000000,2.047116518,0
41,1,1,0.000000000,-0.599142909,2.499038696,0.000017087,0.035858158,0.000000000,2.099302530,0
42,1,1,0.000001907,-0.599149346,2.499008179,0.000031247,0.036727909,0.000000000,2.151489019,0
43,1,1,0.000000000,-0.599154711,2.498992920,0.000016286,0.037582401,0.000000000,2.203674793,0
44,1,1,0.000000000,-0.599159062,2.498962402,0.000030826,0.038452152,0.000000000,2.254945040,0
45,1,1,0.000000000,-0.599162340,2.498947144,0.000015607,0.039321903,0.000000000,2.307130575,0
46,1,1,-0.000001907,-0.599165142,2.498901367,0.000045902,0.040176392,0.000000000,2.359316111,0
47,1,1,0.000000000,-0.599167109,2.498886108,0.000015503,0.041046143,0.000000000,2.410585880,0
48,1,1,-0.000001907,-0.599168777,2.498855591,0.000030623,0.041885376,0.000000000,2.461855173,0
49,1,1,0.000001907,-0.599169850,2.498840332,0.000015765,0.042739868,0.000000000,2.513124943,0
50,1,1,0.000001907,-0.599171042,2.498809814,0.000030541,0.043609619,0.000000000,2.564394236,0
51,1,1,0.000000000,-0.599171579,2.498779297,0.000030582,0.044448853,0.000000000,2.616579294,0
52,1,1,-0.000001907,-0.599172473,2.498748779,0.000030590,0.045303345,0.000000000,2.666933060,0
53,1,1,0.000000000,-0.599172950,2.498718262,0.000030581,0.046173096,0.000000000,2.718202353,0
54,1,1,0.000000000,-0.599173546,2.498703003,0.000015270,0.047012329,0.000000000,2.769471645,0
55,1,1,0.000000000,-0.599174619,2.498672485,0.000030536,0.047851563,0.000000000,2.820740938,0
56,1,1,0.000000000,-0.599175394,2.498657227,0.000015278,0.048706055,0.000000000,2.871094704,0
57,1,1,-0.000001907,-0.599176526,2.498626709,0.000030598,0.049545288,0.000000000,2.922363997,0
58,1,1,0.000000000,-0.599177957,2.498611450,0.000015444,0.050384521,0.000000000,2.972717762,0
59,1,1,0.000000000,-0.599179268,2.498596191,0.000015315,0.051223755,0.000000000,3.023071527,0
60,1,1,-0.000001907,-0.599179745,2.498565674,0.000030581,0.052078247,0.000000000,3.073425531,0
61,1,1,-0.000001907,-0.599182248,2.498550415,0.000015463,0.052917480,0.000000000,3.124694586,0
62,1,1,0.000000000,-0.599184811,2.498519897,0.000030684,0.053741455,0.000000000,3.175048590,0
63,1,1,0.000000000,-0.599187613,2.498504639,0.000015514,0.054580688,0.000000000,3.224487066,0
64,1,1,0.000001907,-0.599189997,2.498489380,0.000015561,0.055419922,0.000000000,3.274841070,0
65,1,1,-0.000001907,-0.599192619,2.498443604,0.000046010,0.056259155,0.000000000,3.325195074,0
66,1,1,-0.000001907,-0.599195004,2.498413086,0.000030611,0.057083130,0.000000000,3.375548840,0
67,1,1,0.000000000,-0.599197924,2.498397827,0.000015652,0.057922363,0.000000000,3.424987316,0
68,1,1,-0.000001907,-0.599202037,2.498367310,0.000030852,0.058746338,0.000000000,3.475341320,0
69,1,1,0.000001907,-0.599203467,2.498336792,0.000030788,0.059570313,0.000000000,3.524780035,0
70,1,1,0.000000000,-0.599207997,2.498306274,0.000030911,0.060394287,0.000000000,3.574218273,0
71,1,1,-0.000001907,-0.599209309,2.498291016,0.000015433,0.061218262,0.000000000,3.623656988,0
72,1,1,0.000000000,-0.599213958,2.498260498,0.000030929,0.062042236,0.000000000,3.673095226,0
73,1,1,0.000000000,-0.599216819,2.498229980,0.000030651,0.062866211,0.000000000,3.722533941,0
74,1,1,0.000001907,-0.599217832,2.498199463,0.000030594,0.063690186,0.000000000,3.771972418,0
75,1,1,0.000000000,-0.599222779,2.498168945,0.000030975,0.064514160,0.000000000,3.821410418,0
76,1,1,0.000001907,-0.599225640,2.498123169,0.000045905,0.065338135,0.000000000,3.870849371,0
77,1,1,0.000000000,-0.599228740,2.498092651,0.000030734,0.066146851,0.000000000,3.920287848,0
78,1,1,0.000000000,-0.599229217,2.498077393,0.000015266,0.066970825,0.000000000,3.968810797,0
79,1,1,0.000001907,-0.599234223,2.498031616,0.000046089,0.067779541,0.000000000,4.018249035,0
80,1,1,0.000000000,-0.599236846,2.498001099,0.000030689,0.068588257,0.000000000,4.066772461,0
81,1,1,0.000001907,-0.599239528,2.497970581,0.000030695,0.069396973,0.000000000,4.115295410,0
82,1,1,0.000000000,-0.599242449,2.497940063,0.000030716,0.070205688,0.000000000,4.163818359,0
83,1,1,0.000001907,-0.599245191,2.497909546,0.000030700,0.071014404,0.000000000,4.212341309,0
84,1,1,0.000001907,-0.599250674,2.497894287,0.000016214,0.071823120,0.000000000,4.260864258,0
85,1,1,0.000000000,-0.599253058,2.497863770,0.000030670,0.072631836,0.000000000,4.309387207,0
86,1,1,0.000001907,-0.599256039,2.497833252,0.000030722,0.073440552,0.000000000,4.357910156,0
87,1,1,0.000000000,-0.599258602,2.497817993,0.000015590,0.074249268,0.000000000,4.406433105,0
88,1,1,0.000001907,-0.599258542,2.497802734,0.000015378,0.075042725,0.000000000,4.454956055,0
89,1,1,0.000000000,-0.599263787,2.497787476,0.000016247,0.075851440,0.000000000,4.502563000,0
90,1,1,0.000001907,-0.599266171,2.497741699,0.000045878,0.076644897,0.000000000,4.551086426,0
91,1,1,0.000000000,-0.599268794,2.497711182,0.000030689,0.077438354,0.000000000,4.598693371,0
92,1,1,0.000001907,-0.599271297,2.497680664,0.000030679,0.078247070,0.000000000,4.646300793,0
93,1,1,0.000000000,-0.599273801,2.497650146,0.000030679,0.079040527,0.000000000,4.694823742,0
94,1,1,0.000001907,-0.599276543,2.497634888,0.000015620,0.079833984,0.000000000,4.742431164,0
95,1,1,0.000000000,-0.599278867,2.497604370,0.000030665,0.080627441,0.000000000,4.790038586,0
96,1,1,0.000001907,-0.599281490,2.497573853,0.000030689,0.081420898,0.000000000,4.837646008,0
97,1,1,0.000000000,-0.599284053,2.497543335,0.000030684,0.082199097,0.000000000,4.885253429,0
98,1,1,0.000001907,-0.599286556,2.497512817,0.000030679,0.082992554,0.000000000,4.931945324,0
99,1,1,0.000000000,-0.599289179,2.497482300,0.000030689,0.083786011,0.000000000,4.979552746,0
100,1,1,0.000001907,-0.599291801,2.497467041,0.000015600,0.084564209,0.000000000,5.027160168,0
101,1,1,0.000000000,-0.599294126,2.497436523,0.000030665,0.085357666,0.000000000,5.073852062,0
102,1,1,0.000001907,-0.599296570,2.497406006,0.000030675,0.086135864,0.000000000,5.121459484,0
103,1,1,0.000000000,-0.599299133,2.497390747,0.000015590,0.086914063,0.000000000,5.168151379,0
104,1,1,0.000001907,-0.599301815,2.497375488,0.000015610,0.087707520,0.000000000,5.214843273,0
105,1,1,0.000001907,-0.599304318,2.497344971,0.000030620,0.088485718,0.000000000,5.262450695,0
106,1,1,0.000000000,-0.599306822,2.497329712,0.000015580,0.089263916,0.000000000,5.309142590,0
107,1,1,0.000001907,-0.599309325,2.497299194,0.000030679,0.090042114,0.000000000,5.355834484,0
108,1,1,0.000000000,-0.599311888,2.497283936,0.000015590,0.090805054,0.000000000,5.402526379,0
109,1,1,0.000001907,-0.599314392,2.497253418,0.000030679,0.091583252,0.000000000,5.448302746,0
110,1,1,0.000000000,-0.599316895,2.497253418,0.000003147,0.092361450,0.000000000,5.494994640,0
111,1,1,0.000001907,-0.599319458,2.497222900,0.000030684,0.093124390,0.000000000,5.541686535,0
112,1,1,0.000001907,-0.599322081,2.497207642,0.000015483,0.093902588,0.000000000,5.587462902,0
113,1,1,0.000000000,-0.599324465,2.497161865,0.000045878,0.094665527,0.000000000,5.634154797,0
114,1,1,0.000000000,-0.599325299,2.497146606,0.000015282,0.095443726,0.000000000,5.679931164,0
115,1,1,0.000001907,-0.599329472,2.497116089,0.000030860,0.096206665,0.000000000,5.726622581,0
116,1,1,0.000000000,-0.599332094,2.497100830,0.000015600,0.096969604,0.000000000,5.772399426,0
117,1,1,0.000001907,-0.599334478,2.497070313,0.000030670,0.097732544,0.000000000,5.818175793,0
118,1,1,0.000001907,-0.599337041,2.497055054,0.000015473,0.098495483,0.000000000,5.863952160,0
119,1,1,0.000000000,-0.599339366,2.497024536,0.000030665,0.099258423,0.000000000,5.909728527,0
120,1,1,0.000001907,-0.599342108,2.496994019,0.000030700,0.100021362,0.000000000,5.955504894,0
121,1,1,0.000000000,-0.599344373,2.496963501,0.000030661,0.100784302,0.000000000,6.001281261,0
122,1,1,0.000000000,-0.599346995,2.496932983,0.000030630,0.101531982,0.000000000,6.047057629,0
123,1,1,0.000001907,-0.599349439,2.496902466,0.000030675,0.102294922,0.000000000,6.091918468,0
124,1,1,0.000000000,-0.599352002,2.496887207,0.000015590,0.103057861,0.000000000,6.137694836,0
125,1,1,0.000001907,-0.599354386,2.496871948,0.000015561,0.103805542,0.000000000,6.183471203,0
126,1,1,0.000001907,-0.599356771,2.496841431,0.000030611,0.104553223,0.000000000,6.228332043,0
127,1,1,0.000000000,-0.599359393,2.496810913,0.000030689,0.105316162,0.000000000,6.273192883,0
128,1,1,0.000001907,-0.599361777,2.496765137,0.000045878,0.106063843,0.000000000,6.318969250,0
129,1,1,0.000001907,-0.599364281,2.496749878,0.000015463,0.106811523,0.000000000,6.363830090,0
130,1,1,0.000000000,-0.599366665,2.496734619,0.000015561,0.107559204,0.000000000,6.408690929,0
131,1,1,0.000001907,-0.599369109,2.496704102,0.000030675,0.108306885,0.000000000,6.453551769,0
132,1,1,0.000001907,-0.599371672,2.496673584,0.000030625,0.109054565,0.000000000,6.498412609,0
133,1,1,0.000000000,-0.599373579,2.496643066,0.000030637,0.109786987,0.000000000,6.543273449,0
134,1,1,-0.000001907,-0.599376321,2.496612549,0.000030700,0.110534668,0.000000000,6.587218761,0
