tick,support,on_floor,local_x,local_y,local_z,slip_m,bus_write_m,package_write_m,platform_speed,dual_contact
1,1,1,0.000000000,-0.599008143,2.466674805,0.033330038,0.000000000,0.000000000,0.000000000,0
2,1,1,0.000000000,-0.599509656,2.433349609,0.033328969,0.001023691,0.000000000,0.000000000,0
3,1,1,0.000000000,-0.599659801,2.400024414,0.033325534,0.001964350,0.000000000,0.063429922,0
4,1,1,0.000000000,-0.599752009,2.366699219,0.033325322,0.002934451,0.000000000,0.117351778,0
5,1,1,-0.000001907,-0.599799275,2.333389282,0.033309970,0.003862551,0.000000000,0.172398016,0
6,1,1,-0.000001907,-0.599809587,2.300064087,0.033325195,0.004792082,0.000000000,0.226503596,0
7,1,1,-0.000001907,-0.599789739,2.266723633,0.033340458,0.005722301,0.000000000,0.280572057,0
8,1,1,0.000000000,-0.599747539,2.233367920,0.033355739,0.006652871,0.000000000,0.335577875,0
9,1,1,-0.000001907,-0.599688411,2.200027466,0.033340506,0.007553102,0.000000000,0.389761388,0
10,1,1,-0.000001907,-0.599618435,2.166671753,0.033355787,0.008453418,0.000000000,0.444051445,0
11,1,1,-0.000003815,-0.599542141,2.133331299,0.033340540,0.009338506,0.000000000,0.498460621,0
12,1,1,0.000000000,-0.599464059,2.099975586,0.033355802,0.010238852,0.000000000,0.552069128,0
13,1,1,-0.000001907,-0.599387169,2.066619873,0.033355802,0.011139184,0.000000000,0.606693804,0
14,1,1,-0.000001907,-0.599313974,2.033248901,0.033371054,0.012024237,0.000000000,0.661404908,0
15,1,1,-0.000001907,-0.599246621,1.999923706,0.033325262,0.012909266,0.000000000,0.715269685,0
16,1,1,-0.000003815,-0.599186659,1.966537476,0.033386286,0.013794275,0.000000000,0.769186437,0
17,1,1,-0.000001907,-0.599134088,1.933181763,0.033355754,0.014694529,0.000000000,0.824056327,0
18,1,1,-0.000003815,-0.599090338,1.899810791,0.033370998,0.015564251,0.000000000,0.878036380,0
19,1,1,-0.000005722,-0.599054694,1.866439819,0.033370990,0.016464485,0.000000000,0.932033122,0
20,1,1,-0.000003815,-0.599027038,1.833114624,0.033325206,0.017334197,0.000000000,0.986039639,0
21,1,1,-0.000005722,-0.599007249,1.799743652,0.033370975,0.018234426,0.000000000,1.040051460,0
22,1,1,-0.000005722,-0.598993897,1.766387939,0.033355717,0.019119399,0.000000000,1.094065428,0
23,1,1,-0.000005722,-0.598986983,1.733001709,0.033386230,0.020004377,0.000000000,1.147164345,0
24,1,1,-0.000009537,-0.598985076,1.699645996,0.033355713,0.020889357,0.000000000,1.201178908,0
25,1,1,-0.000009537,-0.598987639,1.666305542,0.033340454,0.021789603,0.000000000,1.254277349,0
26,1,1,-0.000009537,-0.598993897,1.632934570,0.033370972,0.022674596,0.000000000,1.308291078,0
27,1,1,-0.000007629,-0.599002481,1.599548340,0.033386230,0.023544332,0.000000000,1.361389279,0
28,1,1,-0.000009537,-0.599013388,1.566207886,0.033340454,0.024444591,0.000000000,1.414487600,0
29,1,1,-0.000009537,-0.599025667,1.532852173,0.033355713,0.025314337,0.000000000,1.467586279,0
30,1,1,-0.000009537,-0.599038601,1.499496460,0.033355713,0.026214601,0.000000000,1.520685434,0
31,1,1,-0.000011444,-0.599051714,1.466140747,0.033355717,0.027084351,0.000000000,1.573785186,0
32,1,1,-0.000013351,-0.599064827,1.432785034,0.033355717,0.027984619,0.000000000,1.626885295,0
33,1,1,-0.000009537,-0.599077284,1.399414063,0.033370972,0.028854372,0.000000000,1.679986000,0
34,1,1,-0.000011444,-0.599089146,1.366088867,0.033325195,0.029739382,0.000000000,1.732171416,0
35,1,1,-0.000013351,-0.599100113,1.332687378,0.033401489,0.030624393,0.000000000,1.785272717,0
36,1,1,-0.000015259,-0.599110246,1.299346924,0.033340454,0.031494144,0.000000000,1.837458611,0
37,1,1,-0.000017166,-0.599119067,1.265991211,0.033355713,0.032379154,0.000000000,1.890560150,0
38,1,1,-0.000017166,-0.599126697,1.232650757,0.033340454,0.033233646,0.000000000,1.942746043,0
39,1,1,-0.000020981,-0.599133492,1.199249268,0.033401489,0.034118656,0.000000000,1.994932055,0
40,1,1,-0.000022888,-0.599139333,1.165893555,0.033355713,0.034988407,0.000000000,2.047118187,0
41,1,1,-0.000024796,-0.599144220,1.132553101,0.033340454,0.035858158,0.000000000,2.099303722,0
42,1,1,-0.000024796,-0.599148273,1.099182129,0.033370972,0.036727909,0.000000000,2.151489258,0
43,1,1,-0.000024796,-0.599151552,1.065826416,0.033355713,0.037582401,0.000000000,2.203674793,0
44,1,1,-0.000024796,-0.599157155,1.032455444,0.033370972,0.038452152,0.000000000,2.254944563,0
45,1,1,-0.000024796,-0.599159241,0.999099731,0.033355713,0.039321903,0.000000000,2.307129622,0
46,1,1,-0.000026703,-0.599161088,0.965728760,0.033370972,0.040176392,0.000000000,2.359314680,0
47,1,1,-0.000026703,-0.599162579,0.932373047,0.033355713,0.041046143,0.000000000,2.410584211,0
48,1,1,-0.000030518,-0.599163949,0.899017334,0.033355713,0.041885376,0.000000000,2.461853743,0
49,1,1,-0.000026703,-0.599165082,0.865661621,0.033355713,0.042739868,0.000000000,2.513123035,0
50,1,1,-0.000028610,-0.599166274,0.832290649,0.033370972,0.043609619,0.000000000,2.564392805,0
51,1,1,-0.000028610,-0.599167228,0.798950195,0.033340454,0.044448853,0.000000000,2.616577625,0
52,1,1,-0.000030518,-0.599168479,0.765594482,0.033355713,0.045303345,0.000000000,2.666931629,0
53,1,1,-0.000030518,-0.599169672,0.732223511,0.033370972,0.046173096,0.000000000,2.718200922,0
54,1,1,-0.000030518,-0.599170983,0.698852539,0.033370972,0.047012329,0.000000000,2.769470453,0
55,1,1,-0.000030518,-0.599172592,0.665481567,0.033370972,0.047851563,0.000000000,2.820739985,0
56,1,1,-0.000032425,-0.599174380,0.632125854,0.033355713,0.048706055,0.000000000,2.871093750,0
57,1,1,-0.000034332,-0.599176168,0.598770142,0.033355713,0.049545288,0.000000000,2.922363281,0
58,1,1,-0.000032425,-0.599178314,0.565429688,0.033340454,0.050384521,0.000000000,2.972717285,0
59,1,1,-0.000034332,-0.599180341,0.532073975,0.033355713,0.051223755,0.000000000,3.023071289,0
60,1,1,-0.000034332,-0.599182367,0.498718262,0.033355713,0.052078247,0.000000000,3.073425055,0
61,1,1,-0.000036240,-0.599184811,0.465362549,0.033355713,0.052917480,0.000000000,3.124694586,0
62,1,1,-0.000034332,-0.599187434,0.432006836,0.033355713,0.053741455,0.000000000,3.175048590,0
63,1,1,-0.000034332,-0.599190235,0.398651123,0.033355713,0.054580688,0.000000000,3.224487066,0
64,1,1,-0.000034332,-0.599192917,0.365295410,0.033355713,0.055419922,0.000000000,3.274841070,0
65,1,1,-0.000034332,-0.599195838,0.331939697,0.033355713,0.056259155,0.000000000,3.325195074,0
66,1,1,-0.000036240,-0.599198580,0.298583984,0.033355713,0.057083130,0.000000000,3.375549078,0
67,1,1,-0.000036240,-0.599201560,0.265213013,0.033370972,0.057922363,0.000000000,3.424987555,0
68,1,1,-0.000038147,-0.599204659,0.231842041,0.033370972,0.058746338,0.000000000,3.475341558,0
69,1,1,-0.000036240,-0.599207401,0.198471069,0.033370972,0.059570313,0.000000000,3.524780035,0
70,1,1,-0.000036240,-0.599210680,0.165100098,0.033370972,0.060394287,0.000000000,3.574218512,0
71,1,1,-0.000036240,-0.599213481,0.131759644,0.033340454,0.061218262,0.000000000,3.623656988,0
72,1,1,-0.000036240,-0.599216700,0.098403931,0.033355713,0.062042236,0.000000000,3.673095465,0
73,1,1,-0.000038147,-0.599219441,0.065048218,0.033355713,0.062866211,0.000000000,3.722533941,0
74,1,1,-0.000036240,-0.599222541,0.031692505,0.033355713,0.063690186,0.000000000,3.771972418,0
75,1,1,-0.000036240,-0.599225461,-0.001663208,0.033355713,0.064514160,0.000000000,3.821410894,0
76,1,1,-0.000036240,-0.599228084,-0.035034180,0.033370972,0.065338135,0.000000000,3.870849371,0
77,1,1,-0.000038147,-0.599231005,-0.068405151,0.033370972,0.066146851,0.000000000,3.920287848,0
78,1,1,-0.000038147,-0.599234164,-0.101760864,0.033355713,0.066970825,0.000000000,3.968810797,0
79,1,1,-0.000038147,-0.599236965,-0.135131836,0.033370972,0.067779541,0.000000000,4.018249512,0
80,1,1,-0.000038147,-0.599239588,-0.168472290,0.033340454,0.068588257,0.000000000,4.066772461,0
81,1,1,-0.000038147,-0.599242330,-0.201828003,0.033355713,0.069396973,0.000000000,4.115295410,0
82,1,1,-0.000040054,-0.599245071,-0.235183716,0.033355713,0.070205688,0.000000000,4.163818359,0
83,1,1,-0.000038147,-0.599247694,-0.268539429,0.033355713,0.071014404,0.000000000,4.212341309,0
84,1,1,-0.000040054,-0.599250376,-0.301910400,0.033370972,0.071823120,0.000000000,4.260864258,0
85,1,1,-0.000040054,-0.599252999,-0.335266113,0.033355713,0.072631836,0.000000000,4.309387207,0
86,1,1,-0.000040054,-0.599255800,-0.368621826,0.033355713,0.073440552,0.000000000,4.357910156,0
87,1,1,-0.000041962,-0.599258304,-0.401977539,0.033355713,0.074249268,0.000000000,4.406433105,0
