tick,support,on_floor,local_x,local_y,local_z,slip_m,bus_write_m,package_write_m,platform_speed,dual_contact
1,1,1,0.000000000,-0.599008143,2.466674805,0.033330038,0.000000000,0.000000000,0.000000000,0
2,1,1,0.000000000,-0.599509656,2.433349609,0.033328969,0.001023691,0.001029918,0.000000000,0
3,1,1,0.000000000,-0.599659801,2.400024414,0.033325534,0.001964350,0.001938157,0.063429922,0
4,1,1,0.000000000,-0.599752009,2.366699219,0.033325322,0.002934451,0.002887243,0.117351778,0
5,1,1,-0.000001907,-0.599799275,2.333389282,0.033309970,0.003862551,0.003793859,0.172398016,0
6,1,1,-0.000001907,-0.599809587,2.300064087,0.033325195,0.004792082,0.004701384,0.226503596,0
7,1,1,-0.000001907,-0.599789739,2.266723633,0.033340458,0.005722301,0.005609771,0.280572057,0
8,1,1,0.000000000,-0.599747539,2.233367920,0.033355739,0.006652871,0.006549545,0.335577875,0
9,1,1,-0.000001907,-0.599688411,2.200027466,0.033340506,0.007553102,0.007444705,0.389761388,0
10,1,1,-0.000001907,-0.599618435,2.166671753,0.033355787,0.008453418,0.008356108,0.444051445,0
11,1,1,-0.000003815,-0.599542141,2.133331299,0.033340540,0.009338506,0.009237940,0.498460621,0
12,1,1,0.000000000,-0.599464059,2.099975586,0.033355802,0.010238852,0.010151104,0.552069128,0
13,1,1,-0.000001907,-0.599387169,2.066619873,0.033355802,0.011139184,0.011064968,0.606693804,0
14,1,1,-0.000001907,-0.599313974,2.033248901,0.033371054,0.012024237,0.011948879,0.661404908,0
15,1,1,-0.000001907,-0.599246621,1.999923706,0.033325262,0.012909266,0.012863730,0.715269685,0
16,1,1,-0.012794495,-0.599160552,1.998870850,0.012836128,0.013794275,0.013748370,0.773567319,1
17,1,1,-0.026903152,-0.599105418,1.997299194,0.014196034,0.014694529,0.014648475,0.826287389,1
18,1,1,-0.033777237,-0.599129915,1.977874756,0.020604914,0.015564251,0.015548707,0.878039300,1
19,1,1,-0.050115585,-0.599014163,1.975173950,0.016560476,0.016464485,0.016449006,0.933674216,1
20,1,1,-0.067817688,-0.598977566,1.971023560,0.018182175,0.017334197,0.017318817,0.987425327,1
21,1,1,-0.086803436,-0.598945975,1.964935303,0.019938067,0.018234426,0.018234404,1.039382577,1
22,1,1,-0.093334198,-0.599010825,1.940200806,0.025582228,0.019119399,0.019119460,1.094067693,1
23,1,1,-0.113897324,-0.598903418,1.930786133,0.022616139,0.020004377,0.020019755,1.147065401,1
24,1,1,-0.134885788,-0.598885775,1.918045044,0.024553031,0.020889357,0.020904772,1.200955987,1
25,1,1,-0.141082764,-0.598986030,1.890274048,0.028454188,0.021789603,0.021789772,1.254280210,1
26,1,1,-0.161603928,-0.598868787,1.872314453,0.027270477,0.022674596,0.022690019,1.306992888,1
27,1,1,-0.169960022,-0.598998189,1.844253540,0.029278932,0.023544332,0.023559742,1.361391783,1
28,1,1,-0.187232971,-0.598861098,1.819686890,0.030031549,0.024444591,0.024459975,1.413126111,1
29,1,1,-0.190946579,-0.599007249,1.787933350,0.031970292,0.025314337,0.025329696,1.467587709,1
30,1,1,-0.201669693,-0.598865032,1.757644653,0.032131147,0.026214601,0.026229935,1.519331932,1
31,1,1,-0.200103760,-0.599043131,1.724304199,0.033377685,0.027084351,0.027099662,1.573369861,1
32,1,1,-0.204402924,-0.598875165,1.691513062,0.033072188,0.027984619,0.027999911,1.626884937,1
33,1,1,-0.202791214,-0.599070191,1.658157349,0.033395197,0.028854372,0.028854389,1.679985166,0
34,1,1,-0.201179504,-0.599082947,1.624847412,0.033348907,0.029739382,0.029754648,1.732170224,0
35,1,1,-0.201183319,-0.598887920,1.591552734,0.033295248,0.030624393,0.030639652,1.785271287,1
36,1,1,-0.201181412,-0.598897099,1.558258057,0.033294678,0.031494144,0.031494141,1.837457180,1
37,1,1,-0.201181412,-0.598905206,1.524963379,0.033294678,0.032379154,0.032379150,1.890558720,1
38,1,1,-0.201183319,-0.598911762,1.491668701,0.033294678,0.033233646,0.033233643,1.942744613,1
39,1,1,-0.201183319,-0.598917067,1.458358765,0.033309937,0.034118656,0.034133911,1.994930625,1
40,1,1,-0.201183319,-0.598921061,1.425079346,0.033279419,0.034988407,0.034988407,2.047116995,1
41,1,1,-0.201183319,-0.598924160,1.391784668,0.033294678,0.035858158,0.035858158,2.099302530,1
42,1,1,-0.201183319,-0.598922610,1.358489990,0.033294678,0.036727909,0.036727909,2.151488543,1
43,1,1,-0.201183319,-0.598926783,1.325195313,0.033294678,0.037582401,0.037582401,2.203674078,1
44,1,1,-0.201185226,-0.598923802,1.291885376,0.033309937,0.038452152,0.038452156,2.254944086,1
45,1,1,-0.199438095,-0.599156737,1.258575439,0.033356540,0.039321903,0.039306644,2.307129145,0
46,1,1,-0.197689056,-0.599161863,1.225265503,0.033355825,0.040176392,0.040176395,2.359314442,0
47,1,1,-0.195943832,-0.599163413,1.191955566,0.033355623,0.041046143,0.041046146,2.410584211,0
48,1,1,-0.194198608,-0.599164963,1.158645630,0.033355623,0.041885376,0.041885380,2.461853743,0
49,1,1,-0.192449570,-0.599166036,1.125320435,0.033371061,0.042739868,0.042739872,2.513123512,0
50,1,1,-0.190702438,-0.599167228,1.091979980,0.033386201,0.043609619,0.043609619,2.564392805,0
51,1,1,-0.188959122,-0.599168181,1.058685303,0.033340286,0.044448853,0.044448853,2.616578102,0
52,1,1,-0.187215805,-0.599169374,1.025375366,0.033355523,0.045303345,0.045303345,2.666931868,0
53,1,1,-0.185470581,-0.599170744,0.992095947,0.033325147,0.046173096,0.046173096,2.718201160,0
54,1,1,-0.183723450,-0.599171638,0.958770752,0.033370964,0.047012329,0.047012329,2.769470692,0
55,1,1,-0.181980133,-0.599173427,0.925460815,0.033355523,0.047851563,0.047836304,2.820740223,0
56,1,1,-0.180236816,-0.599174857,0.892135620,0.033370763,0.048706055,0.048706055,2.871093988,0
57,1,1,-0.178495407,-0.599176764,0.858825684,0.033355426,0.049545288,0.049545288,2.922363520,0
