tick,support,on_floor,local_x,local_y,local_z,slip_m,bus_write_m,package_write_m,platform_speed,dual_contact
1,1,1,0.000001907,-0.599055529,2.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0
2,0,0,0.000000000,-0.599042892,2.499969482,0.000033085,0.001023691,0.000000000,0.000000000,0
3,1,1,0.000000000,-0.599680185,2.499969482,0.000637293,0.001964350,0.000000000,0.063645057,0
4,0,0,-0.000001907,-0.600344121,2.499938965,0.000664640,0.002934451,0.000000000,0.000000000,0
5,1,1,-0.000005722,-0.599848926,2.499954224,0.000495445,0.003862551,0.000000000,0.172929808,0
6,0,0,-0.000003815,-0.600680530,2.499954224,0.000831606,0.004792082,0.000000000,0.000000000,0
7,1,1,-0.000005722,-0.599867463,2.499938965,0.000813212,0.005722301,0.000000000,0.281240821,0
8,1,1,-0.000003815,-0.600712359,2.499923706,0.000845036,0.006652871,0.000000000,0.336230099,0
9,1,1,-0.000005722,-0.601522088,2.499938965,0.000809875,0.007553102,0.000000000,0.390368342,0
10,1,1,-0.000005722,-0.599795818,2.499938965,0.001726270,0.008453418,0.000000000,0.444586754,0
11,1,1,-0.000007629,-0.600480080,2.499954224,0.000684434,0.009338506,0.000000000,0.498910367,0
12,1,1,-0.000003815,-0.601084352,2.499954224,0.000604284,0.010238852,0.000000000,0.552430093,0
13,1,1,-0.000005722,-0.599552751,2.499969482,0.001531678,0.011139184,0.000000000,0.606969833,0
14,1,1,-0.000005722,-0.599984884,2.499969482,0.000432134,0.012024237,0.000000000,0.661605895,0
15,1,1,-0.000005722,-0.600331664,2.499969482,0.000346780,0.012909266,0.000000000,0.715408504,0
16,1,1,-0.000007629,-0.600596666,2.499969482,0.000265009,0.013794275,0.000000000,0.769276559,0
17,1,1,-0.000005722,-0.600786150,2.499969482,0.000189493,0.014694529,0.000000000,0.824110508,0
18,1,1,-0.000005722,-0.600907207,2.499969482,0.000121057,0.015564251,0.000000000,0.878065884,0
19,1,1,-0.000007629,-0.599488735,2.499984741,0.001418555,0.016464485,0.000000000,0.932046950,0
20,1,1,-0.000003815,-0.599497795,2.499984741,0.000009830,0.017334197,0.000000000,0.986044705,0
21,1,1,-0.000005722,-0.599497736,2.499984741,0.000001908,0.018234426,0.000000000,1.040052414,0
22,1,1,-0.000005722,-0.599497795,2.500000000,0.000015259,0.019119399,0.000000000,1.094065309,0
23,1,1,-0.000005722,-0.599497795,2.499984741,0.000015259,0.020004377,0.000000000,1.147164702,0
24,1,1,-0.000005722,-0.599497736,2.499984741,0.000000060,0.020889357,0.000000000,1.201180220,0
25,1,1,-0.000005722,-0.599497676,2.499969482,0.000015259,0.021789603,0.000000000,1.254279733,0
26,1,1,-0.000005722,-0.599497676,2.499969482,0.000000000,0.022674596,0.000000000,1.308294058,0
27,1,1,-0.000005722,-0.599497736,2.499984741,0.000015259,0.023544332,0.000000000,1.361392140,0
28,1,1,-0.000003815,-0.599497676,2.499969482,0.000015378,0.024444591,0.000000000,1.414489985,0
29,1,1,-0.000005722,-0.599497795,2.499984741,0.000015378,0.025314337,0.000000000,1.467587709,0
30,1,1,-0.000005722,-0.599497795,2.500000000,0.000015259,0.026214601,0.000000000,1.520685792,0
31,1,1,-0.000005722,-0.599497736,2.499984741,0.000015259,0.027084351,0.000000000,1.573784471,0
