tick,support,on_floor,local_x,local_y,local_z,slip_m,bus_write_m,package_write_m,platform_speed,dual_contact
1,1,1,0.000000000,-0.599055529,2.466659546,0.033340454,0.000000000,0.000000000,0.000000000,0
2,0,0,0.000000000,-0.599052072,2.433319092,0.033340454,0.001023691,0.000000000,0.000000000,0
3,1,1,0.000001907,-0.599662781,2.399978638,0.033346046,0.001964350,0.000000000,0.063356265,0
4,0,0,0.000001907,-0.600298047,2.366638184,0.033346508,0.002934451,0.000000000,0.000000000,0
5,1,1,-0.000001907,-0.599802315,2.333328247,0.033313625,0.003862551,0.000000000,0.172326535,0
6,0,0,-0.000001907,-0.600559235,2.299987793,0.033349045,0.004792082,0.000000000,0.000000000,0
7,1,1,-0.000003815,-0.599792600,2.266632080,0.033364523,0.005722301,0.000000000,0.280515343,0
8,1,1,-0.000001907,-0.600516081,2.233261108,0.033378813,0.006652871,0.000000000,0.335498989,0
9,1,1,-0.000003815,-0.600091398,2.199935913,0.033327900,0.007553102,0.000000000,0.389696121,0
10,1,1,-0.000003815,-0.600686610,2.166580200,0.033361021,0.008453418,0.000000000,0.443999529,0
11,1,1,-0.000005722,-0.599947870,2.133270264,0.033318128,0.009338506,0.000000000,0.498420894,0
12,1,1,-0.000001907,-0.600370765,2.099899292,0.033373650,0.010238852,0.000000000,0.552039742,0
13,1,1,-0.000003815,-0.600703239,2.066589355,0.033311598,0.011139184,0.000000000,0.606673002,0
14,1,1,-0.000003815,-0.599718928,2.033218384,0.033385485,0.012024237,0.000000000,0.661390841,0
15,1,1,-0.000003815,-0.599879146,1.999908447,0.033310320,0.012909266,0.000000000,0.715260625,0
16,1,1,-0.000005722,-0.599962115,1.966552734,0.033355817,0.013794275,0.000000000,0.769180894,0
17,1,1,-0.000003815,-0.599976361,1.933227539,0.033325199,0.014694529,0.000000000,0.824053228,0
18,1,1,-0.000005722,-0.599930763,1.899871826,0.033355743,0.015564251,0.000000000,0.878034830,0
19,1,1,-0.000007629,-0.599834561,1.866531372,0.033340592,0.016464485,0.000000000,0.932032466,0
20,1,1,-0.000005722,-0.599712193,1.833190918,0.033340678,0.017334197,0.000000000,0.986039340,0
21,1,1,-0.000007629,-0.599589705,1.799850464,0.033340678,0.018234426,0.000000000,1.040051222,0
22,1,1,-0.000007629,-0.599467516,1.766525269,0.033325419,0.019119399,0.000000000,1.094065309,0
23,1,1,-0.000007629,-0.599345922,1.733154297,0.033371191,0.020004377,0.000000000,1.147164345,0
24,1,1,-0.000011444,-0.599225163,1.699813843,0.033340674,0.020889357,0.000000000,1.201178670,0
25,1,1,-0.000011444,-0.599105597,1.666488647,0.033325411,0.021789603,0.000000000,1.254277349,0
26,1,1,-0.000011444,-0.598987281,1.633148193,0.033340663,0.022674596,0.000000000,1.308291078,0
27,1,1,-0.000009537,-0.598870158,1.599792480,0.033355918,0.023544332,0.000000000,1.361389279,0
28,1,1,-0.000011444,-0.598754466,1.566467285,0.033325396,0.024444591,0.000000000,1.414487600,0
29,1,1,-0.000011444,-0.598639965,1.533126831,0.033340652,0.025314337,0.000000000,1.467586279,0
30,1,1,-0.000011444,-0.598526716,1.499786377,0.033340648,0.026214601,0.000000000,1.520685434,0
31,1,1,-0.000013351,-0.599976897,1.466430664,0.033387221,0.027084351,0.000000000,1.573785186,0
32,1,1,-0.000015259,-0.599865556,1.433105469,0.033325382,0.027984619,0.000000000,1.626885414,0
33,1,1,-0.000011444,-0.599755228,1.399734497,0.033371154,0.028854372,0.000000000,1.679986119,0
34,1,1,-0.000013351,-0.599645615,1.366424561,0.033310115,0.029739382,0.000000000,1.732171535,0
35,1,1,-0.000015259,-0.599536538,1.333053589,0.033371150,0.030624393,0.000000000,1.785272956,0
36,1,1,-0.000017166,-0.599428058,1.299728394,0.033325370,0.031494144,0.000000000,1.837458730,0
37,0,0,-0.000019073,-0.599319875,1.266387939,0.033340629,0.032379154,0.000000000,0.000000000,0
38,1,1,-0.000019073,-0.599129498,1.233062744,0.033325739,0.033233646,0.000000000,1.942746162,0
39,0,0,-0.000022888,-0.599028468,1.199691772,0.033371124,0.034118656,0.000000000,0.000000000,0
40,1,1,-0.000022888,-0.599141955,1.166336060,0.033355907,0.034988407,0.000000000,2.047118187,0
41,0,0,-0.000024796,-0.599048674,1.133010864,0.033325326,0.035858158,0.000000000,0.000000000,0
42,1,1,-0.000024796,-0.599150896,1.099670410,0.033340611,0.036727909,0.000000000,2.151489258,0
