tick,support,on_floor,local_x,local_y,local_z,slip_m,bus_write_m,package_write_m,platform_speed,dual_contact
1,1,1,0.000001907,-0.599576354,2.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0
2,1,1,0.000000000,-0.600085258,2.500930786,0.001060825,0.001023691,0.000000000,0.000000000,0
3,1,1,0.000001907,-0.600241661,2.501846313,0.000928793,0.001964350,0.000000000,0.063650124,0
4,1,1,0.000000000,-0.600347877,2.502777100,0.000936829,0.002934451,0.000000000,0.117749549,0
5,1,1,-0.000001907,-0.600409865,2.503707886,0.000932850,0.003862551,0.000000000,0.172938690,0
6,1,1,0.000000000,-0.600433707,2.504623413,0.000915840,0.004792082,0.000000000,0.227141187,0
7,1,1,0.000000000,-0.600425541,2.505538940,0.000915564,0.005722301,0.000000000,0.281252176,0
8,1,1,0.000001907,-0.600391984,2.506469727,0.000931393,0.006652871,0.000000000,0.336248994,0
9,1,1,0.000001907,-0.600338340,2.507385254,0.000917098,0.007553102,0.000000000,0.390386105,0
10,1,1,0.000001907,-0.600270271,2.508285522,0.000902838,0.008453418,0.000000000,0.444602519,0
11,1,1,0.000000000,-0.600192547,2.509201050,0.000918823,0.009338506,0.000000000,0.498923719,0
12,1,1,0.000001907,-0.600109696,2.510101318,0.000904075,0.010238852,0.000000000,0.552440882,0
13,1,1,0.000001907,-0.600025296,2.511016846,0.000919409,0.011139184,0.000000000,0.606978178,0
14,1,1,0.000003815,-0.599942327,2.511932373,0.000919281,0.012024237,0.000000000,0.661612034,0
15,1,1,0.000003815,-0.599863529,2.512832642,0.000903710,0.012909266,0.000000000,0.715412796,0
16,1,1,0.000001907,-0.599790692,2.513748169,0.000918422,0.013794275,0.000000000,0.769279301,0
17,1,1,0.000001907,-0.599724889,2.514648438,0.000902670,0.014694529,0.000000000,0.824112236,0
18,1,1,0.000001907,-0.599667430,2.515563965,0.000917329,0.015564251,0.000000000,0.878066897,0
19,1,1,0.000001907,-0.599618673,2.516464233,0.000901588,0.016464485,0.000000000,0.932047486,0
20,1,1,0.000001907,-0.599578738,2.517349243,0.000885910,0.017334197,0.000000000,0.986044824,0
21,1,1,0.000000000,-0.599547446,2.518249512,0.000900814,0.018234426,0.000000000,1.040052533,0
22,1,1,-0.000001907,-0.599524379,2.519149780,0.000900566,0.019119399,0.000000000,1.094065428,0
23,1,1,-0.000001907,-0.599508822,2.520034790,0.000885146,0.020004377,0.000000000,1.147164702,0
24,1,1,-0.000001907,-0.599500060,2.520919800,0.000885053,0.020889357,0.000000000,1.201180339,0
25,1,1,-0.000001907,-0.599497437,2.521804810,0.000885014,0.021789603,0.000000000,1.254279733,0
26,1,1,0.000000000,-0.599500000,2.522705078,0.000900274,0.022674596,0.000000000,1.308294177,0
27,1,1,0.000000000,-0.599506617,2.523590088,0.000885035,0.023544332,0.000000000,1.361392260,0
28,1,1,0.000001907,-0.599516869,2.524475098,0.000885071,0.024444591,0.000000000,1.414489985,0
29,1,1,0.000001907,-0.599529743,2.525360107,0.000885103,0.025314337,0.000000000,1.467587829,0
30,1,1,0.000001907,-0.599544346,2.526260376,0.000900387,0.026214601,0.000000000,1.520686030,0
31,1,1,0.000000000,-0.599560082,2.527130127,0.000869895,0.027084351,0.000000000,1.573784471,0
32,1,1,0.000000000,-0.599576592,2.528015137,0.000885164,0.027984619,0.000000000,1.626883626,0
33,1,1,0.000001907,-0.599592865,2.528869629,0.000854649,0.028854372,0.000000000,1.679983377,0
34,1,1,0.000001907,-0.599608898,2.529769897,0.000900411,0.029739382,0.000000000,1.732168436,0
35,1,1,-0.000001907,-0.599624276,2.530639648,0.000869895,0.030624393,0.000000000,1.785269380,0
36,1,1,0.000000000,-0.599638700,2.531524658,0.000885129,0.031494144,0.000000000,1.837455392,0
37,1,1,0.000000000,-0.599651694,2.532394409,0.000869848,0.032379154,0.000000000,1.890557051,0
38,1,1,0.000000000,-0.599663377,2.533264160,0.000869829,0.033233646,0.000000000,1.942743421,0
39,1,1,0.000000000,-0.599673986,2.534118652,0.000854558,0.034118656,0.000000000,1.994929910,0
40,1,1,0.000000000,-0.599683046,2.535003662,0.000885056,0.034988407,0.000000000,2.047116280,0
41,1,1,0.000000000,-0.599690914,2.535873413,0.000869787,0.035858158,0.000000000,2.099302530,0
42,1,1,0.000000000,-0.599697411,2.536743164,0.000869775,0.036727909,0.000000000,2.151489019,0
43,1,1,0.000000000,-0.599702716,2.537597656,0.000854509,0.037582401,0.000000000,2.203674793,0
44,1,1,0.000000000,-0.599707127,2.538467407,0.000869762,0.038452152,0.000000000,2.254945040,0
45,1,1,-0.000001907,-0.599710464,2.539337158,0.000869759,0.039321903,0.000000000,2.307130575,0
46,1,1,0.000000000,-0.599713087,2.540176392,0.000839240,0.040176392,0.000000000,2.359316111,0
47,1,1,0.000000000,-0.599714994,2.541046143,0.000869753,0.041046143,0.000000000,2.410585880,0
48,1,1,-0.000001907,-0.599716485,2.541900635,0.000854496,0.041885376,0.000000000,2.461855173,0
49,1,1,0.000000000,-0.599717379,2.542755127,0.000854495,0.042739868,0.000000000,2.513124943,0
50,1,1,0.000001907,-0.599718213,2.543624878,0.000869753,0.043609619,0.000000000,2.564394236,0
51,1,1,0.000001907,-0.599718571,2.544464111,0.000839233,0.044448853,0.000000000,2.616579294,0
52,1,1,0.000000000,-0.599719167,2.545318604,0.000854495,0.045303345,0.000000000,2.666933060,0
53,1,1,0.000000000,-0.599719644,2.546188354,0.000869751,0.046173096,0.000000000,2.718202353,0
54,1,1,0.000001907,-0.599720001,2.547027588,0.000839236,0.047012329,0.000000000,2.769471645,0
55,1,1,0.000000000,-0.599720836,2.547866821,0.000839236,0.047851563,0.000000000,2.820740938,0
56,1,1,0.000000000,-0.599721551,2.548721313,0.000854492,0.048706055,0.000000000,2.871094704,0
57,1,1,-0.000001907,-0.599722624,2.549560547,0.000839236,0.049545288,0.000000000,2.922363997,0
58,1,1,0.000000000,-0.599723816,2.550399780,0.000839236,0.050384521,0.000000000,2.972717762,0
59,1,1,0.000000000,-0.599725187,2.551239014,0.000839235,0.051223755,0.000000000,3.023071527,0
60,1,1,0.000000000,-0.599725604,2.552093506,0.000854492,0.052078247,0.000000000,3.073425531,0
61,1,1,-0.000001907,-0.599728107,2.552932739,0.000839239,0.052917480,0.000000000,3.124694586,0
62,1,1,0.000000000,-0.599730790,2.553771973,0.000839240,0.053741455,0.000000000,3.175048590,0
