tick,support,on_floor,local_x,local_y,local_z,slip_m,bus_write_m,package_write_m,platform_speed,dual_contact
1,1,1,-0.010812759,-0.599576235,2.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0
2,1,1,-0.010814667,-0.600085199,2.500930786,0.001060854,0.001023691,0.001074604,0.000000000,0
3,1,1,-0.010974884,-0.600241542,2.501846313,0.000942498,0.001964350,0.001991602,0.063649334,1
4,1,1,-0.010999680,-0.600347757,2.502777100,0.000937155,0.002934451,0.002941320,0.117748417,1
5,1,1,-0.011003494,-0.600409746,2.503707886,0.000932856,0.003862551,0.003845078,0.172937483,1
6,1,1,-0.011003494,-0.600433588,2.504623413,0.000915838,0.004792082,0.004747035,0.227140069,1
7,1,1,-0.011003494,-0.600425482,2.505538940,0.000915563,0.005722301,0.005648498,0.281251192,1
8,1,1,-0.011005402,-0.600391865,2.506469727,0.000931395,0.006652871,0.006580915,0.336248249,1
9,1,1,-0.011005402,-0.600338221,2.507385254,0.000917098,0.007553102,0.007469269,0.390385568,1
10,1,1,-0.011009216,-0.600270152,2.508285522,0.000902846,0.008453418,0.008374578,0.444602191,1
11,1,1,-0.011011124,-0.600192487,2.509201050,0.000918818,0.009338506,0.009251311,0.498923570,0
12,1,1,-0.011009216,-0.600109637,2.510101318,0.000904075,0.010238852,0.010160331,0.552441001,0
13,1,1,-0.011009216,-0.600025177,2.511016846,0.000919415,0.011139184,0.011071020,0.606978357,0
14,1,1,-0.011007309,-0.599942267,2.511932373,0.000919276,0.012024237,0.011967872,0.661612272,0
15,1,1,-0.011007309,-0.599863410,2.512832642,0.000903716,0.012909266,0.012850601,0.715413094,0
16,1,1,-0.011009216,-0.599790573,2.513748169,0.000918422,0.013794275,0.013749448,0.769279718,0
17,1,1,-0.011009216,-0.599724829,2.514648438,0.000902666,0.014694529,0.014664179,0.824112535,0
18,1,1,-0.011009216,-0.599667370,2.515563965,0.000917329,0.015564251,0.015533557,0.878067255,0
19,1,1,-0.011009216,-0.599618614,2.516464233,0.000901588,0.016464485,0.016448976,0.932047784,0
20,1,1,-0.011009216,-0.599578738,2.517349243,0.000885908,0.017334197,0.017334022,0.986045182,0
21,1,1,-0.011011124,-0.599547386,2.518249512,0.000900816,0.018234426,0.018219130,1.040052772,0
22,1,1,-0.011013031,-0.599524319,2.519149780,0.000900566,0.019119399,0.019134764,1.094065547,0
23,1,1,-0.011013031,-0.599508762,2.520034790,0.000885146,0.020004377,0.020004602,1.147164941,0
24,1,1,-0.011013031,-0.599500000,2.520919800,0.000885053,0.020889357,0.020904923,1.201180577,0
25,1,1,-0.011013031,-0.599497318,2.521804810,0.000885014,0.021789603,0.021805208,1.254279971,0
