tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m
1,1789618909629000,0.007234573,-0.598980188,1.632537842,0.000000000,1,30.000000000,0.977351844,-95.000000000,76,2.533333333,2.500000000,0.000027716
2,1789618909631000,0.014467239,-0.598980248,1.665069580,0.033326048,1,30.000000000,0.977324128,-95.000000000,76,2.533333333,2.516666667,0.000027716
3,1789618909632000,0.021699905,-0.598994255,1.697601318,0.033326052,1,30.000000000,0.977310598,-95.000000000,76,2.533333333,2.533333333,0.000013530
4,1789618909633000,0.028932571,-0.598994374,1.730133057,0.033326048,1,30.000000000,0.977297068,-95.000000000,76,2.533333333,2.550000000,0.000013530
5,1789618909635000,0.036165237,-0.599007905,1.762664795,0.033326052,1,30.000000000,0.977297068,-95.000000000,76,2.533333333,2.566666667,0.000000000
6,1789618909637000,0.043399811,-0.599004447,1.795196533,0.033326462,1,30.000000000,0.977293611,-95.000000000,77,2.566666667,2.583333333,0.000003457
7,1789618909650000,0.043394089,-0.599270642,1.796585083,0.001413847,1,30.000000000,0.977300823,-94.998527527,79,2.633333333,2.600000000,0.001472491
8,1789618909680000,0.036445618,-0.599275589,1.829185486,0.033332679,1,30.000001907,0.977308035,-94.997055054,80,2.666666667,2.616666667,0.001472492
9,1789618909683000,0.042148590,-0.599492729,1.798171997,0.031534228,1,30.000003815,0.977321208,-94.993667603,80,2.666666667,2.633333333,0.003387477
10,1789618909701000,0.047847748,-0.599485040,1.765335083,0.033327818,1,30.000007629,0.977334380,-94.990272522,81,2.700000000,2.650000000,0.003395108
11,1789618909717000,0.053548813,-0.599568725,1.734321594,0.031533245,1,30.000009537,0.977350950,-94.985015869,81,2.700000000,2.666666667,0.005256679
12,1789618909733000,0.059240341,-0.599559903,1.701454163,0.033356585,1,30.000011444,0.977367461,-94.979759216,82,2.733333333,2.683333333,0.005256679
13,1789618909750000,0.064926147,-0.599551797,1.670425415,0.031545389,1,30.000011444,0.977385044,-94.972671509,82,2.733333333,2.700000000,0.007087729
14,1789618909767000,0.070610046,-0.599543869,1.637573242,0.033340245,1,30.000013351,0.977402627,-94.965576172,83,2.766666667,2.716666667,0.007095359
15,1789618909785000,0.076292038,-0.599481046,1.606536865,0.031552270,1,30.000013351,0.977419496,-94.956680298,83,2.766666667,2.733333333,0.008895890
16,1789618909801000,0.081960678,-0.599474490,1.573684692,0.033337649,1,30.000013351,0.977436423,-94.947776794,84,2.800000000,2.750000000,0.008903519
