tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m
1,1789618909635000,-0.003959656,-0.599008381,-1.566902161,0.000000000,1,30.000000000,0.977293611,-95.000000000,0,2.566666667,0.000000000,0.000000000
2,1789618909637000,-0.007905960,-0.599007964,-1.533805847,0.033330757,1,30.000001907,0.977298975,-94.999015808,0,2.583333333,0.000000000,0.000000000
3,1789618909638000,-0.014165878,-0.599008083,-1.501068115,0.033330850,1,30.000001907,0.977308035,-94.997055054,0,2.600000000,0.000000000,0.000000000
4,1789618909639000,-0.013227463,-0.599008083,-1.534393311,0.033338405,1,30.000003815,0.977320075,-94.994140625,0,2.616666667,0.000000000,0.000000000
5,1789618909640000,-0.012290955,-0.599007845,-1.567703247,0.033323098,1,30.000007629,0.977334380,-94.990272522,0,2.633333333,0.000000000,0.000000000
6,1789618909641000,-0.011352539,-0.599007845,-1.601036072,0.033346031,1,30.000009537,0.977350414,-94.985473633,0,2.650000000,0.000000000,0.000000000
7,1789618909657000,-0.010414124,-0.599007547,-1.634368896,0.033346031,1,30.000011444,0.977367461,-94.979759216,0,2.666666667,0.000000000,0.000000000
8,1789618909679000,-0.009483337,-0.599007487,-1.667686462,0.033330563,1,30.000013351,0.977385044,-94.973121643,0,2.683333333,0.000000000,0.000000000
9,1789618909692000,-0.008552551,-0.599007428,-1.701034546,0.033361070,1,30.000013351,0.977402627,-94.965576172,0,2.700000000,0.000000000,0.000000000
10,1789618909707000,-0.007625580,-0.599007010,-1.734375000,0.033353336,1,30.000013351,0.977419853,-94.957130432,0,2.716666667,0.000000000,0.000000000
11,1789618909725000,-0.006700516,-0.599007010,-1.767700195,0.033338033,1,30.000013351,0.977436423,-94.947776794,0,2.733333333,0.000000000,0.000000000
12,1789618909740000,-0.005781174,-0.599006891,-1.801048279,0.033360753,1,30.000013351,0.977451980,-94.937538147,0,2.750000000,0.000000000,0.000000000
13,1789618909756000,-0.004861832,-0.599006534,-1.834388733,0.033353128,1,30.000011444,0.977466345,-94.926406860,0,2.766666667,0.000000000,0.000000000
14,1789618909773000,-0.009832382,-0.599006414,-1.801467896,0.033293962,1,30.000011444,0.977479339,-94.914382935,0,2.783333333,0.000000000,0.000000000
15,1789618909789000,-0.014814377,-0.599006414,-1.768539429,0.033303216,1,30.000009537,0.977491021,-94.901473999,0,2.800000000,0.000000000,0.000000000
16,1789618909806000,-0.019800186,-0.599006534,-1.735618591,0.033296242,1,30.000005722,0.977501035,-94.887680054,0,2.816666667,0.000000000,0.000000000
17,1789618909821000,-0.024787903,-0.599006176,-1.702690125,0.033304073,1,30.000003815,0.977509618,-94.872993469,0,2.833333333,0.000000000,0.000000000
18,1789618909839000,-0.029771805,-0.599006236,-1.669754028,0.033311043,1,30.000001907,0.977516651,-94.857421875,0,2.850000000,0.000000000,0.000000000
19,1789618909857000,-0.034763336,-0.599006236,-1.636825562,0.033304647,1,30.000000000,0.977522373,-94.840965271,0,2.866666667,0.000000000,0.000000000
20,1789618909873000,-0.039758682,-0.599006176,-1.603904724,0.033297673,1,29.999996185,0.977526546,-94.823616028,0,2.883333333,0.000000000,0.000000000
21,1789618909889000,-0.044755936,-0.599006176,-1.570991516,0.033290416,1,29.999994278,0.977529526,-94.805389404,0,2.900000000,0.000000000,0.000000000
22,1789618909909000,-0.049758911,-0.599006176,-1.538063049,0.033306360,1,29.999992371,0.977531314,-94.786270142,0,2.916666667,0.000000000,0.000000000
23,1789618909923000,-0.054759979,-0.599006176,-1.505149841,0.033290990,1,29.999990463,0.977532148,-94.766258240,0,2.933333333,0.000000000,0.000000000
24,1789618909939000,-0.059764862,-0.599006176,-1.472221375,0.033306647,1,29.999988556,0.977531910,-94.745361328,0,2.950000000,0.000000000,0.000000000
25,1789618909956000,-0.064775467,-0.599006176,-1.439308167,0.033292424,1,29.999986649,0.977530897,-94.723579407,0,2.966666667,0.000000000,0.000000000
26,1789618909973000,-0.069789886,-0.599006236,-1.406387329,0.033300538,1,29.999986649,0.977529287,-94.700912476,0,2.983333333,0.000000000,0.000000000
27,1789618909989000,-0.074806213,-0.599006295,-1.373466492,0.033300824,1,29.999984741,0.977527022,-94.677352905,0,3.000000000,0.000000000,0.000000000
28,1789618910006000,-0.079830170,-0.599006236,-1.340538025,0.033309519,1,29.999984741,0.977524400,-94.652908325,0,3.016666667,0.000000000,0.000000000
29,1789618910023000,-0.084854126,-0.599006414,-1.307624817,0.033294436,1,29.999984741,0.977521539,-94.627578735,0,3.033333333,0.000000000,0.000000000
30,1789618910041000,-0.089881897,-0.599006534,-1.274703979,0.033302549,1,29.999984741,0.977518320,-94.601364136,0,3.050000000,0.000000000,0.000000000
