tick,local_x,local_y,local_z,on_floor,bus_support,inside_hull,velocity_x,velocity_y,velocity_z,platform_speed,jump_command,walk_dx,walk_dy,walk_dz
1,0.000001907,-0.599576354,2.500000000,1,1,1,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000
2,0.000000000,-0.600085258,2.500930786,1,1,1,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000
3,0.000001907,-0.600241661,2.501846313,1,1,1,0.000000000,0.000000000,0.000000000,0.063650124,0,0.000000000,0.000000000,0.000000000
4,0.000000000,-0.600347877,2.502777100,1,1,1,0.000000000,0.000000000,0.000000000,0.117749549,0,0.000000000,0.000000000,0.000000000
5,-0.000001907,-0.600409865,2.503707886,1,1,1,0.000000000,0.000000000,0.000000000,0.172938690,0,0.000000000,0.000000000,0.000000000
6,0.000000000,-0.600433707,2.504623413,1,1,1,0.000000000,0.000000000,0.000000000,0.227141187,0,0.000000000,0.000000000,0.000000000
7,0.000000000,-0.600425541,2.505538940,1,1,1,0.000000000,0.000000000,0.000000000,0.281252176,0,0.000000000,0.000000000,0.000000000
8,0.000001907,-0.600391984,2.506469727,1,1,1,0.000000000,0.000000000,0.000000000,0.336248994,0,0.000000000,0.000000000,0.000000000
9,0.000001907,-0.600338340,2.507385254,1,1,1,0.000000000,0.000000000,0.000000000,0.390386105,0,0.000000000,0.000000000,0.000000000
10,0.000001907,-0.600270271,2.508285522,1,1,1,0.000000000,0.000000000,0.000000000,0.444602519,0,0.000000000,0.000000000,0.000000000
11,0.000000000,-0.600192547,2.509201050,1,1,1,0.000000000,0.000000000,0.000000000,0.498923719,0,0.000000000,0.000000000,0.000000000
12,0.000001907,-0.600109696,2.510101318,1,1,1,0.000000000,0.000000000,0.000000000,0.552440882,0,0.000000000,0.000000000,0.000000000
13,0.000001907,-0.600025296,2.511016846,1,1,1,0.000000000,0.000000000,0.000000000,0.606978178,0,0.000000000,0.000000000,0.000000000
14,0.000003815,-0.599942327,2.511932373,1,1,1,0.000000000,0.000000000,0.000000000,0.661612034,0,0.000000000,0.000000000,0.000000000
15,0.000003815,-0.599863529,2.512832642,1,1,1,0.000000000,0.000000000,0.000000000,0.715412796,0,0.000000000,0.000000000,0.000000000
16,0.000001907,-0.599790692,2.513748169,1,1,1,0.000000000,0.000000000,0.000000000,0.769279301,0,0.000000000,0.000000000,0.000000000
17,0.000001907,-0.599724889,2.514648438,1,1,1,0.000000000,0.000000000,0.000000000,0.824112236,0,0.000000000,0.000000000,0.000000000
18,0.000001907,-0.599667430,2.515563965,1,1,1,0.000000000,0.000000000,0.000000000,0.878066897,0,0.000000000,0.000000000,0.000000000
