tick,local_x,local_y,local_z,on_floor,bus_support,inside_hull,velocity_x,velocity_y,velocity_z,platform_speed,jump_command,walk_dx,walk_dy,walk_dz
1,0.000000000,-0.599008143,2.466674805,1,1,1,-0.000022980,0.000000000,2.000000000,0.000000000,0,-0.000000013,0.000000000,-0.033333335
2,0.000000000,-0.599510193,2.434265137,1,1,1,-0.000022749,0.000000000,2.000000000,0.000000000,0,0.000000000,0.000003406,-0.033333335
3,0.000000000,-0.599655271,2.401840210,1,1,1,-0.000021989,0.000000000,2.000000000,0.063430943,0,0.000000013,0.000009475,-0.033333331
4,0.000000000,-0.599747896,2.369430542,1,1,1,-0.000020255,0.000000000,1.999999523,0.117353760,0,0.000000013,0.000017518,-0.033333328
5,-0.000001907,-0.599795640,2.337020874,1,1,1,-0.000019328,0.000000000,1.999999523,0.172400787,0,0.000000026,0.000026916,-0.033333313
6,-0.000001907,-0.599806070,2.304595947,1,1,1,-0.000017805,0.000000000,1.999998569,0.226506978,0,0.000000027,0.000037122,-0.033333294
7,-0.000001907,-0.599786699,2.272171021,1,1,1,-0.000016557,0.000000000,1.999998093,0.280575693,0,0.000000027,0.000047665,-0.033333264
8,0.000000000,-0.599744678,2.239730835,1,1,1,-0.000014836,0.000000000,1.999997139,0.335581541,0,0.000000015,0.000058153,-0.033333231
9,0.000000000,-0.599685669,2.207290649,1,1,1,-0.000014248,0.000000000,1.999995708,0.389764875,0,0.000000015,0.000068270,-0.033333197
10,0.000000000,-0.599615812,2.174835205,1,1,1,-0.000013182,0.000000000,1.999994755,0.444054544,0,0.000000002,0.000077769,-0.033333153
11,-0.000001907,-0.599539638,2.142395020,1,1,1,-0.000014038,0.000000000,1.999993324,0.498463243,0,0.000000016,0.000086469,-0.033333112
12,0.000000000,-0.599461317,2.109939575,1,1,1,-0.000013530,0.000000000,1.999991894,0.552071214,0,0.000000002,0.000094249,-0.033333071
13,0.000000000,-0.599384189,2.077514648,1,1,1,-0.000014058,0.000000000,1.999990940,0.606695354,0,0.000000002,0.000101037,-0.033333026
14,0.000000000,-0.599310517,2.045028687,1,1,1,-0.000014760,0.000000000,1.999989510,0.661406040,0,0.000000002,0.000106807,-0.033332992
15,0.000000000,-0.599243045,2.012588501,1,1,1,-0.000015591,0.000000000,1.999989033,0.715270460,0,0.000000002,0.000111570,-0.033332963
16,0.000000000,-0.599182487,1.980117798,1,1,1,-0.000016506,0.000000000,1.999988079,0.769186914,0,0.000000001,0.000115365,-0.033332936
17,0.000001907,-0.599129915,1.947662354,1,1,1,-0.000016618,0.000000000,1.999987602,0.824056625,0,-0.000000013,0.000118256,-0.033332914
18,0.000001907,-0.599085569,1.915176392,1,1,1,-0.000017582,0.000000000,1.999987125,0.878036559,0,-0.000000014,0.000120320,-0.033332899
19,0.000001907,-0.599049568,1.882705688,1,1,1,-0.000017665,0.000000000,1.999986649,0.932033181,0,-0.000000029,0.000121649,-0.033332895
20,0.000003815,-0.599021673,1.850250244,1,1,1,-0.000018559,0.000000000,1.999986649,0.986039639,0,-0.000000030,0.000122338,-0.033332888
21,0.000003815,-0.599001348,1.817764282,1,1,1,-0.000018516,0.000000000,1.999986649,1.040051341,0,-0.000000045,0.000122486,-0.033332884
22,0.000003815,-0.598988175,1.785293579,1,1,1,-0.000020143,0.000000000,1.999986649,1.094065428,0,-0.000000031,0.000122190,-0.033332888
