tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m,inside_hull,cargo_contact,cargo_contact_previous_three,slip_eligible,push_active,cargo_history_complete
1,1789624097319000,0.007234573,-0.598980188,1.632537842,0.000000000,1,30.000000000,0.977351844,-95.000000000,76,2.533333333,2.500000000,0.000027716,1,0,0,0,0,0
2,1789624097320000,0.014467239,-0.598980248,1.665069580,0.033326048,1,30.000000000,0.977324128,-95.000000000,76,2.533333333,2.516666667,0.000027716,1,0,0,0,0,0
3,1789624097322000,0.021699905,-0.598994255,1.697601318,0.033326052,1,30.000000000,0.977310598,-95.000000000,76,2.533333333,2.533333333,0.000013530,1,0,0,0,0,0
4,1789624097323000,0.028932571,-0.598994374,1.730133057,0.033326048,1,30.000000000,0.977297068,-95.000000000,76,2.533333333,2.550000000,0.000013530,1,0,0,1,0,1
5,1789624097324000,0.036165237,-0.599007905,1.762664795,0.033326052,1,30.000000000,0.977297068,-95.000000000,76,2.533333333,2.566666667,0.000000000,1,0,0,1,0,1
6,1789624097324000,0.043399811,-0.599007905,1.795196533,0.033326462,1,30.000000000,0.977297068,-95.000000000,76,2.533333333,2.583333333,0.000000000,1,0,0,1,0,1
7,1789624097326000,0.050632477,-0.599007845,1.827728271,0.033326048,1,30.000000000,0.977297068,-95.000000000,76,2.533333333,2.600000000,0.000000000,1,0,0,1,0,1
8,1789624097339000,0.050630569,-0.599539399,1.830505371,0.002827514,1,30.000001907,0.977308035,-94.997055054,79,2.633333333,2.616666667,0.002944967,1,0,0,1,0,1
9,1789624097356000,0.050628662,-0.599500656,1.830955505,0.000451803,1,30.000003815,0.977321208,-94.993667603,80,2.666666667,2.633333333,0.003387477,1,0,0,1,0,1
10,1789624097373000,0.055961609,-0.599493623,1.798057556,0.033327397,1,30.000007629,0.977334380,-94.990272522,81,2.700000000,2.650000000,0.003395108,1,0,0,1,0,1
11,1789624097390000,0.061294556,-0.599578857,1.766983032,0.031528931,1,30.000009537,0.977350950,-94.985015869,81,2.700000000,2.666666667,0.005256679,1,0,0,1,0,1
12,1789624097406000,0.066617966,-0.599570155,1.734062195,0.033348467,1,30.000011444,0.977367461,-94.979759216,82,2.733333333,2.683333333,0.005256679,1,0,0,1,0,1
13,1789624097423000,0.071937561,-0.599561810,1.702972412,0.031541605,1,30.000011444,0.977385044,-94.972671509,82,2.733333333,2.700000000,0.007087729,1,0,0,1,0,1
14,1789624097439000,0.077253342,-0.599553704,1.670059204,0.033339720,1,30.000013351,0.977402627,-94.965576172,83,2.766666667,2.716666667,0.007095359,1,0,0,1,0,1
15,1789624097456000,0.082569122,-0.599489927,1.638969421,0.031541023,1,30.000013351,0.977419496,-94.956680298,83,2.766666667,2.733333333,0.008895890,1,0,0,1,0,1
16,1789624097473000,0.087873459,-0.599483132,1.606056213,0.033337895,1,30.000013351,0.977436423,-94.947776794,84,2.800000000,2.750000000,0.008903519,1,0,0,1,0,1
17,1789624097490000,0.093177795,-0.599393487,1.574935913,0.031569242,1,30.000011444,0.977451384,-94.937088013,84,2.800000000,2.766666667,0.010688792,1,0,0,1,0,1
18,1789624097506000,0.098474503,-0.599388480,1.541992188,0.033366814,1,30.000011444,0.977466345,-94.926406860,85,2.833333333,2.783333333,0.010681163,1,0,0,1,0,1
19,1789624097524000,0.103773117,-0.599295020,1.510879517,0.031560771,1,30.000011444,0.977478683,-94.913940430,85,2.833333333,2.800000000,0.012466436,1,0,0,1,0,1
20,1789624097539000,0.109058380,-0.599291682,1.477943420,0.033357464,1,30.000009537,0.977491021,-94.901473999,86,2.866666667,2.816666667,0.012466437,1,0,0,1,0,1
21,1789624097556000,0.114345551,-0.599207819,1.446800232,0.031588912,1,30.000007629,0.977500319,-94.887237549,86,2.866666667,2.833333333,0.014236453,1,0,0,1,0,1
22,1789624097573000,0.119619370,-0.599205971,1.413864136,0.033355653,1,30.000003815,0.977509618,-94.872993469,87,2.900000000,2.850000000,0.014244083,1,0,0,1,0,1
23,1789624097589000,0.124900818,-0.599139273,1.382720947,0.031587914,1,30.000001907,0.977515996,-94.856979370,87,2.900000000,2.866666667,0.016014101,1,0,0,1,0,1
24,1789624097606000,0.130167007,-0.599138260,1.349769592,0.033369515,1,30.000000000,0.977522373,-94.840965271,87,2.900000000,2.883333333,0.016014101,1,0,0,1,0,1
25,1789624097622000,0.135431290,-0.599090576,1.318603516,0.031607583,1,29.999996185,0.977525949,-94.823181152,87,2.900000000,2.900000000,0.017784119,1,0,0,1,0,1
