tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m,inside_hull,cargo_contact,cargo_contact_previous_three,slip_eligible,push_active,cargo_history_complete
1,1789624097332000,-0.003959656,-0.599008381,-1.566902161,0.000000000,1,30.000000000,0.977293611,-95.000000000,0,2.566666667,0.000000000,0.000000000,1,0,0,0,0,0
2,1789624097335000,-0.007905960,-0.599007964,-1.533805847,0.033330757,1,30.000001907,0.977298975,-94.999015808,0,2.583333333,0.000000000,0.000000000,1,0,0,0,0,0
3,1789624097335000,-0.014165878,-0.599008083,-1.501068115,0.033330850,1,30.000001907,0.977308035,-94.997055054,0,2.600000000,0.000000000,0.000000000,1,0,0,0,0,0
4,1789624097336000,-0.013227463,-0.599008083,-1.534393311,0.033338405,1,30.000003815,0.977320075,-94.994140625,0,2.616666667,0.000000000,0.000000000,1,0,0,1,0,1
5,1789624097337000,-0.012290955,-0.599007845,-1.567703247,0.033323098,1,30.000007629,0.977334380,-94.990272522,0,2.633333333,0.000000000,0.000000000,1,0,0,1,0,1
6,1789624097337000,-0.011352539,-0.599007845,-1.601036072,0.033346031,1,30.000009537,0.977350414,-94.985473633,0,2.650000000,0.000000000,0.000000000,1,0,0,1,0,1
7,1789624097339000,-0.010414124,-0.599007547,-1.634368896,0.033346031,1,30.000011444,0.977367461,-94.979759216,0,2.666666667,0.000000000,0.000000000,1,0,0,1,0,1
8,1789624097353000,-0.009483337,-0.599007487,-1.667686462,0.033330563,1,30.000013351,0.977385044,-94.973121643,0,2.683333333,0.000000000,0.000000000,1,0,0,1,0,1
9,1789624097370000,-0.008552551,-0.599007428,-1.701034546,0.033361070,1,30.000013351,0.977402627,-94.965576172,0,2.700000000,0.000000000,0.000000000,1,0,0,1,0,1
10,1789624097385000,-0.007625580,-0.599007010,-1.734375000,0.033353336,1,30.000013351,0.977419853,-94.957130432,0,2.716666667,0.000000000,0.000000000,1,0,0,1,0,1
11,1789624097402000,-0.006700516,-0.599007010,-1.767700195,0.033338033,1,30.000013351,0.977436423,-94.947776794,0,2.733333333,0.000000000,0.000000000,1,0,0,1,0,1
12,1789624097421000,-0.005781174,-0.599006891,-1.801048279,0.033360753,1,30.000013351,0.977451980,-94.937538147,0,2.750000000,0.000000000,0.000000000,1,0,0,1,0,1
13,1789624097435000,-0.004861832,-0.599006534,-1.834388733,0.033353128,1,30.000011444,0.977466345,-94.926406860,0,2.766666667,0.000000000,0.000000000,1,0,0,1,0,1
14,1789624097451000,-0.009832382,-0.599006414,-1.801467896,0.033293962,1,30.000011444,0.977479339,-94.914382935,0,2.783333333,0.000000000,0.000000000,1,0,0,1,0,1
15,1789624097469000,-0.014814377,-0.599006414,-1.768539429,0.033303216,1,30.000009537,0.977491021,-94.901473999,0,2.800000000,0.000000000,0.000000000,1,0,0,1,0,1
16,1789624097488000,-0.019800186,-0.599006534,-1.735618591,0.033296242,1,30.000005722,0.977501035,-94.887680054,0,2.816666667,0.000000000,0.000000000,1,0,0,1,0,1
17,1789624097502000,-0.024787903,-0.599006176,-1.702690125,0.033304073,1,30.000003815,0.977509618,-94.872993469,0,2.833333333,0.000000000,0.000000000,1,0,0,1,0,1
18,1789624097518000,-0.029771805,-0.599006236,-1.669754028,0.033311043,1,30.000001907,0.977516651,-94.857421875,0,2.850000000,0.000000000,0.000000000,1,0,0,1,0,1
19,1789624097536000,-0.034763336,-0.599006236,-1.636825562,0.033304647,1,30.000000000,0.977522373,-94.840965271,0,2.866666667,0.000000000,0.000000000,1,0,0,1,0,1
20,1789624097551000,-0.039758682,-0.599006176,-1.603904724,0.033297673,1,29.999996185,0.977526546,-94.823616028,0,2.883333333,0.000000000,0.000000000,1,0,0,1,0,1
21,1789624097569000,-0.044755936,-0.599006176,-1.570991516,0.033290416,1,29.999994278,0.977529526,-94.805389404,0,2.900000000,0.000000000,0.000000000,1,0,0,1,0,1
22,1789624097585000,-0.049758911,-0.599006176,-1.538063049,0.033306360,1,29.999992371,0.977531314,-94.786270142,0,2.916666667,0.000000000,0.000000000,1,0,0,1,0,1
23,1789624097602000,-0.054759979,-0.599006176,-1.505149841,0.033290990,1,29.999990463,0.977532148,-94.766258240,0,2.933333333,0.000000000,0.000000000,1,0,0,1,0,1
24,1789624097621000,-0.059764862,-0.599006176,-1.472221375,0.033306647,1,29.999988556,0.977531910,-94.745361328,0,2.950000000,0.000000000,0.000000000,1,0,0,1,0,1
25,1789624097635000,-0.064775467,-0.599006176,-1.439308167,0.033292424,1,29.999986649,0.977530897,-94.723579407,0,2.966666667,0.000000000,0.000000000,1,0,0,1,0,1
26,1789624097654000,-0.069789886,-0.599006236,-1.406387329,0.033300538,1,29.999986649,0.977529287,-94.700912476,0,2.983333333,0.000000000,0.000000000,1,0,0,1,0,1
27,1789624097669000,-0.074806213,-0.599006295,-1.373466492,0.033300824,1,29.999984741,0.977527022,-94.677352905,0,3.000000000,0.000000000,0.000000000,1,0,0,1,0,1
28,1789624097686000,-0.079830170,-0.599006236,-1.340538025,0.033309519,1,29.999984741,0.977524400,-94.652908325,0,3.016666667,0.000000000,0.000000000,1,0,0,1,0,1
29,1789624097703000,-0.084854126,-0.599006414,-1.307624817,0.033294436,1,29.999984741,0.977521539,-94.627578735,0,3.033333333,0.000000000,0.000000000,1,0,0,1,0,1
30,1789624097718000,-0.089881897,-0.599006534,-1.274703979,0.033302549,1,29.999984741,0.977518320,-94.601364136,0,3.050000000,0.000000000,0.000000000,1,0,0,1,0,1
31,1789624097735000,-0.094915390,-0.599006414,-1.241775513,0.033310957,1,29.999984741,0.977515101,-94.574264526,0,3.066666667,0.000000000,0.000000000,1,0,0,1,0,1
32,1789624097753000,-0.099952698,-0.599006295,-1.208862305,0.033296451,1,29.999986649,0.977511883,-94.546287537,0,3.083333333,0.000000000,0.000000000,1,0,0,1,0,1
33,1789624097769000,-0.104991913,-0.599006534,-1.175933838,0.033311825,1,29.999986649,0.977508664,-94.517425537,0,3.100000000,0.000000000,0.000000000,1,0,0,1,0,1
34,1789624097785000,-0.110036850,-0.599006534,-1.143005371,0.033312690,1,29.999988556,0.977505684,-94.487678528,0,3.116666667,0.000000000,0.000000000,1,0,0,1,0,1
35,1789624097802000,-0.115087509,-0.599006414,-1.110092163,0.033298474,1,29.999988556,0.977502704,-94.457061768,0,3.133333333,0.000000000,0.000000000,1,0,0,1,0,1
