tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m,inside_hull,cargo_contact,cargo_contact_previous_three,slip_eligible,push_active,cargo_history_complete
1,1789626018648000,-0.003959656,-0.599008322,-1.566902161,0.000000000,1,30.000000000,0.977292776,-95.000000000,0,2.550000000,0.000000000,0.000000000,1,0,0,0,0,0
2,1789626018651000,-0.007905960,-0.599008083,-1.533805847,0.033330757,1,30.000001907,0.977293611,-94.999015808,0,2.566666667,0.000000000,0.000000000,1,0,0,0,0,0
3,1789626018652000,-0.014165878,-0.599008083,-1.501068115,0.033330850,1,30.000001907,0.977298975,-94.997055054,0,2.583333333,0.000000000,0.000000000,1,0,0,0,0,0
4,1789626018653000,-0.013227463,-0.599008083,-1.534393311,0.033338405,1,30.000003815,0.977307975,-94.994140625,0,2.600000000,0.000000000,0.000000000,1,0,0,1,0,1
5,1789626018653000,-0.012290955,-0.599007964,-1.567703247,0.033323098,1,30.000007629,0.977319956,-94.990272522,0,2.616666667,0.000000000,0.000000000,1,0,0,1,0,1
6,1789626018655000,-0.011352539,-0.599007905,-1.601036072,0.033346031,1,30.000009537,0.977334261,-94.985473633,0,2.633333333,0.000000000,0.000000000,1,0,0,1,0,1
7,1789626018656000,-0.010414124,-0.599007607,-1.634368896,0.033346031,1,30.000011444,0.977350116,-94.979759216,0,2.650000000,0.000000000,0.000000000,1,0,0,1,0,1
8,1789626018664000,-0.009483337,-0.599007607,-1.667686462,0.033330563,1,30.000013351,0.977367163,-94.973121643,0,2.666666667,0.000000000,0.000000000,1,0,0,1,0,1
9,1789626018679000,-0.008552551,-0.599007428,-1.701026917,0.033353444,1,30.000013351,0.977384567,-94.965576172,0,2.683333333,0.000000000,0.000000000,1,0,0,1,0,1
10,1789626018697000,-0.007625580,-0.599007010,-1.734367371,0.033353336,1,30.000013351,0.977402151,-94.957130432,0,2.700000000,0.000000000,0.000000000,1,0,0,1,0,1
11,1789626018714000,-0.006700516,-0.599006772,-1.767692566,0.033338033,1,30.000013351,0.977419257,-94.947776794,0,2.716666667,0.000000000,0.000000000,1,0,0,1,0,1
12,1789626018730000,-0.005781174,-0.599006772,-1.801040649,0.033360753,1,30.000013351,0.977435827,-94.937538147,0,2.733333333,0.000000000,0.000000000,1,0,0,1,0,1
13,1789626018748000,-0.004861832,-0.599006534,-1.834381104,0.033353128,1,30.000011444,0.977451384,-94.926406860,0,2.750000000,0.000000000,0.000000000,1,0,0,1,0,1
14,1789626018766000,-0.009832382,-0.599006414,-1.801460266,0.033293962,1,30.000011444,0.977465749,-94.914382935,0,2.766666667,0.000000000,0.000000000,1,0,0,1,0,1
15,1789626018780000,-0.014814377,-0.599006414,-1.768531799,0.033303216,1,30.000009537,0.977478862,-94.901473999,0,2.783333333,0.000000000,0.000000000,1,0,0,1,0,1
16,1789626018797000,-0.019800186,-0.599006295,-1.735610962,0.033296242,1,30.000005722,0.977490485,-94.887680054,0,2.800000000,0.000000000,0.000000000,1,0,0,1,0,1
