tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m,inside_hull,cargo_contact,cargo_contact_previous_three,slip_eligible,push_active,cargo_history_complete
1,1789624935930000,0.007234573,-0.598980188,1.632537842,0.000000000,1,30.000000000,0.977351844,-95.000000000,76,2.533333333,2.500000000,0.000027716,1,0,0,0,0,0
2,1789624935931000,0.014467239,-0.598980248,1.665069580,0.033326048,1,30.000000000,0.977324128,-95.000000000,79,2.633333333,2.516666667,0.000027716,1,0,0,0,0,0
3,1789624935932000,0.021699905,-0.598994374,1.697601318,0.033326052,1,30.000000000,0.977310598,-95.000000000,79,2.633333333,2.533333333,0.000013530,1,0,0,0,0,0
4,1789624935933000,0.028932571,-0.598994374,1.730133057,0.033326048,1,30.000000000,0.977297068,-95.000000000,79,2.633333333,2.550000000,0.000013530,1,0,0,1,0,1
5,1789624935934000,0.036163330,-0.599096298,1.763122559,0.033772793,1,30.000000000,0.977295339,-94.999511719,79,2.633333333,2.566666667,0.000488284,1,0,0,1,0,1
6,1789624935935000,0.043399811,-0.599098146,1.795661926,0.033334322,1,30.000001907,0.977293611,-94.999015808,79,2.633333333,2.583333333,0.000495917,1,0,0,1,0,1
7,1789624935935000,0.050638199,-0.599403024,1.830032349,0.035125677,1,30.000003815,0.977300763,-94.996582031,79,2.633333333,2.600000000,0.002433788,1,0,0,1,0,1
8,1789624935938000,0.048822403,-0.599396586,1.796760559,0.033321299,1,30.000003815,0.977307975,-94.994140625,80,2.666666667,2.616666667,0.002441417,1,0,0,1,0,1
9,1789624935953000,0.041040421,-0.599561930,1.831001282,0.035114296,1,30.000007629,0.977321148,-94.989807129,80,2.666666667,2.633333333,0.004333518,1,0,0,1,0,1
10,1789624935972000,0.046623230,-0.599553645,1.798110962,0.033360768,1,30.000009537,0.977334261,-94.985473633,81,2.700000000,2.650000000,0.004333517,1,0,0,1,0,1
11,1789624935986000,0.052206039,-0.599588692,1.767082214,0.031527005,1,30.000011444,0.977350712,-94.979293823,81,2.700000000,2.666666667,0.006179831,1,0,0,1,0,1
12,1789624936003000,0.057775497,-0.599580288,1.734207153,0.033343494,1,30.000013351,0.977367163,-94.973121643,82,2.733333333,2.683333333,0.006172202,1,0,0,1,0,1
